DateTime,AddedIPs,RemovedIPs
1582215149,7,6
1582218739,6,6
1582222320,5,6
1582226043,7,6
1582229649,6,5
1582233214,5,4
1582238219,1,8
1582240442,2,10
1582244043,18,1
1582247676,27,2
1582251243,7,5
1582254878,10,9
1582258533,10,15
1582262059,5,3
1582265670,3,4
1582269231,8,5
1582272847,3,6
1582276485,5,6
1582280079,7,2
1582283652,5,15
1582287307,12,5
1582290850,7,8
1582294496,8,5
1582298080,3,8
1582301710,3,6
1582305271,6,11
1582310175,5,6
1582312441,5,14
1582316044,4,5
1582319644,8,9
1582323223,8,3
1582326853,10,5
1582330487,15,5
1582334085,37,1
1582337688,4,10
1582341277,5,6
1582344895,3,29
1582348441,2,11
1582352058,6,5
1582355662,6,10
1582359232,11,5
1582362883,7,2
1582366522,5,4
1582370034,3,4
1582373997,3,7
1582377217,4,6
1582380848,6,2
1582384420,4,5
1582388112,5,3
1582391611,4,3
1582395259,2,9
1582398882,6,5
1582402437,6,2
1582406023,4,8
1582409640,7,6
1582413273,8,6
1582416865,15,4
1582420519,14,4
1582424028,4,7
1582427659,4,14
1582431223,12,11
1582434854,8,6
1582438456,5,7
1582442065,3,4
1582445601,5,10
1582449282,5,7
1582452826,7,11
1582456415,11,3
1582460041,8,2
1582463668,4,5
1582467197,7,2
1582470835,3,2
1582474501,4,3
1582478187,6,4
1582481678,2,3
1582485300,1,8
1582488938,3,8
1582492491,7,6
1582497592,0,4
1582499704,4,6
1582503314,8,2
1582506927,22,4
1582510403,4,2
1582513993,10,14
1582517658,6,25
1582521270,8,6
1582524816,4,11
1582528480,9,8
1582532058,2,6
1582535640,2,5
1582539274,6,3
1582542832,3,5
1582546493,7,3
1582550033,5,3
1582553707,5,7
1582557295,5,4
1582560851,3,10
1582564445,6,9
1582569362,5,9
1582571621,6,10
1582575204,5,6
1582578808,5,6
1582582392,14,3
1582586052,8,3
1582589664,4,7
1582593230,32,5
1582596854,21,7
1582600452,13,13
1582604093,14,33
1582607640,18,11
1582611325,18,9
1582614821,6,13
1582618425,10,14
1582622012,15,16
1582625680,13,11
1582629360,14,11
1582633178,14,11
1582636408,12,13
1582640062,10,11
1582643687,10,16
1582647249,11,12
1582650858,14,10
1582654410,15,11
1582658071,10,13
1582661597,7,15
1582665222,14,10
1582668793,12,19
1582672417,10,11
1582676024,16,8
1582679610,32,7
1582683255,7,12
1582686809,11,20
