DateTime,AddedIPs,RemovedIPs
1582207661,1,1
1582211272,2,2
1582214870,1,1
1582218466,2,2
1582222069,1,2
1582225656,1,1
1582229260,1,1
1582232859,1,1
1582236462,1,1
1582240070,1,1
1582243658,1,1
1582247267,1,1
1582250864,1,1
1582254453,1,1
1582258073,2,1
1582261665,1,1
1582265265,0,2
1582268845,1,1
1582272463,1,2
1582276060,1,1
1582279667,2,0
1582286876,2,1
1582290452,2,2
1582294070,2,1
1582297668,1,2
1582301269,2,2
1582304873,1,2
1582308460,1,1
1582312066,2,2
1582315659,1,1
1582319278,0,1
1582322857,2,1
1582326469,2,1
1582330068,1,2
1582333664,2,1
1582337261,2,2
1582340865,2,1
1582344463,1,2
1582348067,2,2
1582351658,1,2
1582355256,1,2
1582358857,2,1
1582362458,1,1
1582366052,2,1
1582369657,1,1
1582373257,1,2
1582376858,1,2
1582380456,2,1
1582384054,2,1
1582387656,1,1
1582391243,1,2
1582394856,1,1
1582398459,1,1
1582402051,2,1
1582405650,1,1
1582409260,1,1
1582412874,1,2
1582416456,1,1
1582420052,1,2
1582423635,1,1
1582427247,1,1
1582430831,1,1
1582434454,1,1
1582438051,1,1
1582441663,1,1
1582445231,2,1
1582448843,1,1
1582452437,1,1
1582456037,1,1
1582459627,1,2
1582463254,2,1
1582466823,2,1
1582470434,2,1
1582474013,1,2
1582477630,1,2
1582481244,1,2
1582484844,2,2
1582488434,1,1
1582492033,1,1
1582495644,0,2
1582499238,2,1
1582502858,1,1
1582506439,2,1
1582510019,1,0
1582513639,1,1
1582517253,2,1
1582520842,2,1
1582524429,1,2
1582528030,2,2
1582531651,2,2
1582535264,1,1
1582538846,1,1
1582542446,4,2
1582546047,1,2
1582549646,2,1
1582553243,1,1
1582556856,1,1
1582560458,2,1
1582564038,1,1
1582567633,1,2
1582571241,0,1
1582574842,2,1
1582578452,1,1
1582582035,2,1
1582585650,1,1
1582589277,2,2
1582592846,1,2
1582596457,2,1
1582600055,2,1
1582603657,2,2
1582607257,1,1
1582610856,1,1
1582614432,1,2
1582618039,2,2
1582621628,1,1
1582625242,1,2
1582628832,3,1
1582632437,1,2
1582636024,1,2
1582639655,2,1
1582643300,1,1
1582646824,2,2
1582650439,1,2
1582654034,1,1
1582657632,1,2
1582661246,1,1
1582664843,1,0
1582668436,1,1
1582672050,1,2
1582675621,1,1
1582679232,1,1
1582682832,2,1
1582686443,2,1
1582690044,2,1
1582693628,2,2
1582697246,1,2
1582700861,2,2
1582704447,1,1
1582708054,2,2
1582711648,1,2
1582715250,3,1
1582718848,2,2
1582722450,2,2
1582726056,1,1
1582729653,2,2
1582733267,1,2
1582736860,0,1
1582740451,2,2
1582744050,1,2
1582747657,2,1
1582751247,2,1
1582754841,1,2
1582758451,1,0
1582762099,1,2
1582765661,1,2
1582769284,2,1
1582772888,2,1
1582776477,1,1
1582780058,1,1
1582783655,1,2
1582787258,1,1
1582790866,2,1
1582794466,2,1
1582798062,1,2
1582801652,2,2
1582805256,1,2
1582808865,2,1
1582812476,1,2
1582816071,1,1
1582819661,1,2
1582823277,1,1
1582826874,0,1
1582830481,1,0
1582834060,1,2
1582837677,1,1
1582841269,1,0
1582844869,1,1
1582848472,1,1
1582852068,2,1
1582855685,1,1
1582859286,2,1
1582862883,2,2
1582866479,1,1
1582870064,2,1
1582873669,2,2
1582877265,2,2
1582880878,2,2
1582884462,1,1
1582888081,1,2
1582891676,2,1
1582895270,1,2
1582898870,2,2
1582902457,1,1
1582906061,2,2
1582909668,2,1
1582913262,1,2
1582916861,1,2
1582920453,1,1
1582924064,1,1
