DateTime,AddedIPs,RemovedIPs
1580119701,0,1
1580123301,1,0
1580130514,1,1
1580134137,0,1
1580144903,0,1
1580148510,1,0
1580155705,0,1
1580162898,1,0
1580166510,1,0
1580170168,11,1
1580173689,0,1
1580177288,0,1
1580180926,0,12
1580195301,1,0
1580198911,1,0
1580242126,1,0
1580260122,25,0
1580270946,0,16
1580285335,1,0
1580324943,1,0
1580346517,11,0
1580357298,3,13
1580368131,0,1
1580432941,10,0
1580443754,0,16
1580454549,1,0
1580458142,1,0
1580483341,1,0
1580494162,0,1
1580501336,1,0
1580519350,25,0
1580522947,4,0
1580530136,0,22
1580537328,4,0
1580548154,0,4
1580551717,4,4
1580566131,4,0
1580576933,0,4
1580580514,4,0
1580584143,1,0
1580591318,1,0
1580605883,27,4
1580609333,1,0
1580616545,0,20
1580620148,4,4
1580623719,4,0
1580630928,0,4
1580634532,5,0
1580638132,0,1
1580645345,0,5
1580666925,4,0
1580674132,0,4
1580677730,5,4
1580681334,4,0
1580688534,0,4
1580692115,18,4
1580699328,0,1
1580702939,4,10
1580706516,0,4
1580717296,5,0
1580720895,1,0
1580728118,3,1
1580738903,0,3
1580742500,0,4
1580760490,5,0
1580771302,0,1
1580774927,0,1
1580778521,24,0
1580782169,0,4
1580785700,0,5
1580789309,0,22
1580807321,1,0
1580814553,0,1
1580861323,0,1
1580864936,15,0
1580872147,0,1
1580875723,0,27
1580890124,1,0
1580893735,1,0
1580944130,0,1
1580951321,8,0
1580962130,0,13
1580976529,1,0
1580987307,5,1
1580998127,0,5
1581019743,1,0
1581030534,0,1
1581037709,16,0
1581044930,0,1
1581048530,0,22
1581066519,1,0
1581077317,0,1
1581106125,1,0
1581113325,1,0
1581124139,15,1
1581134949,0,15
1581160129,0,1
1581210522,17,0
1581221335,0,8
1581235744,1,0
1581246528,0,1
1581296923,19,0
1581300515,2,0
1581304160,4,0
1581307723,4,12
1581314912,0,4
1581325734,0,4
1581329330,4,0
1581332941,5,0
1581343706,0,1
1581347331,0,4
1581350913,4,0
1581361724,0,4
1581368910,4,0
1581376137,6,4
1581383341,11,0
1581386936,4,1
1581390544,4,4
1581394139,4,23
1581397738,0,3
1581401330,0,4
1581404906,0,4
1581408520,8,0
1581419320,2,0
1581426505,0,4
1581430116,0,2
1581437301,0,4
1581440892,4,0
1581451715,3,0
1581462490,6,4
1581466105,0,4
1581469702,21,0
1581473326,1,1
1581476921,0,4
1581480522,1,17
1581484108,0,1
1581487728,1,4
1581491311,5,5
1581494919,1,0
1581498488,4,5
1581502119,9,1
1581505704,3,1
1581509303,1,0
1581512937,1,4
1581516496,3,3
1581520126,1,5
1581523715,5,1
1581527308,1,0
1581530933,1,1
1581534496,0,5
1581538128,1,1
1581541721,5,5
1581545319,1,0
1581548911,1,1
1581552549,1,6
1581556118,21,1
1581559730,1,8
1581563311,4,3
1581566916,5,23
1581570497,1,1
1581574112,1,0
1581577744,1,1
1581581301,0,1
1581584915,1,5
1581588517,1,1
1581592124,1,0
1581595709,1,5
1581599323,1,1
1581602935,5,1
1581606502,1,1
1581610114,1,1
1581613691,0,1
1581617314,5,5
1581620905,1,1
1581624509,1,0
1581628140,2,1
1581631696,0,1
1581635313,5,1
1581638940,1,5
1581642515,18,0
1581646133,1,5
1581649711,1,1
1581653328,1,13
1581656909,1,1
1581660516,1,1
1581664095,0,1
1581667741,1,1
1581671325,1,1
1581674896,1,0
1581678524,1,1
1581682119,0,1
1581685723,1,1
1581689303,0,1
1581692920,2,0
1581696508,1,1
1581700100,1,0
1581703704,1,3
1581707326,1,1
1581710917,0,1
1581714507,1,1
1581718141,1,1
1581721715,1,0
1581725341,1,1
1581728897,9,1
1581732538,0,1
1581736103,1,1
1581739699,1,12
1581750516,0,1
1581779327,1,0
1581790134,0,1
1581793738,0,1
1581815318,15,0
1581822524,1,0
1581826139,1,18
1581833337,0,1
1581876507,0,1
1581880117,0,1
1581901732,11,0
1581908925,1,0
1581912522,1,17
1581952138,1,0
1581962919,0,1
1581966538,0,1
1581988155,8,0
1581998934,2,8
1582009739,0,1
1582016937,1,0
1582042153,1,0
1582052922,0,2
1582074515,17,0
1582085325,1,15
1582088904,1,0
1582099719,0,1
1582128525,1,0
1582139321,0,1
1582146546,0,2
1582150132,2,0
1582160946,8,0
1582171727,1,14
1582178912,1,0
1582182547,0,1
1582186129,0,1
1582218536,1,0
1582229334,0,1
1582247326,23,0
1582254532,0,1
1582258140,0,7
1582261728,2,0
1582272529,0,2
1582304951,2,0
1582315726,0,2
1582333735,33,0
1582344542,0,17
1582348119,1,0
1582358928,0,2
1582391301,2,0
1582402120,0,1
1582420109,11,0
1582430892,0,5
1582434517,2,0
1582445290,0,2
1582481304,1,0
1582492100,0,1
1582506497,16,0
1582510096,1,0
1582513696,1,1
1582517331,1,21
1582520907,2,1
1582524491,2,1
1582528098,1,1
1582531734,0,2
1582535329,0,1
1582538910,1,0
1582542510,0,1
1582546124,1,0
1582549717,0,1
1582553315,0,1
1582556939,1,1
1582560523,1,0
1582564105,1,0
1582567707,1,1
1582571318,1,1
1582574902,0,1
1582578505,1,1
1582585726,1,0
1582589346,0,1
1582592910,28,1
1582596526,8,0
1582600132,7,1
1582603721,8,36
1582607324,7,6
1582610925,7,8
1582614502,5,6
1582618106,6,7
1582621692,7,8
1582625324,7,5
1582628905,7,6
1582632510,8,7
1582636078,8,9
1582639728,6,6
1582643376,5,8
1582646897,6,5
1582650504,8,5
1582654102,10,8
1582657696,6,7
1582661308,5,8
1582664917,7,7
1582668501,6,8
1582672116,5,7
1582675685,7,5
1582679304,21,5
1582682902,4,5
1582686500,6,5
1582690116,8,18
1582693703,7,8
1582697320,7,5
1582700941,8,6
1582704517,6,5
1582708111,6,11
1582711716,6,6
1582715322,6,8
1582718913,4,6
1582722528,5,5
1582726139,8,5
1582729721,5,5
1582733333,8,5
1582736938,7,7
1582740521,6,5
1582744113,6,9
1582747710,4,5
1582751312,6,5
1582754925,6,6
1582758517,6,6
1582762177,12,6
1582765737,7,7
1582769351,8,5
1582772956,6,20
1582776561,4,6
1582780131,3,6
1582783723,6,4
1582787327,6,5
1582790946,7,6
1582794532,4,6
1582798117,5,5
1582801716,3,6
1582805340,4,5
1582808934,6,6
1582812548,6,4
1582816156,4,3
1582819725,5,7
1582823339,3,3
1582826966,8,5
1582830558,6,7
1582834120,7,4
1582837730,6,8
1582841344,6,6
1582844936,5,7
1582848540,6,5
1582852144,33,6
1582855763,1,7
1582859359,4,7
1582862950,4,27
1582870145,4,4
1582873738,4,4
1582877341,4,0
1582880960,0,4
1582884527,0,4
1582888158,0,4
1582895367,4,0
1582898938,4,0
1582902542,4,0
1582906126,4,4
1582909745,4,4
1582913340,1,4
1582916933,0,4
1582924156,4,5
1582931341,0,1
1582934984,11,4
1582938528,4,0
1582942126,4,0
1582945728,0,15
1582949348,4,4
1582956534,1,4
1582963726,5,0
1582967335,0,1
1582978130,0,4
1582981731,4,0
1582996143,4,0
1582999760,0,4
1583003328,0,4
1583006947,5,4
1583010533,0,1
1583014149,4,0
1583017751,0,1
1583024973,16,0
1583032147,4,4
1583035719,0,15
1583042951,4,0
1583050108,1,4
1583057301,4,0
1583060892,0,1
1583075297,0,4
1583082497,4,4
1583086117,5,0
1583093353,1,4
1583096909,4,0
1583104102,4,1
1583107719,4,4
1583111303,19,4
1583114922,0,4
1583118521,0,4
1583122106,0,28
1583154523,0,1
1583176126,1,0
1583186929,1,0
1583197712,10,1
1583208541,0,11
1583219309,1,0
1583230116,0,1
1583233720,1,0
1583244528,0,1
1583262510,1,0
1583273320,0,1
1583276940,1,0
1583284130,12,0
1583287711,0,1
1583294910,0,16
1583316500,0,1
1583320096,1,0
1583356105,1,0
1583359691,0,1
1583363288,1,0
1583370501,11,0
1583381309,0,27
1583392129,1,0
1583402939,0,1
1583406522,2,0
1583417337,0,2
1583446135,0,1
1583456922,17,0
1583467709,0,10
1583474907,1,0
1583478505,1,0
1583489295,0,1
1583492913,1,0
1583496505,1,0
1583503684,0,1
1583521709,0,1
1583525316,1,0
1583536129,0,1
1583539691,2,0
1583543309,13,0
1583546899,0,1
1583554095,0,13
1583557688,1,0
1583572094,0,1
1583579320,0,1
1583582890,1,0
1583611714,1,0
1583618917,0,1
1583629706,27,0
1583640512,0,12
1583644098,0,1
1583654908,1,0
1583665702,0,1
1583672897,1,0
1583680124,0,1
1583683695,1,1
1583698105,1,0
1583708909,0,1
1583716105,15,0
1583726908,0,17
1583752110,2,0
1583755730,0,1
1583762899,1,2
1583773706,0,1
1583777325,0,1
1583788136,1,0
1583798950,19,0
