DateTime,AddedIPs,RemovedIPs
1582153491,0,1
1582163055,0,1
1582168812,1,0
1582170769,0,1
1582172652,2,2
1582174586,0,3
1582176487,0,1
1582178478,0,2
1582180347,2,0
1582182289,0,3
1582184171,1,1
1582186124,1,0
1582188013,1,2
1582193815,0,1
1582201457,1,1
1582208174,1,0
1582210096,3,1
1582212025,1,2
1582215851,2,0
1582219688,1,0
1582222821,0,1
1582224725,0,1
1582228568,1,0
1582230485,0,1
1582233371,0,1
1582237208,1,1
1582239128,1,0
1582245132,1,0
1582254972,1,1
1582258806,0,1
1582260740,0,1
1582266759,1,2
1582268731,1,0
1582270583,0,1
1582272508,0,1
1582274410,1,1
1582288089,0,1
1582291931,2,0
1582294097,0,1
1582296013,1,2
1582297971,0,2
1582301770,1,2
1582305606,0,1
1582316171,1,1
1582318118,2,0
1582324835,0,2
1582330570,2,1
1582352674,0,1
1582356486,0,1
1582360332,0,1
1582368263,1,0
1582374047,1,0
1582377855,0,2
1582381695,1,2
1582386494,1,0
1582388422,0,1
1582390344,1,0
1582392252,1,0
1582394189,1,0
1582396089,1,0
1582400901,0,1
1582402831,0,1
1582406652,2,0
1582410498,1,0
1582417210,0,2
1582421067,1,0
1582422968,1,0
1582431619,1,0
1582435470,1,0
1582439293,1,0
1582450819,1,0
1582454664,0,1
1582460444,0,1
1582462334,2,0
1582464265,1,0
1582468088,1,1
1582471208,1,0
1582473127,1,1
1582476967,0,1
1582478885,0,1
1582483708,0,1
1582485608,1,0
1582487526,0,1
1582491370,1,0
1582493286,0,2
1582496168,3,0
1582498106,0,1
1582505777,1,0
1582507691,1,1
1582510569,0,1
1582512501,0,1
1582514410,1,0
1582518264,3,1
1582520165,1,0
1582522330,1,1
1582524264,1,0
1582526185,3,1
1582533849,1,0
1582537726,0,1
1582545369,1,0
1582550173,1,3
1582555941,0,2
1582557852,0,1
1582559787,0,1
1582570328,2,0
1582572267,1,1
1582578970,1,1
1582580908,1,3
1582584725,1,0
1582593372,2,2
1582595304,1,0
1582599126,1,0
1582601065,1,1
1582604897,1,3
1582607771,0,1
1582609704,0,1
1582611608,2,2
1582613527,0,2
1582619287,2,1
1582622414,1,0
1582624356,1,0
1582626311,1,0
1582628183,0,1
1582630336,3,0
1582632266,0,1
1582634186,1,0
1582638011,0,1
1582653380,2,0
1582658175,1,3
1582660094,1,0
1582663945,1,0
1582665862,0,1
1582667780,0,1
1582669693,0,1
1582677611,1,0
1582679550,0,2
1582681453,0,1
1582687212,0,1
1582691063,0,1
1582692997,0,1
1582698734,0,2
1582704747,0,1
1582706664,1,2
1582710492,0,1
1582712445,0,1
1582716254,0,3
1582718181,1,0
1582728737,1,0
1582736447,1,0
1582740251,0,2
1582742170,2,0
1582744102,0,1
1582749864,0,1
1582755618,1,0
1582759449,1,0
1582763540,0,1
1582765736,2,0
1582779131,1,0
1582786916,1,0
1582792811,0,1
1582796667,1,1
1582798590,3,0
1582804349,0,1
1582806267,1,0
1582810103,2,0
1582812981,1,0
1582817050,0,1
1582823776,0,1
1582825692,1,0
1582829530,0,2
1582839151,1,0
1582845879,0,1
1582852576,1,1
1582862200,1,0
1582867946,2,0
1582873692,0,1
1582875622,0,1
1582877540,1,0
1582881402,1,1
1582883293,1,0
1582885221,3,3
1582887128,1,0
1582892887,2,1
1582895800,1,0
1582897698,1,2
1582899622,0,1
1582901546,1,0
1582909400,2,0
1582911373,2,0
1582913306,0,1
1582917141,1,0
1582919075,1,0
1582920996,0,1
1582923138,1,0
1582926984,0,1
1582928891,1,0
1582931775,0,1
1582933695,1,0
1582939479,1,1
1582941381,1,0
1582943289,2,0
1582948098,0,1
1582953852,0,2
1582957722,1,0
1582964438,0,1
1582968251,0,2
1582972090,1,3
1582974098,0,1
1582980011,0,1
1582983849,1,1
1582987693,0,1
1582991540,1,0
1582995382,0,1
1582997300,0,3
1583002096,0,1
1583005926,0,1
1583007848,0,1
1583015549,0,1
1583021317,1,1
1583023215,1,0
1583025138,0,1
1583027064,0,1
1583028984,0,2
1583030890,1,0
1583034730,0,1
1583038580,1,0
1583042434,1,0
1583044349,0,1
1583048225,1,0
1583057771,1,1
1583059694,1,0
1583074107,1,0
1583077930,2,1
1583081767,1,0
1583083687,1,0
1583085690,1,0
1583089464,2,0
1583093294,2,0
1583097170,1,0
1583100990,1,0
1583102889,1,0
1583106726,1,1
1583108658,0,1
1583112491,1,0
1583116348,1,0
1583119239,1,1
1583129072,3,0
1583134813,0,1
1583136756,1,0
1583138663,1,0
1583144426,0,1
1583146330,1,2
1583154971,1,0
1583160758,1,1
1583164585,0,2
1583168463,1,1
1583170337,2,2
1583172496,0,1
1583174411,3,0
1583176607,0,1
1583178518,0,2
1583180452,1,0
1583182359,0,1
1583188088,0,1
1583190976,1,1
1583198652,1,1
1583202537,0,1
1583205374,0,2
1583207291,1,0
1583209454,1,0
1583211392,1,0
1583215321,0,3
1583217130,1,0
1583220973,2,0
1583222901,0,1
1583224816,0,2
1583226985,1,0
1583228897,2,0
1583230810,1,0
1583232728,0,1
1583241374,0,1
1583243297,2,0
1583247130,0,1
1583249093,1,0
1583252892,0,1
1583255771,0,2
1583257693,1,1
1583259609,0,2
1583261529,0,2
1583267287,0,1
1583271131,0,1
1583273311,2,0
1583275210,3,0
1583277133,0,1
1583279051,1,0
1583280969,1,0
1583284808,0,1
1583286727,1,0
1583292492,1,1
1583296337,1,1
1583298498,0,1
1583303307,1,1
1583307158,0,2
1583314811,1,1
1583316749,1,3
1583320571,1,0
1583331392,1,1
1583333298,1,0
1583335208,1,1
1583342884,1,0
1583344837,0,1
1583346735,1,0
1583348662,1,0
1583352524,1,0
1583358251,0,1
1583362208,0,2
1583365927,0,1
1583367854,0,1
1583371691,1,0
1583374573,0,1
1583376498,1,0
1583378411,0,1
1583382261,0,1
1583384170,1,0
1583386089,2,0
1583389934,0,1
1583392099,1,0
1583401698,0,1
1583403612,0,1
1583407465,0,1
1583409369,1,0
1583414179,0,1
1583416335,0,1
1583418253,0,1
1583420166,1,0
1583422101,0,2
1583425933,1,0
1583430012,0,1
1583431963,1,0
1583433852,1,2
1583437701,1,1
1583439610,1,0
1583447285,1,0
1583457134,1,0
1583459052,1,1
1583462892,0,1
1583470568,0,1
1583472487,1,2
1583474466,2,0
1583476335,1,0
1583480175,0,1
1583487850,1,0
1583495528,0,1
1583497451,1,0
1583505133,0,1
1583509929,1,0
1583511853,1,1
1583520494,1,1
1583524330,1,1
1583526252,1,0
1583534172,0,1
1583539940,1,0
1583543773,0,2
1583545698,1,1
1583560096,1,3
1583562019,0,2
1583575457,1,1
1583583135,0,1
1583588920,1,0
1583592753,1,0
1583596570,0,1
1583598491,0,1
1583600495,2,0
1583602357,1,0
1583606170,0,1
1583610020,0,1
1583611936,0,1
1583613879,2,0
1583621558,1,0
1583631156,0,1
1583642898,1,0
1583646732,1,1
1583648661,1,0
1583650592,2,0
1583652496,1,0
1583654460,2,0
1583660176,0,1
1583662096,1,0
1583667874,2,0
1583671695,1,0
1583675532,0,1
1583679369,0,1
1583684175,1,0
1583686117,3,2
1583688032,0,2
1583689930,1,0
1583697657,3,0
1583699555,0,2
1583701725,1,0
1583703634,2,0
1583707476,3,1
1583709374,1,0
1583711291,1,0
1583713231,2,0
1583715129,1,0
1583718965,2,1
1583720891,1,0
1583723796,1,0
1583725695,2,0
1583729530,0,1
1583733396,1,1
1583735288,0,1
1583737231,1,2
1583739166,1,0
1583741073,1,2
1583748985,2,1
1583752820,0,1
1583754753,0,1
1583756657,1,0
1583758595,0,1
1583760765,1,0
1583762683,1,0
1583764695,1,0
1583768418,0,1
1583772287,0,2
1583774194,0,1
1583776104,0,1
1583779936,1,0
1583781856,1,0
1583783776,1,2
1583785691,1,1
1583787638,0,1
1583789539,0,1
1583793638,0,3
1583795541,1,0
1583797456,0,2
1583799378,1,2
1583801301,0,1
1583803243,2,0
1583805156,0,2
1583807082,1,1
1583808997,1,1
1583810894,0,1
1583813771,0,1
1583815691,1,0
1583819558,2,0
1583821455,1,0
1583823391,0,1
1583825289,0,1
1583828201,2,1
1583833960,1,1
1583837778,76,0
1583843560,0,1
1583847434,0,1
1583849300,1,1
1583851245,1,1
1583853142,1,0
1583855057,1,0
1583866574,1,1
1583868507,0,1
1583871415,2,2
1583873291,1,0
1583880972,1,1
1583885781,0,1
1583887696,0,1
1583889619,0,2
1583891553,1,0
1583893451,0,1
1583895373,0,1
1583897288,1,0
1583901150,0,1
1583903107,2,0
1583906910,0,2
1583908811,0,1
1583912650,0,1
1583914577,0,1
1583920330,1,2
1583924171,0,76
1583926099,2,0
1583928984,1,0
1583932813,1,0
1583934787,0,1
1583936655,0,2
1583940525,1,0
1583946314,1,1
1583948188,1,0
1583950097,1,0
1583952028,0,1
1583953949,2,1
1583957804,0,2
1583959738,0,1
1583967389,0,1
1583974325,2,0
1583984170,1,1
1583989933,1,2
1583991856,1,0
1583997608,2,0
1584003406,1,0
1584008193,1,1
1584012013,0,2
