DateTime,Entries,UniqueIPs
1583022033,11691,11691
1583023982,11678,11678
1583025877,11656,11656
1583027788,11644,11644
1583029703,11630,11630
1583032590,11578,11578
1583034497,11563,11563
1583036424,11535,11535
1583038331,11546,11546
1583040251,11540,11540
1583042194,12114,12114
1583044098,12053,12053
1583046978,9869,9869
1583049142,7853,7853
1583051057,7403,7403
1583052986,8510,8510
1583054895,9500,9500
1583057773,11114,11114
1583059696,12162,12162
1583061657,12503,12503
1583063556,12925,12925
1583065467,13267,13267
1583067407,13674,13674
1583069326,13913,13913
1583071366,14074,14074
1583073410,14414,14414
1583075312,14853,14853
1583077218,15094,15094
1583079163,15312,15312
1583081058,15547,15547
1583082981,15616,15616
1583084910,15746,15746
1583086816,15853,15853
1583088731,15987,15987
1583090673,16079,16079
1583092575,16189,16189
1583094497,16280,16280
1583097374,16447,16447
1583099318,16539,16539
1583101260,16627,16627
1583103148,16715,16715
1583105075,16804,16804
1583107003,16889,16889
1583108896,16951,16951
1583112075,17081,17081
1583113980,17216,17216
1583115906,17301,17301
1583117811,17421,17421
1583119727,17525,17525
1583122605,18856,18856
1583124601,18898,18898
1583126412,18951,18951
1583128349,18957,18957
1583130302,19611,19611
1583132191,19063,19063
1583134091,18620,18620
1583136987,18030,18030
1583138897,17586,17586
1583140827,17195,17195
1583142733,16553,16553
1583144662,15983,15983
1583146586,15467,15467
1583148516,15204,15204
1583150682,14883,14883
1583152571,14555,14555
1583154513,14457,14457
1583156413,14469,14469
1583158584,14537,14537
1583160500,14665,14665
1583162455,14724,14724
1583164334,14763,14763
1583166273,14813,14813
1583168170,14855,14855
1583170089,14896,14896
1583172141,14918,14918
1583174196,14986,14986
1583176147,15140,15140
1583178017,15291,15291
1583179938,15443,15443
1583181881,15599,15599
1583183810,15729,15729
1583185695,15873,15873
1583187612,15968,15968
1583189540,16149,16149
1583191501,16285,16285
1583193376,16440,16440
1583195293,16569,16569
1583197386,16699,16699
1583199435,16825,16825
1583201304,16925,16925
1583203214,17090,17090
1583205156,17259,17259
1583207056,17993,17993
1583208986,18142,18142
1583210941,18290,18290
1583212816,17462,17462
1583214732,17323,17323
1583216654,16810,16810
1583218603,17402,17402
1583220495,18172,18172
1583223374,19119,19119
1583225303,19532,19532
1583227210,20384,20384
1583229141,20872,20872
1583231053,21369,21369
1583233014,21665,21665
1583234888,21829,21829
1583238030,22082,22082
1583239933,22153,22153
1583241855,22095,22095
1583243776,22001,22001
1583245693,22059,22059
1583247766,21426,21426
1583249777,21195,21195
1583251717,21003,21003
1583253638,20741,20741
1583255539,20530,20530
1583257458,20450,20450
1583259376,20498,20498
1583261316,20574,20574
1583263223,20658,20658
1583265136,20753,20753
1583267052,20796,20796
1583268975,20899,20899
1583270890,20982,20982
1583272898,21036,21036
1583274756,21120,21120
1583276688,21160,21160
1583278603,21248,21248
1583280492,21289,21289
1583282412,21355,21355
1583284333,21404,21404
1583286261,21446,21446
1583288174,21470,21470
1583290095,21506,21506
1583292020,21525,21525
1583293934,20918,20918
1583295851,21305,21305
1583297772,21321,21321
1583299730,20801,20801
1583302598,20777,20777
1583304497,21548,21548
1583306439,21563,21563
1583308337,21564,21564
1583310256,21524,21524
1583312181,21465,21465
1583314096,21483,21483
1583316094,21497,21497
1583317941,21467,21467
1583320105,21311,21311
1583322027,21187,21187
1583323977,21090,21090
1583325855,21035,21035
1583327792,20971,20971
1583329695,20836,20836
1583331631,20767,20767
1583333531,20760,20760
1583335454,20779,20779
1583337374,20771,20771
1583339289,20760,20760
1583342175,20725,20725
1583344093,20624,20624
1583346030,20574,20574
1583347929,20369,20369
1583349849,20203,20203
1583351770,19933,19933
1583353687,19721,19721
1583355629,19399,19399
1583357532,19046,19046
1583359706,18691,18691
1583361612,18228,18228
1583363551,17832,17832
1583365449,17284,17284
1583367379,16463,16463
1583369301,15774,15774
1583371208,14683,14683
1583373156,14458,14458
1583375056,14240,14240
1583376968,14370,14370
1583378894,14515,14515
1583381775,14301,14301
1583383697,14284,14284
1583385615,14293,14293
1583387529,14298,14298
1583389456,14534,14534
1583391369,13906,13906
1583393289,13856,13856
1583395301,13797,13797
1583397138,13758,13758
1583399064,13703,13703
1583400975,13651,13651
1583402900,13600,13600
1583404815,13538,13538
1583406737,13491,13491
1583408651,13439,13439
1583410826,13397,13397
1583412753,13354,13354
1583414655,13333,13333
1583416570,12845,12845
1583418493,12389,12389
1583420523,12007,12007
1583422335,11954,11954
1583424234,11919,11919
1583426175,11890,11890
1583428098,11859,11859
1583430014,11807,11807
1583431966,11758,11758
1583433855,11721,11721
1583435784,11692,11692
1583437705,11655,11655
1583439614,11616,11616
1583441529,11569,11569
1583443454,11933,11933
1583445375,13006,13006
1583447288,13933,13933
1583449419,14561,14561
1583451374,14505,14505
1583453303,14435,14435
1583455219,14358,14358
1583457136,14330,14330
1583459055,14290,14290
1583460977,14238,14238
1583462896,14184,14184
1583464832,14131,14131
1583466734,14072,14072
1583468675,14021,14021
1583470571,13965,13965
1583472490,13916,13916
1583474558,13875,13875
1583476571,13756,13756
1583478489,13848,13848
1583480413,13844,13844
1583482334,13825,13825
1583484258,13815,13815
1583486174,13804,13804
1583488100,13744,13744
1583490009,13704,13704
1583491927,13680,13680
1583493851,13613,13613
1583495767,13566,13566
1583497691,13546,13546
1583500577,13525,13525
1583502502,13501,13501
1583504422,13701,13701
1583506326,13670,13670
1583508264,13625,13625
1583510171,13623,13623
1583512090,13637,13637
1583514972,13655,13655
1583516894,13655,13655
1583518808,13668,13668
1583520733,13681,13681
1583522654,13712,13712
1583524567,13748,13748
1583526487,13786,13786
1583529371,13714,13714
1583531294,12674,12674
1583533209,11807,11807
1583535127,10747,10747
1583537075,10780,10780
1583538969,10801,10801
1583540888,10827,10827
1583542881,10826,10826
1583544731,10827,10827
1583546682,10852,10852
1583548571,10905,10905
1583550496,10936,10936
1583552412,10955,10955
1583554334,11147,11147
1583556253,11315,11315
1583558177,11326,11326
1583560098,11338,11338
1583562020,11421,11421
1583563929,11765,11765
1583565874,12749,12749
1583567772,14141,14141
1583569716,15235,15235
1583571706,15683,15683
1583573545,15897,15897
1583575492,15896,15896
1583577383,15906,15906
1583579311,15907,15907
1583581239,15902,15902
1583583138,15899,15899
1583585053,15877,15877
1583586977,15852,15852
1583588922,15828,15828
1583590811,15569,15569
1583592755,15556,15556
1583594682,15886,15886
1583596572,16430,16430
1583598494,16851,16851
1583600543,17301,17301
1583602361,17718,17718
1583604291,18097,18097
1583606172,18459,18459
1583608120,19330,19330
1583610022,21943,21943
1583611939,22804,22804
1583613882,22894,22894
1583615803,22878,22878
1583617699,22921,22921
1583619617,22902,22902
1583621561,22884,22884
1583623460,22896,22896
1583625376,22880,22880
1583627319,22871,22871
1583630431,22856,22856
1583632327,22850,22850
1583634253,22849,22849
1583636188,22837,22837
1583638092,22831,22831
1583640987,22815,22815
1583642900,22794,22794
1583644837,22793,22793
1583646734,22794,22794
1583648664,22705,22705
1583650595,23604,23604
1583652499,23593,23593
1583654535,23578,23578
1583656340,23572,23572
1583658297,23570,23570
1583660179,23560,23560
1583662098,23493,23493
1583664024,23268,23268
1583665943,23147,23147
1583667876,22829,22829
1583669789,22693,22693
1583671698,22411,22411
1583673656,22189,22189
1583675534,22293,22293
1583677566,22000,22000
1583679372,21726,21726
1583681294,21033,21033
1583684177,19859,19859
1583686121,19093,19093
1583688035,18324,18324
1583689933,17401,17401
1583691853,16687,16687
1583693792,15150,15150
1583695692,14644,14644
1583697725,14178,14178
1583699558,13964,13964
1583701726,13976,13976
1583703636,13925,13925
1583705535,13929,13929
1583707479,13941,13941
1583709377,13930,13930
1583711294,13930,13930
1583713233,13933,13933
1583715132,13932,13932
1583717057,13935,13935
1583718968,13931,13931
1583720893,13921,13921
1583723798,13914,13914
1583725697,13913,13913
1583727635,13905,13905
1583729531,13897,13897
1583731456,14021,14021
1583733397,14017,14017
1583735290,13799,13799
1583738173,13299,13299
1583740094,13237,13237
1583742033,13213,13213
1583743931,13174,13174
1583745852,13140,13140
1583747792,13088,13088
1583749690,13067,13067
1583752595,13018,13018
1583754492,12971,12971
1583756434,12928,12928
1583758329,12903,12903
1583760333,13202,13202
1583762171,12892,12892
1583764112,12871,12871
1583766030,12855,12855
1583767957,12845,12845
1583769875,12825,12825
1583771796,12834,12834
1583773726,12818,12818
1583775611,12156,12156
1583777546,10305,10305
1583779478,9980,9980
1583781396,9988,9988
1583783292,9980,9980
1583785261,9953,9953
1583787150,9956,9956
1583789051,9924,9924
1583790969,9904,9904
1583792911,9843,9843
1583795815,9801,9801
1583797688,9789,9789
1583799635,9880,9880
1583801528,10119,10119
1583803450,10320,10320
1583805372,10551,10551
1583807558,10692,10692
1583809492,10700,10700
1583811371,10865,10865
1583813327,11442,11442
1583815250,11454,11454
1583817139,11456,11456
1583819053,11955,11955
1583820972,12851,12851
1583822897,14319,14319
1583824834,16465,16465
1583826750,18338,18338
1583828679,20022,20022
1583830567,22337,22337
1583832511,22511,22511
1583835369,22865,22865
1583837290,22845,22845
1583839210,22911,22911
1583841152,22868,22868
1583843051,22849,22849
1583844968,22706,22706
1583846893,22252,22252
1583849769,22121,22121
1583851892,21948,21948
1583853855,21795,21795
1583855772,22405,22405
1583857719,23385,23385
1583859709,23888,23888
1583861546,23958,23958
1583863475,23838,23838
1583865374,23712,23712
1583867336,23590,23590
1583869230,23459,23459
1583871154,23400,23400
1583873056,23275,23275
1583874979,23173,23173
1583876890,23047,23047
1583878812,22955,22955
1583880739,22855,22855
1583883613,22847,22847
1583885785,23097,23097
1583887699,23324,23324
1583889622,23487,23487
1583891556,23684,23684
1583893472,23842,23842
1583895376,24069,24069
1583897291,24060,24060
1583899296,23620,23620
1583901151,23611,23611
1583903118,23605,23605
1583904971,23845,23845
1583906912,23622,23622
1583908813,23077,23077
1583910736,21078,21078
1583912652,19417,19417
1583914580,18059,18059
1583916528,16086,16086
1583918419,15190,15190
1583920332,14990,14990
1583922257,14544,14544
1583924174,14281,14281
1583926101,13589,13589
1583928051,13059,13059
1583929940,12485,12485
1583932098,12404,12404
1583934015,11271,11271
1583935930,10644,10644
1583937884,10639,10639
1583939774,10620,10620
1583941719,10178,10178
1583943608,8817,8817
1583945561,7534,7534
1583947459,7120,7120
1583949390,7121,7121
1583951288,7106,7106
1583953247,7088,7088
1583955243,7074,7074
1583957323,7068,7068
1583959224,7053,7053
1583961150,7037,7037
1583963066,7021,7021
1583964970,7010,7010
1583966906,7004,7004
1583968810,7001,7001
1583970727,6976,6976
1583972654,6977,6977
1583974568,6976,6976
1583976488,6977,6977
1583979613,6974,6974
1583981549,6996,6996
1583983457,7004,7004
1583985367,7001,7001
1583987290,7011,7011
1583990413,6964,6964
1583992334,9947,9947
1583994256,9946,9946
1583996172,9962,9962
1583998092,9937,9937
1584000116,9939,9939
1584001996,9946,9946
1584004404,10322,10322
1584006277,10334,10334
1584008195,10357,10357
1584010118,10383,10383
1584012044,10388,10388
