DateTime,Entries,UniqueIPs
1583019373,551,551
1583021318,545,545
1583023239,538,538
1583025139,528,528
1583027065,525,525
1583028986,522,522
1583030891,513,513
1583032827,514,514
1583034732,513,513
1583036656,510,510
1583038581,513,513
1583040496,510,510
1583043372,508,508
1583045541,512,512
1583047527,492,492
1583049385,485,485
1583051289,481,481
1583054179,489,489
1583056092,486,486
1583058025,491,491
1583059930,500,500
1583061869,672,672
1583063842,845,845
1583065753,1528,1528
1583068598,2689,2689
1583070512,3809,3809
1583072411,4681,4681
1583074340,5617,5617
1583076266,5588,5588
1583078172,5576,5576
1583080090,5566,5566
1583082149,5552,5552
1583084185,5542,5542
1583086099,5533,5533
1583088012,5514,5514
1583089947,5504,5504
1583091855,5503,5503
1583093775,5503,5503
1583095704,5499,5499
1583097608,5499,5499
1583099572,5691,5691
1583101472,5996,5996
1583103380,6465,6465
1583105299,6886,6886
1583107309,7314,7314
1583109147,7685,7685
1583111072,7989,7989
1583113001,8364,8364
1583114918,8818,8818
1583116816,9317,9317
1583118768,9800,9800
1583120672,10088,10088
1583122605,10096,10096
1583124623,10096,10096
1583126670,10097,10097
1583128590,10099,10099
1583130731,10111,10111
1583132667,10114,10114
1583134584,10108,10108
1583136494,10103,10103
1583138415,10099,10099
1583140334,10094,10094
1583142280,10089,10089
1583144173,10081,10081
1583146093,10072,10072
1583148019,10068,10068
1583149931,10075,10075
1583151853,10076,10076
1583153787,10084,10084
1583155689,10092,10092
1583157648,10103,10103
1583159548,10103,10103
1583161725,10107,10107
1583163615,10109,10109
1583165558,10110,10110
1583167457,10112,10112
1583169370,10118,10118
1583171323,10123,10123
1583173211,10132,10132
1583175190,10134,10134
1583177074,10145,10145
1583178972,10151,10151
1583180918,10160,10160
1583182904,10166,10166
1583184761,10177,10177
1583186906,9682,9682
1583188810,8831,8831
1583190737,7770,7770
1583192651,6863,6863
1583194602,6239,6239
1583196495,5314,5314
1583198422,4914,4914
1583200328,3506,3506
1583202257,2503,2503
1583204190,1487,1487
1583206095,625,625
1583208096,427,427
1583209938,427,427
1583211882,426,426
1583213780,426,426
1583215699,426,426
1583217641,421,421
1583219542,424,424
1583221455,429,429
1583223375,428,428
1583225304,429,429
1583227210,434,434
1583229142,429,429
1583231053,428,428
1583233016,425,425
1583234888,420,420
1583238031,395,395
1583239933,374,374
1583241856,365,365
1583243776,350,350
1583245693,342,342
1583247774,334,334
1583249777,329,329
1583251717,330,330
1583253642,328,328
1583255539,342,342
1583257459,351,351
1583259376,362,362
1583261316,377,377
1583263225,376,376
1583265136,375,375
1583267052,375,375
1583268976,372,372
1583270890,359,359
1583272912,350,350
1583274757,342,342
1583276693,337,337
1583278604,337,337
1583280492,339,339
1583282412,339,339
1583286262,339,339
1583288174,340,340
1583290096,341,341
1583292020,433,433
1583293935,486,486
1583295852,557,557
1583297772,624,624
1583299732,685,685
1583302598,744,744
1583304497,774,774
1583306440,805,805
1583308338,830,830
1583310256,824,824
1583312181,817,817
1583314096,811,811
1583316115,812,812
1583317942,816,816
1583320105,820,820
1583322028,820,820
1583323977,821,821
1583325855,819,819
1583327792,817,817
1583329696,813,813
1583331631,819,819
1583333531,817,817
1583335454,828,828
1583337374,834,834
1583339290,830,830
1583342176,816,816
1583344093,815,815
1583346030,800,800
1583347930,798,798
1583349850,795,795
1583351771,791,791
1583353688,780,780
1583355643,795,795
1583357533,801,801
1583359706,804,804
1583361612,809,809
1583363552,811,811
1583365450,810,810
1583367379,808,808
1583369301,809,809
1583371211,813,813
