DateTime,AddedIPs,RemovedIPs
1581460092,1,0
1581462169,1,0
1581466104,0,3
1581469931,8,1
1581471865,6,6
1581473771,0,1
1581477623,2,1
1581479531,0,1
1581483384,6,7
1581489149,0,3
1581492984,0,1
1581494910,0,1
1581498734,1,0
1581502576,1,2
1581506422,0,2
1581514090,0,1
1581544332,1,0
1581546284,1,1
1581550107,3,1
1581552985,2,0
1581554895,1,0
1581556809,6,7
1581558729,4,7
1581564638,1,2
1581570536,11,7
1581574670,5,0
1581588122,0,1
1581592103,2,0
1581611564,1,0
1581630734,0,1
1581632658,0,1
1581636495,0,3
1581638568,0,1
1581640646,7,2
1581642514,3,4
1581644414,4,6
1581650195,1,1
1581655932,4,8
1581660739,6,6
1581662659,1,0
1581664671,1,0
1581668422,5,0
1581672256,7,0
1581678999,9,2
1581682820,1,0
1581692522,27,0
1581694343,2,0
1581696505,5,0
1581698411,0,1
1581723369,1,0
1581725324,2,6
1581727214,0,3
1581729137,7,2
1581731071,2,2
1581733026,3,0
1581736824,0,2
1581742580,3,5
1581744493,0,1
1581747385,4,9
1581751212,3,1
1581755067,0,5
1581756971,0,2
1581758891,3,6
1581763952,0,1
1581765870,0,7
1581767783,0,1
1581778331,0,27
1581780287,0,1
1581782182,0,7
1581786213,1,0
1581788186,1,0
1581793946,1,0
1581803542,1,0
1581809289,0,1
1581812418,8,2
1581814328,6,4
1581816265,1,1
1581818170,1,1
1581820338,1,2
1581822502,1,0
1581826339,1,0
1581828291,6,3
1581832097,0,2
1581834024,8,2
1581835929,9,3
1581837866,5,0
1581844572,2,1
1581846495,0,2
1581848424,1,0
1581870505,1,0
1581873395,0,1
1581875606,0,1
1581891130,0,1
1581898825,0,8
1581900735,0,7
1581902675,0,1
1581904584,0,1
1581906493,0,1
1581909622,0,1
1581911535,1,0
1581913453,0,1
1581915406,2,9
1581919254,0,2
1581921149,0,2
1581928815,1,1
1581930768,6,1
1581934575,0,19
1581936497,0,1
1581938428,3,0
1581942254,9,0
1581944192,3,0
1581948202,3,0
1581952131,1,0
1581955966,0,1
1581959777,1,0
1581961719,1,0
1581963627,5,0
1581984972,10,0
1581988811,5,0
1581990764,6,0
1581992673,2,0
1581999377,0,1
1582001338,4,2
1582005129,1,0
1582007076,7,0
1582008970,3,0
1582010894,2,0
1582014742,2,1
1582018599,0,5
1582022418,2,0
1582024357,0,1
1582026255,0,2
1582028433,0,7
1582032278,0,3
1582034172,0,2
1582038209,2,1
1582044014,1,0
1582045952,0,1
1582047853,0,1
1582051721,0,5
1582053619,2,0
1582055535,5,0
1582064434,6,0
1582066390,1,0
1582070202,1,1
1582072152,2,8
1582074245,2,4
1582076189,4,6
1582078093,0,2
1582080013,1,0
1582081949,1,0
1582085791,1,0
1582087710,3,6
1582089612,1,0
1582091530,0,1
1582093469,3,8
1582095370,1,3
1582097290,0,3
1582099380,2,0
1582101388,0,2
1582103304,0,1
1582109062,0,2
1582110979,1,0
1582125380,5,2
1582129300,2,0
1582131140,0,1
1582138948,0,2
1582140778,5,0
1582142684,0,5
1582146522,1,0
1582150603,0,6
1582152523,2,0
1582154422,0,1
1582156333,0,1
1582158272,6,1
1582160173,4,0
1582162156,0,8
1582164209,2,0
1582166433,1,1
1582168341,0,1
1582172176,0,1
1582174100,5,2
1582176028,15,1
1582177937,1,0
1582179871,1,3
1582181785,0,1
1582185715,0,2
1582187548,1,0
1582191370,1,0
1582197136,0,1
1582199068,4,0
1582206730,2,0
1582210583,0,5
1582215383,0,2
1582221134,3,0
1582227852,0,5
1582231711,0,1
1582235546,1,0
1582237467,1,0
1582239368,0,2
1582245396,4,3
1582247303,5,5
1582249213,7,2
1582253055,0,1
1582254975,1,0
1582256912,1,0
1582260744,13,13
1582262676,0,6
1582264570,1,1
1582266781,0,1
1582268754,1,0
1582274414,0,1
1582276352,1,1
1582284255,0,4
1582286187,1,0
1582292187,0,2
1582307547,0,2
1582313290,4,0
1582322177,3,1
1582324093,4,1
1582328908,8,0
1582330810,0,6
1582332729,1,6
1582334666,6,4
1582336570,2,1
1582338489,2,0
1582341377,0,1
1582343310,3,1
1582347129,4,14
1582350999,0,1
1582352912,5,0
1582354965,0,2
1582363000,8,1
1582370652,1,0
1582372585,0,1
1582374501,5,0
1582378588,1,0
1582380505,2,0
1582382420,4,0
1582384336,1,0
1582390094,1,0
1582395851,1,0
1582399690,0,4
1582405717,4,0
1582409535,0,3
1582411470,0,4
1582415323,0,8
1582417216,4,0
1582419129,0,1
1582421070,5,6
1582422971,9,2
1582424891,0,2
1582429034,1,2
1582430918,0,1
1582434750,11,5
1582436653,5,0
1582438577,5,4
1582442417,1,0
1582448170,0,1
1582450089,0,5
1582452160,2,0
1582454183,2,0
1582458072,1,1
1582461855,0,5
1582465710,0,1
1582467611,0,6
1582469532,0,1
1582473379,1,0
1582478412,0,1
1582482267,2,1
1582492104,0,4
1582494032,20,0
1582495948,3,0
1582503611,1,4
1582505547,1,1
1582507466,5,7
1582509373,5,9
1582511293,7,0
1582515383,0,1
1582517289,1,0
1582519209,1,0
1582521146,11,8
1582523048,0,3
1582524984,3,6
1582526905,2,0
1582528825,9,1
1582534569,1,0
1582536487,1,0
1582539374,0,2
1582541309,0,2
1582545150,0,1
1582559527,0,1
1582568173,10,4
1582570121,4,0
1582575887,19,0
1582581774,1,19
1582583782,3,3
1582587876,4,0
1582589781,5,1
1582591722,7,1
1582593613,8,6
1582595536,4,6
1582597473,0,7
1582605387,0,2
1582607294,8,10
1582609216,1,0
1582611149,2,2
1582613053,0,2
1582614972,0,9
1582622665,0,1
1582632493,1,0
1582640418,1,0
1582653129,0,10
1582656979,0,4
1582660932,0,15
1582662745,0,4
1582668522,0,1
1582670418,0,3
1582674165,0,4
1582676175,1,6
1582678106,2,7
1582680014,0,8
1582681929,0,4
1582683866,4,0
1582685770,6,0
1582693701,0,11
1582695626,0,1
1582697532,0,2
1582699456,7,0
1582703292,5,0
1582707133,1,1
1582717694,0,1
1582727303,0,1
1582755379,1,0
1582761171,1,1
1582763052,0,1
1582764993,0,1
1582769102,0,4
1582770983,1,1
1582773166,2,4
1582775054,2,0
1582784664,6,4
1582786572,0,2
1582788492,1,0
1582791616,0,6
1582793540,0,1
1582815153,5,0
1582820893,1,0
1582840333,0,1
1582844184,1,0
1582849027,2,1
1582852828,3,0
1582854728,1,0
1582856897,0,1
1582859004,0,3
1582860972,0,2
1582864822,1,0
1582866748,1,0
1582870584,0,6
1582874410,0,1
1582878255,1,0
1582885003,4,0
1582894616,5,0
1582898629,1,0
1582902526,0,4
1582906337,0,1
1582919804,4,0
1582931316,0,1
1582935144,0,2
1582938974,0,2
1582940894,0,2
1582942822,6,0
1582944730,1,0
1582946657,4,0
1582948596,2,0
1582950494,0,1
1582953626,1,1
1582957467,10,0
1582961288,1,0
1582965147,0,1
1582968970,1,0
1582970919,1,4
1582976911,15,0
1582980733,7,5
1582986495,0,1
1583005928,1,2
1583007851,1,0
1583021320,1,0
1583025141,2,0
1583028987,10,5
1583030892,1,1
1583032828,8,1
1583034733,0,7
1583040498,0,1
1583043373,3,2
1583045567,0,6
1583047530,0,1
1583049387,4,0
1583055144,0,1
1583057317,0,3
1583063067,0,15
1583066915,0,7
1583072696,1,0
1583078532,1,0
1583091857,0,1
1583093776,0,1
1583108259,0,1
1583112119,0,2
1583115915,0,10
1583117812,0,1
1583119729,0,8
1583130732,0,5
1583136496,0,4
1583160501,0,1
1583164335,0,1
1583265398,3,0
1583348666,2,0
1583352549,0,3
1583433856,0,2
1583609288,1,0
1583641257,3,0
1583657770,1,0
1583680094,3,0
1583697393,0,1
1583707929,1,0
1583713692,2,0
1583716842,7,0
1583718756,4,0
1583722593,1,0
1583724515,3,0
1583726542,0,3
1583740095,1,0
1583742035,1,0
1583743932,3,1
1583751686,8,0
1583755728,13,0
1583759538,3,0
1583765296,2,0
1583767260,0,3
1583772976,1,0
1583774945,1,0
1583791277,1,0
1583793136,1,1
1583800811,0,3
1583802735,2,6
1583804652,2,3
1583806598,1,0
1583810437,2,4
1583812331,1,0
1583816182,2,0
1583821958,4,0
1583824127,1,0
1583826013,1,1
1583827934,1,1
1583829851,1,3
1583837556,1,8
1583843287,0,13
1583846171,0,3
1583851894,0,2
1583857720,1,1
1583861802,0,1
1583869464,1,0
1583875219,1,0
1583877130,0,1
1583879055,1,0
1583880975,0,1
1583882889,1,0
1583887700,1,0
1583889623,6,3
1583891557,3,2
1583893474,2,1
1583897292,3,1
1583899373,0,1
1583903311,1,2
1583909052,2,5
1583912894,5,1
1583914847,0,1
1583916731,0,1
1583922492,0,1
1583943610,0,1
1583947461,1,0
1583955246,0,1
1583957325,5,0
1583961152,0,1
1583963068,1,0
1583964972,0,1
1583968812,0,1
1583970729,1,0
1583972657,1,0
1583974571,0,1
1583976490,1,7
1583978524,0,2
1583980361,1,2
1583982226,3,3
1583984173,3,1
1583989936,0,1
1583991859,1,0
1583995699,9,2
1583999530,3,5
1584005314,1,0
