DateTime,Entries,UniqueIPs
1582998998,67,67
1583000895,66,66
1583002935,63,63
1583004751,64,64
1583006678,66,66
1583008575,66,66
1583010523,65,65
1583012417,65,65
1583014339,66,66
1583016270,67,67
1583018176,66,66
1583020097,65,65
1583022034,66,66
1583023984,68,68
1583025879,67,67
1583027789,65,65
1583029704,66,66
1583032592,69,69
1583034498,69,69
1583036425,67,67
1583038332,71,71
1583040252,70,70
1583042195,68,68
1583044100,68,68
1583046980,70,70
1583049143,67,67
1583051059,68,68
1583052987,69,69
1583054898,74,74
1583056952,74,74
1583058758,74,74
1583060923,75,75
1583065042,74,74
1583066916,79,79
1583068835,79,79
1583070748,82,82
1583072697,82,82
1583074572,80,80
1583076492,80,80
1583078549,79,79
1583080587,81,81
1583082502,80,80
1583084440,77,77
1583086352,77,77
1583088259,77,77
1583090178,78,78
1583092111,73,73
1583094033,72,72
1583095938,69,69
1583097874,68,68
1583101711,67,67
1583103721,66,66
1583105551,67,67
1583107728,68,68
1583109677,67,67
1583111578,66,66
1583113471,68,68
1583115399,67,67
1583117333,67,67
1583119241,66,66
1583121145,66,66
1583123119,65,65
1583125377,67,67
1583127408,69,69
1583129300,70,70
1583131218,70,70
1583133147,70,70
1583135054,71,71
1583136989,71,71
1583138899,70,70
1583140829,68,68
1583142735,66,66
1583144664,65,65
1583148538,66,66
1583150745,70,70
1583152573,65,65
1583154544,64,64
1583156414,63,63
1583158586,61,61
1583160502,65,65
1583162458,64,64
1583164335,64,64
1583166275,65,65
1583168172,62,62
1583170091,64,64
1583172216,65,65
1583174198,65,65
1583176148,68,68
1583179939,70,70
1583181884,71,71
1583183813,73,73
1583185697,76,76
1583187615,77,77
1583189542,81,81
1583191504,79,79
1583193378,78,78
1583195294,77,77
1583197412,78,78
1583199437,74,74
1583201306,75,75
1583203216,76,76
1583205157,75,75
1583207059,75,75
1583208988,76,76
1583210944,75,75
1583212817,72,72
1583214734,71,71
1583216657,73,73
1583218604,72,72
1583220497,72,72
1583223616,70,70
1583225529,72,72
1583227476,72,72
1583229372,72,72
1583231290,73,73
1583233369,75,75
1583235373,73,73
1583237291,71,71
1583239213,69,69
1583241132,69,69
1583243052,68,68
1583244973,70,70
1583246892,70,70
1583249096,72,72
1583250978,73,73
1583252894,74,74
1583255774,80,80
1583257696,81,81
1583259611,79,79
1583261531,77,77
1583263455,75,75
1583265402,79,79
1583267289,78,78
1583269304,77,77
1583271133,74,74
1583272963,73,73
1583275002,70,70
1583276905,71,71
1583278814,70,70
1583280742,71,71
1583282649,70,70
1583284577,71,71
1583286497,74,74
1583288413,72,72
1583290355,72,72
1583292262,71,71
1583294174,70,70
1583296089,73,73
1583298998,79,79
1583300925,80,80
1583302835,78,78
1583304730,80,80
1583306672,82,82
1583308573,80,80
1583310532,81,81
1583312539,78,78
1583314365,79,79
1583316519,82,82
1583318429,82,82
1583320336,80,80
1583322271,81,81
1583324214,81,81
1583326099,80,80
1583328023,80,80
1583329933,80,80
1583331875,79,79
1583333774,78,78
1583335694,78,78
1583337738,75,75
1583339541,78,78
1583341709,78,78
1583343633,73,73
1583345788,74,74
1583347701,74,74
1583349658,73,73
1583351559,70,70
1583353456,67,67
1583355379,70,70
1583357293,72,72
1583359434,73,73
1583361370,75,75
1583363554,75,75
1583365451,75,75
1583367382,74,74
1583369303,75,75
1583371213,75,75
1583373157,76,76
1583375058,77,77
1583376970,81,81
1583380925,80,80
1583382762,79,79
1583384653,76,76
1583386572,78,78
1583388507,78,78
1583390412,75,75
1583392334,76,76
1583394249,77,77
1583396174,80,80
1583398096,81,81
1583400011,81,81
1583401933,80,80
1583403859,79,79
1583405808,81,81
1583407695,81,81
1583409748,80,80
1583411810,83,83
1583415613,83,83
1583417534,80,80
1583419468,82,82
1583421380,81,81
1583423305,83,83
1583425214,80,80
1583427130,80,80
1583430977,79,79
1583432892,77,77
1583435788,77,77
1583439615,77,77
1583441530,75,75
1583443456,75,75
1583445378,75,75
1583447289,76,76
1583449462,77,77
1583451377,77,77
1583453305,78,78
1583455222,80,80
1583457138,77,77
1583459057,75,75
1583460979,74,74
1583462897,71,71
1583464836,72,72
1583468676,71,71
1583470572,76,76
1583472492,77,77
1583474586,74,74
1583476574,75,75
1583478491,77,77
1583480414,75,75
1583482335,73,73
1583484261,74,74
1583486176,74,74
1583488101,78,78
1583490010,78,78
1583491929,77,77
1583493853,79,79
1583495770,79,79
1583497693,78,78
1583500588,79,79
1583502504,77,77
1583504424,76,76
1583506328,74,74
1583510172,72,72
1583512092,74,74
1583514112,74,74
1583517836,72,72
1583519775,73,73
1583521690,74,74
1583523611,74,74
1583525536,77,77
1583527454,77,77
1583529373,76,76
1583531295,75,75
1583533210,73,73
1583535129,75,75
1583537077,72,72
1583538972,73,73
1583540890,70,70
1583542977,72,72
1583544974,73,73
1583546890,71,71
1583548830,69,69
1583550735,69,69
1583552653,71,71
1583554576,71,71
1583556492,68,68
1583558408,65,65
1583560330,64,64
1583562253,64,64
1583564168,63,63
1583566108,61,61
1583569001,61,61
1583570914,59,59
1583572835,58,58
1583574732,56,56
1583576675,54,54
1583578576,52,52
1583580511,52,52
1583582514,52,52
1583584335,52,52
1583586501,53,53
1583588416,55,55
1583590218,54,54
1583593956,56,56
1583595851,59,59
1583597780,59,59
1583599715,61,61
1583601640,60,60
1583603530,61,61
1583605450,59,59
1583607393,62,62
1583609289,64,64
1583611308,63,63
1583613161,63,63
1583615328,66,66
1583617239,66,66
1583619134,69,69
1583621054,67,67
1583622996,65,65
1583624894,65,65
1583626828,64,64
1583628776,64,64
1583630652,64,64
1583632590,67,67
1583634491,68,68
1583636474,69,69
1583638360,68,68
1583640539,68,68
1583642412,68,68
1583644336,67,67
1583646278,68,68
1583648215,69,69
1583650099,67,67
1583652041,70,70
1583653931,72,72
1583655865,70,70
1583657771,73,73
1583659715,74,74
1583662598,78,78
1583664500,81,81
1583666433,79,79
1583668335,78,78
1583670253,77,77
1583672197,77,77
1583674093,76,76
1583676173,76,76
1583680094,75,75
1583682013,75,75
1583683956,76,76
1583685872,74,74
1583687779,74,74
1583689697,73,73
1583691635,77,77
1583693532,75,75
1583695456,74,74
1583697394,75,75
1583699302,76,76
1583701342,75,75
1583703372,78,78
1583705325,78,78
1583707234,79,79
1583709136,80,80
1583711079,81,81
1583712977,82,82
1583714900,84,84
1583716843,85,85
