DateTime,Entries,UniqueIPs
1583032332,675,675
1583034264,681,681
1583036177,674,674
1583038092,681,681
1583040028,678,678
1583041930,680,680
1583043875,677,677
1583045804,679,679
1583047951,660,660
1583049877,647,647
1583051775,644,644
1583053708,656,656
1583055618,647,647
1583057537,651,651
1583059471,652,652
1583061380,797,797
1583063354,972,972
1583065470,1622,1622
1583067411,2399,2399
1583069328,3281,3281
1583071454,4463,4463
1583073419,5535,5535
1583075315,5779,5779
1583077222,5771,5771
1583079168,5759,5759
1583081061,5750,5750
1583082991,5740,5740
1583084913,5732,5732
1583086818,5718,5718
1583088734,5703,5703
1583090676,5702,5702
1583092580,5713,5713
1583094500,5711,5711
1583097408,5703,5703
1583099321,5853,5853
1583101283,6174,6174
1583103151,6612,6612
1583105079,7059,7059
1583107016,7491,7491
1583108899,7820,7820
1583112143,8366,8366
1583113984,8866,8866
1583115918,9272,9272
1583117814,9778,9778
1583119738,10215,10215
1583122608,10305,10305
1583124720,10301,10301
1583126672,10306,10306
1583128592,10309,10309
1583130733,10320,10320
1583132678,10326,10326
1583134587,10322,10322
1583136499,10320,10320
1583138418,10317,10317
1583140335,10315,10315
1583142282,10311,10311
1583144175,10305,10305
1583146098,10298,10298
1583148024,10300,10300
1583149935,10309,10309
1583151856,10310,10310
1583153790,10319,10319
1583155692,10330,10330
1583158589,10337,10337
1583160503,10322,10322
1583162459,10325,10325
1583164337,10326,10326
1583166277,10326,10326
1583168175,10333,10333
1583170093,10334,10334
1583173215,10356,10356
1583175205,10362,10362
1583177077,10370,10370
1583178974,10362,10362
1583180921,10368,10368
1583182988,10375,10375
1583184974,10383,10383
1583186909,9884,9884
1583188814,9030,9030
1583190742,7971,7971
1583192654,7068,7068
1583194605,6441,6441
1583196500,5517,5517
1583198426,5120,5120
1583200330,3710,3710
1583202259,2705,2705
1583204194,1683,1683
1583206098,821,821
1583208184,619,619
1583210173,623,623
1583212089,621,621
1583214016,621,621
1583215941,617,617
1583217901,615,615
1583219785,614,614
1583221696,620,620
1583223618,617,617
1583225531,618,618
1583227477,620,620
1583229374,617,617
1583231292,614,614
1583233455,611,611
1583235375,588,588
1583237293,584,584
1583239214,561,561
1583241133,544,544
1583243053,543,543
1583244974,529,529
1583246893,525,525
1583249097,518,518
1583250980,525,525
1583252895,519,519
1583255776,539,539
1583257697,554,554
1583259613,556,556
1583261556,568,568
1583263456,558,558
1583265406,556,556
1583267290,561,561
1583269367,555,555
1583271373,539,539
1583273314,533,533
1583275240,530,530
1583277134,530,530
1583279054,534,534
1583280973,532,532
1583282902,530,530
1583284810,530,530
1583286730,530,530
1583288652,531,531
1583290572,533,533
1583292519,645,645
1583294515,698,698
1583296338,767,767
1583298524,851,851
1583300420,914,914
1583302385,949,949
1583304258,977,977
1583306173,1007,1007
1583308096,1032,1032
1583310024,1031,1031
1583311944,1028,1028
1583313851,1024,1024
1583315779,1027,1027
1583317698,1036,1036
1583319715,1037,1037
1583321551,1041,1041
1583323507,1046,1046
1583325375,1045,1045
1583327319,1043,1043
1583329223,1035,1035
1583331154,1042,1042
1583333055,1044,1044
1583334978,1055,1055
1583336894,1058,1058
1583338812,1060,1060
1583340734,1054,1054
1583342656,1038,1038
1583344618,1032,1032
1583346501,1023,1023
1583348543,1020,1020
1583350360,1017,1017
1583352172,1009,1009
1583354174,1003,1003
1583356094,1020,1020
1583358012,1028,1028
1583359931,1024,1024
1583361852,1029,1029
1583363793,1033,1033
1583365694,1030,1030
1583367640,1028,1028
1583369532,1028,1028
1583371452,1035,1035
1583373371,1039,1039
1583375288,1051,1051
1583378415,985,985
1583380334,938,938
1583382264,879,879
1583384173,829,829
1583386091,776,776
1583388147,729,729
1583390174,727,727
1583392103,662,662
1583394021,601,601
1583395940,590,590
1583397861,599,599
1583399784,602,602
1583401702,608,608
1583403617,611,611
1583405552,619,619
1583407468,628,628
1583409371,640,640
1583411298,644,644
1583413313,649,649
1583415140,663,663
1583417067,666,666
1583418974,682,682
1583420910,675,675
1583422824,684,684
1583424740,676,676
1583426656,674,674
1583428580,674,674
1583430504,671,671
1583432415,672,672
1583434355,675,675
1583436253,734,734
1583438175,750,750
1583440091,780,780
1583442167,758,758
1583444178,776,776
1583446100,790,790
1583448017,809,809
1583449941,817,817
1583451857,823,823
1583453783,820,820
1583455698,820,820
1583457616,819,819
1583459533,811,811
1583461456,802,802
1583463372,802,802
1583465296,846,846
1583467297,865,865
1583469136,878,878
1583471106,926,926
1583472978,948,948
1583474907,985,985
1583476816,1037,1037
1583478736,1042,1042
1583480654,1036,1036
1583482581,1026,1026
1583484497,1025,1025
1583486412,1034,1034
1583488334,1028,1028
1583490254,1019,1019
1583492179,1017,1017
1583494091,1003,1003
1583496173,998,998
1583498172,1001,1001
1583500092,996,996
1583502035,997,997
1583503958,1003,1003
1583505854,994,994
1583507791,987,987
1583509694,988,988
1583511608,984,984
1583513532,990,990
1583515456,995,995
1583517372,1000,1000
1583519289,996,996
1583522187,983,983
1583524096,982,982
1583526041,987,987
1583527929,1010,1010
1583529860,1019,1019
1583531772,1030,1030
1583533695,1034,1034
1583535780,1036,1036
1583537772,1049,1049
1583539693,1038,1038
1583541613,1049,1049
1583543535,1039,1039
1583545450,1039,1039
1583547374,1040,1040
1583549294,1045,1045
1583551216,980,980
1583553133,977,977
1583555052,960,960
1583556966,931,931
1583558888,928,928
1583561773,923,923
1583563693,934,934
1583565608,959,959
1583567554,999,999
1583569491,1037,1037
1583571384,1063,1063
1583573316,1085,1085
1583576205,1125,1125
1583578097,1153,1153
1583580047,1174,1174
1583581952,1198,1198
1583583880,1215,1215
1583585770,1229,1229
1583587692,1239,1239
1583589753,1252,1252
1583591771,1268,1268
1583593689,1281,1281
1583595612,1280,1280
1583597566,1288,1288
1583599453,1282,1282
1583601379,1291,1291
1583603295,1290,1290
1583605239,1292,1292
1583607131,1296,1296
1583609052,1276,1276
1583610997,1274,1274
1583612888,1257,1257
1583615805,1229,1229
1583617700,1214,1214
1583619619,1211,1211
1583621565,1206,1206
1583623462,1197,1197
1583625378,1191,1191
1583627322,1179,1179
1583629374,1176,1176
1583631373,1177,1177
1583633328,1176,1176
1583635218,1167,1167
1583637141,1155,1155
1583639080,1127,1127
1583640990,1107,1107
1583642903,1097,1097
1583644840,1076,1076
1583646737,1049,1049
1583648667,1024,1024
1583650598,1001,1001
1583652500,979,979
1583654580,960,960
1583656572,939,939
1583658491,926,926
1583660433,920,920
1583662336,902,902
1583664273,898,898
1583666172,841,841
1583668096,790,790
1583670030,753,753
1583671930,709,709
1583673852,687,687
1583675790,652,652
1583677711,622,622
1583680571,583,583
1583682519,580,580
1583684409,575,575
1583686327,575,575
1583688253,578,578
1583690190,579,579
1583692088,583,583
1583694122,574,574
1583695955,566,566
1583697760,569,569
1583699560,569,569
1583701407,570,570
1583703374,575,575
1583705328,593,593
1583707236,597,597
1583709137,620,620
1583711080,659,659
1583712978,680,680
1583714901,686,686
1583716846,683,683
1583718758,681,681
1583720658,684,684
1583722597,688,688
1583724517,690,690
1583726614,690,690
1583728582,695,695
1583730525,695,695
1583732420,700,700
1583734348,701,701
1583736280,691,691
1583738176,683,683
1583740097,673,673
1583742036,668,668
1583743934,666,666
1583745855,667,667
1583747796,666,666
1583749695,663,663
1583751817,668,668
1583753771,665,665
1583755730,672,672
1583757615,671,671
1583759540,675,675
1583761505,673,673
1583763400,673,673
1583765298,675,675
1583767262,672,672
1583769135,670,670
1583771057,677,677
1583772978,684,684
1583774947,772,772
1583776930,843,843
1583778762,893,893
1583780935,936,936
1583782844,968,968
1583784739,992,992
1583786683,1017,1017
1583788609,1029,1029
1583790498,1043,1043
1583792417,1031,1031
1583794355,1039,1039
1583796255,1019,1019
1583798173,1002,1002
1583800097,1001,1001
1583803245,1004,1004
1583805158,1004,1004
1583807085,1003,1003
1583809000,1001,1001
1583810896,996,996
1583812890,994,994
1583814778,995,995
1583816733,994,994
1583818582,998,998
1583820530,1000,1000
1583822424,1003,1003
1583824341,1005,1005
1583826293,1006,1006
1583828205,1010,1010
1583830108,1007,1007
1583832015,1002,1002
1583833963,1000,1000
1583835863,999,999
1583837783,1375,1375
1583839767,1383,1383
1583841795,1382,1382
1583843775,1378,1378
1583845691,1380,1380
1583847610,1375,1375
1583849557,1377,1377
1583851450,1375,1375
1583853397,1379,1379
1583855295,1372,1372
1583857242,1369,1369
1583859160,1361,1361
1583861077,1301,1301
1583863000,1244,1244
1583864917,1209,1209
1583867797,1244,1244
1583869705,1227,1227
1583871633,1202,1202
1583873531,1171,1171
1583875453,1150,1150
1583877372,1136,1136
1583879295,1131,1131
1583881294,1134,1134
1583883170,1108,1108
1583885333,1079,1079
1583887213,1075,1075
1583889140,1069,1069
1583891063,1066,1066
1583892977,1063,1063
1583894896,1064,1064
1583896815,1059,1059
1583898738,1058,1058
1583900661,1053,1053
1583902577,1045,1045
1583904491,1038,1038
1583906580,1023,1023
1583908599,1020,1020
1583910501,1051,1051
1583912417,1077,1077
1583914334,1089,1089
1583916256,1121,1121
1583918180,1150,1150
1583920096,1165,1165
1583922014,1178,1178
1583923934,813,813
1583925851,807,807
1583927800,808,808
1583929694,819,819
1583931797,819,819
1583933777,826,826
1583935703,843,843
1583937618,837,837
1583939540,836,836
1583941479,843,843
1583943411,849,849
1583945307,847,847
1583947237,856,856
1583949151,854,854
1583951082,854,854
1583953012,851,851
1583954898,839,839
1583956962,829,829
1583958991,884,884
1583960917,892,892
1583962814,898,898
1583964735,905,905
1583966673,891,891
1583968593,895,895
1583970499,902,902
1583972412,905,905
1583974329,908,908
1583976257,925,925
1583978176,927,927
1583980094,949,949
1583982326,960,960
1583984173,967,967
1583986091,975,975
1583988045,996,996
1583989937,1011,1011
1583991860,1035,1035
1583993781,1046,1046
1583995700,1058,1058
1583997612,1062,1062
1583999530,1072,1072
1584001454,1095,1095
1584003409,1120,1120
1584005365,1145,1145
1584008453,1147,1147
1584010335,1152,1152
1584012274,1160,1160
