DateTime,Entries,UniqueIPs
1583032333,4241,4241
1583034265,4222,4222
1583036178,4209,4209
1583038093,4180,4180
1583040029,4162,4162
1583041931,4154,4154
1583043875,4155,4155
1583045805,4108,4108
1583047951,4070,4070
1583049878,4090,4090
1583051776,4076,4076
1583053709,4072,4072
1583055619,4078,4078
1583057537,4073,4073
1583059472,4068,4068
1583061380,4087,4087
1583063355,4095,4095
1583065471,4114,4114
1583067412,4112,4112
1583069329,4110,4110
1583071462,4111,4111
1583073419,4099,4099
1583075315,4088,4088
1583077223,4108,4108
1583079168,4101,4101
1583081062,4284,4284
1583083000,4333,4333
1583084914,4359,4359
1583086819,4386,4386
1583088735,4411,4411
1583090677,4425,4425
1583092580,4435,4435
1583094501,4440,4440
1583097409,4507,4507
1583099322,4559,4559
1583101285,4542,4542
1583103151,4553,4553
1583105080,4574,4574
1583107017,4574,4574
1583108900,4546,4546
1583112145,4524,4524
1583113985,4518,4518
1583115919,4493,4493
1583117815,4481,4481
1583119739,4493,4493
1583122610,4502,4502
1583124764,4920,4920
1583126673,5032,5032
1583128593,5062,5062
1583130734,5071,5071
1583132678,5070,5070
1583134588,5085,5085
1583136509,5059,5059
1583138419,5108,5108
1583140336,5133,5133
1583142283,5148,5148
1583144176,5146,5146
1583146106,5132,5132
1583148032,5151,5151
1583149935,5183,5183
1583151857,5171,5171
1583153790,5166,5166
1583155693,5202,5202
1583157755,5203,5203
1583159781,5222,5222
1583161727,5238,5238
1583163619,5233,5233
1583165561,5245,5245
1583167460,4925,4925
1583169374,4843,4843
1583171327,4830,4830
1583173215,4833,4833
1583175206,4833,4833
1583177078,4821,4821
1583178975,4802,4802
1583180922,4797,4797
1583183012,4768,4768
1583184982,4722,4722
1583186910,4698,4698
1583188815,4722,4722
1583190750,4697,4697
1583192655,4735,4735
1583194621,4752,4752
1583196509,4756,4756
1583198427,4729,4729
1583200331,4719,4719
1583202260,4722,4722
1583204194,4730,4730
1583206098,4731,4731
1583208202,4771,4771
1583210174,4608,4608
1583212090,4250,4250
1583214017,4222,4222
1583215942,4216,4216
1583217902,4221,4221
1583219786,4225,4225
1583221697,4224,4224
1583223619,4201,4201
1583225531,4188,4188
1583227478,4172,4172
1583229376,4164,4164
1583231292,4158,4158
1583233471,4120,4120
1583235376,4131,4131
1583237294,4130,4130
1583239215,4116,4116
1583241134,4109,4109
1583243054,4113,4113
1583244975,4094,4094
1583246894,4086,4086
1583249098,4088,4088
1583250980,4075,4075
1583252896,4026,4026
1583255776,4045,4045
1583257698,4047,4047
1583259614,4062,4062
1583261557,4055,4055
1583263457,4043,4043
1583265415,4046,4046
1583267291,4025,4025
1583270407,3995,3995
1583272327,4007,4007
1583274256,3967,3967
1583276168,3965,3965
1583278338,3971,3971
1583280273,3925,3925
1583282173,3936,3936
1583284094,3952,3952
1583286013,3929,3929
1583287934,3950,3950
1583289860,3926,3926
1583291787,3940,3940
1583293699,3918,3918
1583295612,3882,3882
1583297529,3879,3879
1583299478,3916,3916
1583301383,3971,3971
1583303310,3964,3964
1583306442,3965,3965
1583308340,3956,3956
1583310259,3978,3978
1583312184,3968,3968
1583314098,4030,4030
1583316190,4013,4013
1583318176,3973,3973
1583320108,3959,3959
1583322031,3940,3940
1583323978,3934,3934
1583325857,3937,3937
1583327795,3893,3893
1583329699,3883,3883
1583331634,3897,3897
1583333548,3903,3903
1583335457,3931,3931
1583337377,3919,3919
1583339292,3958,3958
1583341366,3879,3879
1583343371,3894,3894
1583345306,3926,3926
1583347216,3948,3948
1583349138,3916,3916
1583351063,3874,3874
1583353023,3867,3867
1583354895,3852,3852
1583356815,3855,3855
1583358732,3814,3814
1583360656,3811,3811
1583362584,3771,3771
1583364492,3751,3751
1583367383,3717,3717
1583369306,3680,3680
1583371214,3667,3667
1583373159,3676,3676
1583375059,3629,3629
1583376981,3601,3601
1583378897,3563,3563
1583380956,3533,3533
1583382764,3523,3523
1583384748,3494,3494
1583386573,3441,3441
1583388508,3419,3419
1583390424,3421,3421
1583392336,3388,3388
1583394251,3370,3370
1583396183,3345,3345
1583398097,3307,3307
1583400014,3220,3220
1583401935,3196,3196
1583403899,3249,3249
1583405809,3321,3321
1583407696,3364,3364
1583409790,3423,3423
1583411820,3514,3514
1583413708,3576,3576
1583415614,3640,3640
1583417536,3698,3698
1583419471,3760,3760
1583421389,3810,3810
1583423307,3922,3922
1583425216,3944,3944
1583427132,3987,3987
1583429058,4035,4035
1583430979,3989,3989
1583432911,3949,3949
1583434936,4003,4003
1583436737,4029,4029
1583438702,4081,4081
1583440590,4123,4123
1583442509,4144,4144
1583444419,4160,4160
1583446337,4176,4176
1583448252,4185,4185
1583450177,4196,4196
1583452101,4213,4213
1583454013,4249,4249
1583455954,4288,4288
1583457857,4302,4302
1583459772,4305,4305
1583461690,4352,4352
1583463803,4376,4376
1583465775,4426,4426
1583467715,4420,4420
1583469615,4423,4423
1583471541,4414,4414
1583473456,4402,4402
1583475417,4395,4395
1583477298,4429,4429
1583479213,4439,4439
1583481129,4451,4451
1583483068,4488,4488
1583484971,4516,4516
1583486889,4554,4554
1583489774,4589,4589
1583491698,4518,4518
1583493620,4509,4509
