DateTime,AddedIPs,RemovedIPs
1581469934,8,1
1581471868,6,6
1581473774,0,1
1581477627,2,1
1581483397,6,7
1581488200,0,3
1581493952,0,2
1581497786,1,0
1581501737,1,0
1581503549,0,2
1581505510,0,2
1581513166,0,1
1581544131,1,0
1581546013,1,0
1581547931,0,1
1581549875,3,0
1581553693,3,0
1581556572,6,7
1581558502,4,7
1581564280,1,2
1581570540,11,7
1581574672,5,0
1581588173,0,1
1581592104,2,0
1581611567,1,0
1581630736,0,1
1581632660,0,1
1581636497,0,3
1581638646,0,1
1581640649,7,2
1581642558,3,4
1581644417,4,6
1581650197,1,1
1581655933,4,8
1581660740,6,6
1581662663,1,0
1581664672,1,0
1581668424,5,0
1581672258,7,0
1581679001,9,2
1581682823,1,0
1581692603,27,0
1581694577,4,0
1581696506,3,0
1581698413,0,1
1581723371,1,0
1581725326,2,6
1581727223,0,3
1581729139,7,2
1581731072,2,2
1581733028,3,0
1581736826,0,2
1581742581,3,5
1581744494,0,1
1581746461,3,1
1581748363,1,8
1581750501,3,0
1581752439,0,1
1581756256,0,5
1581758187,1,8
1581760110,2,0
1581763952,0,1
1581765871,0,7
1581767784,0,1
1581778333,0,27
1581780313,0,1
1581782193,0,7
1581787211,1,0
1581789128,1,0
1581794894,1,0
1581804984,1,0
1581808811,0,1
1581812670,7,2
1581814581,6,5
1581816493,1,1
1581818624,1,1
1581820594,1,2
1581822515,1,0
1581826341,1,0
1581828301,6,3
1581832099,0,2
1581834026,8,2
1581835940,11,3
1581837869,3,0
1581843750,1,1
1581845553,1,2
1581849379,1,0
1581870508,1,0
1581873626,0,1
1581875608,0,1
1581891132,0,1
1581898826,0,6
1581900736,0,7
1581902676,0,1
1581904586,0,1
1581906497,0,1
1581908646,0,1
1581910576,1,0
1581912505,0,1
1581914417,0,9
1581916333,2,0
1581920197,0,3
1581922100,0,1
1581929788,2,1
1581931690,5,1
1581935547,0,20
1581939615,3,0
1581941542,9,0
1581945385,3,0
1581947569,3,0
1581953293,1,0
1581956417,0,1
1581960279,1,0
1581962184,1,0
1581964093,5,0
1581983827,1,0
1581985695,8,0
1581987714,5,0
1581989534,6,0
1581991489,1,0
1581993398,1,0
1581997454,0,1
1582001343,4,2
1582005132,1,0
1582007079,7,0
1582008973,3,0
1582010897,2,0
1582014996,2,1
1582018817,0,5
1582022654,2,0
1582024573,0,3
1582028437,0,7
1582032281,0,3
1582034175,0,2
1582038307,2,1
1582044019,1,0
1582045955,0,1
1582047858,0,1
1582051725,0,5
1582053622,2,0
1582055546,5,0
1582064438,6,0
1582066395,1,0
1582070224,1,1
1582072156,2,7
1582074342,2,4
1582076193,4,6
1582078116,0,2
1582080017,1,0
1582081953,1,0
1582085794,1,0
1582087714,4,6
1582091534,0,1
1582093473,3,8
1582095384,1,3
1582097294,0,3
1582099392,2,0
1582101398,0,2
1582103310,0,1
1582109065,0,2
1582110984,1,0
1582124565,5,2
1582130412,2,1
1582140043,5,2
1582141931,0,5
1582145786,1,0
1582149625,0,5
1582151555,1,1
1582153544,1,1
1582157323,6,1
1582159219,0,1
1582161151,4,4
