DateTime,AddedIPs,RemovedIPs
1583038335,37,51
1583040255,34,43
1583042199,36,43
1583044103,43,37
1583046983,57,53
1583049148,49,42
1583051075,20,42
1583052990,20,31
1583054901,33,37
1583056986,32,49
1583058996,42,46
1583060927,42,45
1583062824,45,43
1583065055,47,35
1583066919,35,42
1583068838,29,35
1583070751,32,48
1583072729,36,38
1583074575,34,44
1583076502,30,39
1583078695,62,44
1583080594,55,40
1583082507,46,54
1583084447,35,33
1583086359,50,37
1583088263,37,35
1583090203,48,43
1583092138,39,42
1583094037,31,45
1583095941,36,45
1583097878,93,34
1583099877,80,46
1583101717,38,38
1583103874,32,34
1583105844,38,29
1583107737,22,43
1583109708,28,43
1583111627,28,58
1583113476,31,43
1583115403,20,34
1583117338,20,28
1583119287,30,37
1583121151,34,42
1583123127,105,29
1583125516,494,37
1583127433,44,41
1583129303,37,21
1583131245,27,46
1583133151,19,31
1583135062,31,51
1583136992,44,28
1583138902,48,20
1583140835,38,36
1583142798,42,24
1583144669,36,47
1583146591,40,41
1583148562,51,51
1583150752,41,38
1583152579,26,48
1583154550,45,41
1583156419,45,20
1583158593,71,43
1583160509,42,22
1583162507,49,38
1583164342,34,50
1583166281,43,43
1583168180,54,44
1583170097,51,41
1583172298,41,55
1583174202,45,56
1583176153,45,34
1583178022,50,47
1583179942,33,38
1583181893,43,29
1583183832,38,94
1583185701,41,82
1583187628,50,45
1583189547,53,32
1583191509,46,42
1583193388,46,30
1583195298,36,23
1583197483,37,37
1583199441,34,30
1583201311,28,28
1583203222,34,21
1583205161,46,36
1583207066,40,41
1583208991,56,47
1583210949,35,385
1583212821,34,199
1583214739,39,52
1583216665,51,33
1583218608,32,21
1583220504,25,28
1583222687,47,42
1583224576,38,48
1583226509,37,42
1583228428,33,43
1583230341,54,31
1583232263,42,55
1583234193,54,55
1583236098,58,41
1583238040,39,31
1583239962,31,38
1583241883,42,56
1583243782,49,42
1583245698,38,59
1583247876,36,44
1583249785,36,53
1583251722,41,40
1583253666,32,36
1583255543,44,74
1583257464,29,35
1583259381,52,38
1583261320,56,59
1583263233,45,36
1583265144,57,41
1583267058,30,41
1583268985,33,41
1583270894,42,35
1583272982,63,57
1583275008,45,65
1583276908,42,36
1583278822,55,51
1583280745,35,42
1583282652,54,36
1583284581,33,32
1583286503,28,42
1583288417,41,24
1583290359,32,44
1583292267,52,49
1583294178,60,52
1583296093,42,45
1583298130,34,36
1583299950,26,36
