DateTime,Entries,UniqueIPs
1583038335,2256,2256
1583040255,2247,2247
1583042199,2240,2240
1583044103,2246,2246
1583046983,2250,2250
1583049148,2257,2257
1583051075,2235,2235
1583052990,2224,2224
1583054901,2220,2220
1583056986,2203,2203
1583058996,2199,2199
1583060927,2196,2196
1583062824,2198,2198
1583065055,2210,2210
1583066919,2203,2203
1583068838,2197,2197
1583070751,2181,2181
1583072729,2179,2179
1583074575,2169,2169
1583076502,2160,2160
1583078695,2178,2178
1583080594,2193,2193
1583082507,2185,2185
1583084447,2187,2187
1583086359,2200,2200
1583088263,2202,2202
1583090203,2207,2207
1583092138,2204,2204
1583094037,2190,2190
1583095941,2181,2181
1583097878,2240,2240
1583099877,2274,2274
1583101717,2274,2274
1583103874,2272,2272
1583105844,2281,2281
1583107737,2260,2260
1583109708,2245,2245
1583111627,2215,2215
1583113476,2203,2203
1583115403,2189,2189
1583117338,2181,2181
1583119287,2174,2174
1583121151,2166,2166
1583123127,2242,2242
1583125516,2699,2699
1583127433,2702,2702
1583129303,2718,2718
1583131245,2699,2699
1583133151,2687,2687
1583135062,2667,2667
1583136992,2683,2683
1583138902,2711,2711
1583140835,2713,2713
1583142798,2731,2731
1583144669,2720,2720
1583146591,2719,2719
1583148562,2719,2719
1583150752,2722,2722
1583152579,2700,2700
1583154550,2704,2704
1583156419,2729,2729
1583158593,2757,2757
1583160509,2777,2777
1583162507,2788,2788
1583164342,2772,2772
1583166281,2772,2772
1583168180,2782,2782
1583170097,2792,2792
1583172298,2778,2778
1583174202,2767,2767
1583176153,2778,2778
1583178022,2781,2781
1583179942,2776,2776
1583181893,2790,2790
1583183832,2734,2734
1583185701,2693,2693
1583187628,2698,2698
1583189547,2719,2719
1583191509,2723,2723
1583193388,2739,2739
1583195298,2752,2752
1583197483,2752,2752
1583199441,2756,2756
1583201311,2756,2756
1583203222,2769,2769
1583205161,2779,2779
1583207066,2778,2778
1583208991,2787,2787
1583210949,2437,2437
1583212821,2272,2272
1583214739,2259,2259
1583216665,2277,2277
1583218608,2288,2288
1583220504,2285,2285
1583222687,2290,2290
1583224576,2280,2280
1583226509,2275,2275
1583228428,2265,2265
1583230341,2288,2288
1583232263,2275,2275
1583234193,2274,2274
1583236098,2291,2291
1583238040,2299,2299
1583239962,2292,2292
1583241883,2278,2278
1583243782,2285,2285
1583245698,2264,2264
1583247876,2256,2256
1583249785,2239,2239
1583251722,2240,2240
1583253666,2236,2236
1583255543,2206,2206
1583257464,2200,2200
1583259381,2214,2214
1583261320,2211,2211
1583263233,2220,2220
1583265144,2236,2236
1583267058,2225,2225
1583268985,2217,2217
1583270894,2224,2224
1583272982,2230,2230
1583275008,2210,2210
1583276908,2216,2216
1583278822,2220,2220
1583280745,2213,2213
1583282652,2231,2231
1583284581,2232,2232
1583286503,2218,2218
1583288417,2235,2235
1583290359,2223,2223
1583292267,2226,2226
1583294178,2234,2234
1583296093,2231,2231
1583298130,2229,2229
1583299950,2219,2219
1583301907,2235,2235
1583303786,2222,2222
1583305697,2228,2228
1583307620,2236,2236
1583309535,2244,2244
1583311478,2251,2251
1583313428,2261,2261
1583315545,2243,2243
1583317467,2214,2214
1583319375,2213,2213
1583321317,2189,2189
1583323236,2175,2175
1583325139,2194,2194
1583327320,2201,2201
1583329224,2208,2208
1583331155,2213,2213
1583333057,2245,2245
1583334979,2287,2287
1583336902,2287,2287
1583338814,2332,2332
1583340735,2316,2316
1583342658,2300,2300
1583344620,2376,2376
1583346503,2429,2429
1583348570,2403,2403
1583350372,2381,2381
1583352188,2342,2342
1583354177,2335,2335
1583356109,2326,2326
1583358014,2299,2299
1583359933,2287,2287
1583361855,2263,2263
1583363795,2242,2242
1583365695,2206,2206
1583367641,2198,2198
1583369533,2169,2169
1583371452,2161,2161
1583373372,2152,2152
1583375290,2107,2107
1583378416,2071,2071
1583380336,2027,2027
1583382265,2006,2006
1583384174,2008,2008
1583386093,2021,2021
1583388201,2011,2011
1583390177,1987,1987
1583392106,1975,1975
1583394022,1957,1957
1583395941,1947,1947
1583397862,1913,1913
1583399786,1896,1896
1583401703,1884,1884
1583403619,1906,1906
1583405556,1971,1971
1583407470,2022,2022
1583409373,2075,2075
1583411299,2149,2149
1583413356,2216,2216
1583415374,2274,2274
1583417290,2321,2321
1583419215,2387,2387
1583421153,2423,2423
1583423311,2533,2533
1583425220,2562,2562
1583427134,2588,2588
1583429060,2626,2626
1583430981,2572,2572
1583432914,2525,2525
1583435080,2569,2569
1583436974,2587,2587
1583438893,2631,2631
1583440819,2671,2671
1583442741,2683,2683
1583444662,2687,2687
1583446579,2706,2706
1583448520,2714,2714
1583450415,2724,2724
1583452332,2742,2742
1583454255,2766,2766
1583456172,2794,2794
1583458093,2801,2801
1583460247,2816,2816
1583462174,2856,2856
1583464141,2896,2896
1583466017,2916,2916
1583467967,2923,2923
1583469854,2928,2928
1583471776,2919,2919
1583473701,2909,2909
1583475618,2893,2893
1583477553,2923,2923
1583479460,2944,2944
1583481377,2957,2957
1583483545,2987,2987
1583485471,3003,3003
1583487383,3031,3031
1583489299,3047,3047
1583491220,2990,2990
1583493142,2969,2969
1583495074,2974,2974
1583496993,2905,2905
1583498938,2830,2830
1583500854,2776,2776
1583502740,2719,2719
1583504660,2661,2661
1583506615,2583,2583
1583508503,2496,2496
1583510587,2400,2400
1583512576,2371,2371
1583514508,2339,2339
1583516417,2427,2427
1583518361,2493,2493
1583520255,2491,2491
1583522191,2516,2516
1583524102,2526,2526
1583526044,2502,2502
1583527931,2476,2476
1583529862,2469,2469
1583531774,2461,2461
1583533699,2456,2456
1583535889,2479,2479
1583537776,2496,2496
1583539698,2490,2490
1583541617,2477,2477
1583543537,2477,2477
1583545454,2490,2490
1583547377,2465,2465
1583549296,2482,2482
1583551219,2493,2493
1583553135,2515,2515
1583555058,2555,2555
1583556969,2581,2581
1583558900,2601,2601
1583562027,2621,2621
1583563932,2602,2602
1583565876,2603,2603
1583567775,2618,2618
1583569720,2614,2614
1583571770,2616,2616
1583573823,2610,2610
1583575728,2595,2595
1583577643,2601,2601
1583579541,2582,2582
1583581451,2534,2534
1583583405,2540,2540
1583585320,2561,2561
1583587227,2589,2589
1583589132,2600,2600
1583591070,2564,2564
1583592973,2547,2547
1583594897,2530,2530
1583596890,2509,2509
1583598734,2517,2517
1583600617,2524,2524
1583602575,2456,2456
1583604521,2365,2365
1583606413,2331,2331
1583608336,2272,2272
1583610274,2239,2239
1583612176,2226,2226
1583614094,2207,2207
1583616015,2211,2211
1583617951,2206,2206
1583619874,2182,2182
1583621771,2197,2197
1583623715,2201,2201
1583625655,2197,2197
1583627537,2197,2197
1583629490,2218,2218
1583631378,2207,2207
1583633336,2223,2223
1583635221,2208,2208
1583637145,2195,2195
1583639084,2182,2182
1583640992,2157,2157
1583642909,2125,2125
1583644843,2126,2126
1583646740,2138,2138
1583648670,2117,2117
1583650601,2143,2143
1583652503,2129,2129
1583654677,2121,2121
1583656576,2128,2128
1583658494,2135,2135
1583660436,2108,2108
1583662340,2142,2142
1583664277,2133,2133
1583666175,2118,2118
1583668099,2104,2104
1583670035,2086,2086
1583671933,2051,2051
1583673856,2038,2038
1583675793,2041,2041
1583677714,2063,2063
1583679757,2078,2078
1583681799,2115,2115
1583683699,2127,2127
1583685614,2180,2180
1583687543,2204,2204
1583689485,2218,2218
1583691383,2237,2237
1583693301,2241,2241
1583695240,2238,2238
1583697134,2245,2245
1583699061,2255,2255
1583700998,2259,2259
1583702923,2240,2240
1583705059,2282,2282
1583706976,2272,2272
1583708928,2259,2259
1583710819,2238,2238
1583712742,2261,2261
1583714680,2273,2273
1583716579,2234,2234
1583718499,2241,2241
1583720438,2245,2245
1583722339,2252,2252
1583724258,2254,2254
1583726175,2272,2272
1583728093,2259,2259
1583730168,2246,2246
1583732201,2263,2263
1583734120,2256,2256
1583736023,2246,2246
1583737935,2268,2268
1583739879,2299,2299
1583741796,2325,2325
1583743717,2315,2315
1583745636,2311,2311
1583747553,2305,2305
1583749454,2276,2276
1583751396,2280,2280
1583753313,2270,2270
1583755380,2278,2278
1583757373,2299,2299
1583759319,2318,2318
1583761236,2302,2302
1583763136,2292,2292
1583765087,2293,2293
1583766977,2273,2273
1583768898,2247,2247
1583770862,2231,2231
1583772756,2180,2180
1583774663,2156,2156
1583776608,2128,2128
1583778510,2112,2112
1583780557,2103,2103
1583782582,2102,2102
1583784530,2100,2100
1583786418,2116,2116
1583788611,2120,2120
1583790501,2095,2095
1583792419,2103,2103
1583794357,2098,2098
1583796256,2088,2088
1583798178,2076,2076
1583800099,2054,2054
1583802155,2062,2062
1583804175,2062,2062
1583806097,2072,2072
1583808016,2067,2067
1583809935,2065,2065
1583811882,2084,2084
1583813775,2082,2082
1583815696,2119,2119
1583817614,2142,2142
1583819562,2147,2147
1583821461,2172,2172
1583823397,2189,2189
1583825294,2167,2167
1583828208,2123,2123
1583830110,2124,2124
1583832016,2102,2102
1583833964,2095,2095
1583835894,2096,2096
1583837785,2093,2093
1583839769,2094,2094
1583841805,2085,2085
1583843777,2086,2086
1583845694,2082,2082
1583847612,2101,2101
1583849558,2121,2121
1583851451,2132,2132
1583853399,2163,2163
1583855297,2172,2172
1583857245,2183,2183
1583859162,2204,2204
1583861079,2231,2231
1583863002,2264,2264
1583864919,2292,2292
1583867798,2301,2301
1583869707,2301,2301
1583871634,2322,2322
1583873533,2321,2321
1583875456,2308,2308
1583877373,2302,2302
1583879296,2285,2285
1583881332,2305,2305
1583883172,2310,2310
1583885338,2297,2297
1583887214,2279,2279
1583889142,2277,2277
1583891065,2254,2254
1583892980,2247,2247
1583894897,2255,2255
1583896819,2247,2247
1583898760,2230,2230
1583900665,2218,2218
1583902579,2189,2189
1583904493,2196,2196
1583906697,2184,2184
1583908603,2199,2199
1583910506,2190,2190
1583912420,2203,2203
1583914337,2210,2210
1583916258,2217,2217
1583918183,2214,2214
1583920098,2241,2241
1583922018,2249,2249
1583923936,2268,2268
