DateTime,AddedIPs,RemovedIPs
1582627937,0,1
1582629890,2,0
1582631781,1,0
1582633694,0,1
1582635820,2,0
1582639695,1,0
1582641618,2,1
1582643550,1,1
1582647373,2,1
1582651223,2,1
1582655058,2,1
1582661015,2,2
1582662972,1,0
1582664908,0,3
1582668734,2,0
1582670689,1,0
1582672578,1,0
1582674511,1,0
1582676416,0,3
1582680268,3,0
1582682178,2,2
1582686308,1,0
1582688195,2,1
1582690109,0,1
1582701758,0,1
1582703793,2,0
1582709561,1,0
1582711473,1,0
1582715305,0,1
1582719146,1,1
1582722980,3,2
1582724899,1,0
1582726827,0,3
1582728744,1,0
1582730657,1,1
1582732575,2,1
1582734508,1,2
1582736611,2,1
1582738577,1,1
1582740508,1,1
1582742426,1,1
1582748198,0,2
1582750098,0,1
1582752025,1,0
1582753956,0,1
1582755857,2,1
1582757784,0,1
1582759693,0,1
1582761497,2,2
1582767646,1,5
1582771463,0,1
1582775319,1,2
1582777218,1,0
1582779138,2,0
1582784896,2,0
1582786985,1,0
1582790908,0,2
1582796675,1,2
1582798614,1,0
1582804356,1,1
1582806277,1,0
1582810113,0,3
1582812190,2,1
1582814213,1,1
1582818287,1,2
1582820216,1,1
1582822096,0,3
1582825937,1,1
1582827852,0,1
1582829787,2,1
1582831758,1,0
1582837722,1,1
1582839616,1,0
1582841536,0,2
1582843486,1,0
1582846354,1,0
1582848636,1,1
1582852581,2,0
1582854510,3,2
1582858356,1,0
1582860259,1,0
1582862206,0,2
1582866090,1,1
1582869885,1,0
1582871772,1,2
1582873694,1,1
1582875626,1,0
1582881451,1,0
1582883298,1,2
1582887132,1,0
1582890985,0,1
1582892891,4,1
1582895071,2,0
1582896972,0,2
1582898918,0,1
1582906828,1,1
1582908733,0,1
1582912587,0,1
1582916599,0,2
1582918572,0,1
1582922416,2,0
1582924587,0,1
1582928429,0,1
1582932259,0,1
1582938324,0,2
1582940181,0,1
1582942106,1,2
1582944021,4,1
1582945934,0,1
1582947870,2,0
1582951700,1,1
1582957469,1,1
1582959392,0,2
1582961290,1,0
1582963444,0,1
1582965372,2,0
1582967309,0,1
1582969215,0,2
1582971145,1,0
1582973068,1,1
1582975091,2,0
1582978833,1,3
1582980735,2,1
1582982695,0,2
1582984575,1,0
1582992507,0,1
1583002102,1,0
1583004036,6,0
1583005931,0,2
1583007854,1,0
1583009808,0,2
1583013853,1,0
1583015790,2,0
1583025652,2,0
1583029454,0,1
1583031386,0,3
1583035311,3,2
1583043140,2,0
1583045127,1,0
1583046985,1,1
1583051079,1,0
1583052992,2,2
1583057012,1,1
1583058999,0,2
1583060929,1,1
1583062826,1,1
1583065058,0,1
1583066921,0,1
1583068841,1,0
1583070754,1,2
1583072733,1,0
1583074578,1,0
1583076504,1,0
1583084448,0,1
1583086361,1,0
1583088265,1,0
1583090205,0,6
1583094038,1,1
1583095942,0,1
1583099902,0,1
1583101718,0,1
1583103935,0,1
1583111663,0,1
1583113477,0,1
1583115404,2,0
1583121153,1,3
1583123130,1,0
1583125521,2,0
1583127435,1,0
1583129305,1,2
1583133152,2,3
1583138904,0,2
1583140836,2,0
1583146592,0,1
1583148564,0,1
1583152581,1,0
1583154551,1,1
1583160510,1,1
1583162508,0,1
1583166283,0,1
1583170099,2,0
1583172303,1,1
1583174205,2,1
1583178025,0,1
1583179943,2,0
1583181895,0,1
1583193389,1,0
1583201312,1,1
1583208993,0,3
1583210961,1,2
1583214741,1,2
1583218610,2,1
1583220505,1,0
1583222691,1,0
1583224578,0,1
1583226512,1,2
1583234195,2,0
1583239964,0,2
1583245700,1,0
1583247887,0,1
1583255544,1,2
1583257466,0,1
1583259382,1,1
1583261322,1,2
1583263234,1,0
1583265145,1,2
1583270905,1,0
1583272986,1,0
1583275010,1,0
1583278824,0,1
1583288418,1,2
1583292269,1,0
1583294179,0,1
1583298142,0,1
1583301909,0,1
1583305698,4,3
1583307621,1,0
1583309536,0,1
1583311479,1,0
1583313429,0,1
1583317484,1,0
1583319376,0,2
1583323270,2,0
1583327320,4,0
1583329225,1,0
1583331156,1,0
1583333058,0,1
1583336902,1,0
1583342660,1,1
1583344621,1,0
1583346504,0,2
1583350593,1,0
1583352554,3,1
1583356343,0,1
1583358255,0,2
1583362211,1,1
1583365930,1,0
1583367858,1,0
1583371694,2,0
1583373680,2,1
1583375542,1,0
1583377524,0,1
1583390904,1,3
1583392810,3,2
1583394756,1,0
1583398604,0,1
1583400494,1,0
1583402591,0,1
1583404580,2,0
1583408432,1,0
1583410386,1,2
1583414186,1,4
1583416341,2,1
1583418260,1,0
1583420183,0,1
1583422165,2,0
1583424302,0,1
1583426182,1,0
1583428105,1,0
1583430020,0,2
1583431972,1,0
1583433859,3,0
1583435794,1,1
1583437716,1,2
1583439619,3,1
1583441534,1,0
1583443462,2,0
1583445383,1,0
1583447293,3,0
1583449541,0,1
1583451381,1,1
1583455228,0,1
1583457142,2,1
1583459060,0,1
1583460983,0,2
1583466739,1,0
1583470576,1,0
1583476580,0,1
1583478495,0,3
1583480419,3,1
1583482339,1,0
1583484266,1,0
1583486179,1,0
1583488105,1,1
1583491934,0,2
1583495774,1,1
1583497698,1,1
1583500621,1,1
1583502510,4,2
1583504430,0,1
1583506332,2,0
1583508270,2,1
1583510176,2,0
1583512097,0,1
1583514287,0,1
1583516180,1,0
1583520031,0,4
1583521941,3,0
1583523858,0,2
1583525782,0,3
1583527703,0,1
1583529614,1,2
1583531531,0,1
1583533454,2,2
1583535373,0,1
1583537545,1,1
1583539470,1,0
1583541384,0,1
1583543307,0,2
1583550982,3,0
1583552916,0,1
1583554827,2,0
1583556761,1,1
1583565436,2,2
1583567304,0,2
1583569261,1,0
1583571164,0,1
1583573080,0,2
1583581959,1,1
1583585779,0,1
1583587699,3,2
1583589871,2,2
1583591777,0,1
1583593695,0,1
1583595619,0,2
1583599459,2,0
1583603300,2,2
1583607140,1,2
1583609060,2,2
1583611004,3,0
1583612894,2,0
1583615035,2,0
1583616973,0,1
1583618896,0,1
1583620836,1,1
1583622746,0,1
1583626602,0,2
1583628500,1,0
1583630448,1,0
1583632336,1,0
1583636213,0,1
1583638100,0,2
1583642179,1,1
1583644118,0,1
1583646018,0,1
1583647958,1,0
1583651779,0,1
1583653700,2,1
1583659456,1,0
1583661387,2,1
1583665495,2,0
1583669328,1,1
1583671217,1,0
1583673173,3,1
1583675076,0,3
1583677002,0,1
1583678908,1,0
1583680815,0,1
1583682735,1,0
1583684712,1,1
1583686575,0,1
1583688506,1,2
1583692580,1,0
1583694527,2,2
1583696416,2,3
1583698339,0,2
1583700277,0,2
1583702201,0,1
1583704098,4,0
1583706061,0,1
1583707933,1,0
1583711831,2,0
1583713695,1,0
1583717774,1,2
1583721618,1,0
1583729298,1,1
1583731242,2,0
1583733132,1,0
1583735057,1,1
1583737010,1,0
1583738890,0,1
1583740907,0,1
1583742758,1,0
1583746575,0,1
1583748542,0,1
1583750426,0,1
1583752337,1,1
1583754262,1,0
1583756188,0,1
1583758094,0,2
1583760039,0,2
1583761956,2,0
1583763855,2,1
1583767692,0,1
1583769696,1,0
1583771563,0,1
1583775384,2,1
1583779234,1,1
1583781145,1,2
1583783061,0,2
1583788820,3,0
1583790761,4,4
1583794594,0,1
1583796526,0,1
1583800599,1,1
1583804440,1,0
1583808282,0,1
1583814039,0,1
1583815959,0,1
1583817857,0,2
1583819775,2,1
1583821705,0,2
1583823917,1,1
1583825780,5,0
1583827697,8,0
1583829640,9,1
1583831538,3,0
1583833452,3,0
1583835376,3,0
1583837296,317,0
1583839228,392,1
1583841172,425,1
1583843058,348,0
1583844975,392,0
1583846924,397,0
1583849775,567,2
1583851900,579,0
1583853864,23,0
1583855781,4,1
1583857726,1,0
1583859892,1,1
1583867561,1,1
1583871426,1,0
1583873322,1,0
1583875231,1,1
1583877138,0,3
1583879063,1,0
1583882895,5,0
1583886970,2,0
1583888892,5,0
1583890827,3,1
1583892736,2,0
1583894685,5,0
1583896579,7,0
1583898491,5,0
1583900411,3,0
1583902328,3,0
1583904252,1,0
1583906173,8,2
1583908090,3,1
1583910141,3,0
1583912171,0,6
1583914100,4,7
1583916015,3,4
1583917940,4,2
1583919863,1,3
1583921772,0,3
1583923696,1,316
1583925612,0,393
1583927530,1,416
1583929453,1,362
1583931373,0,395
1583933293,2,391
1583935399,2,372
1583937373,0,524
1583939179,0,279
1583941000,2,3
1583942899,1,3
1583944840,2,3
1583948657,0,1
1583950617,2,0
1583954452,2,1
1583956333,2,0
1583958276,0,1
1583960186,0,1
1583962095,0,1
1583964185,2,0
1583966197,0,1
1583968089,2,2
1583970012,2,3
1583973853,1,3
1583975775,2,7
1583977698,8,2
1583979620,4,2
1583981555,7,7
1583983464,3,6
1583985378,3,5
1583987294,1,2
1583989439,8,4
1583991384,6,5
1583993303,5,5
1583995239,4,4
1583997138,0,1
1583999064,4,1
1584000980,3,3
1584002908,3,3
1584004913,4,4
1584006750,3,1
1584008871,5,1
1584011108,2,1
