DateTime,AddedIPs,RemovedIPs
1583031385,3173,56
1583033303,2453,86
1583036182,3741,92
1583038096,3395,60
1583040032,1781,66
1583041935,63,44
1583043881,71,50
1583045809,49,48
1583047955,71,54
1583049884,68,44
1583051789,152,57
1583053716,47,45
1583055627,50,52
1583057551,49,45
1583059478,65,88
1583061386,82,107
1583063361,82,87
1583065476,52,58
1583067435,57,47
1583069358,62,45
1583071536,61,61
1583073436,62,44
1583075320,46,31
1583077229,45,60
1583079174,55,68
1583081067,51,74
1583083015,34,71
1583084919,56,88
1583086828,53,50
1583088753,36,62
1583090681,28,71
1583092611,45,50
1583094506,45,46
1583097413,51,72
1583099326,34,62
1583101333,41,2017
1583103156,38,3304
1583105084,46,2954
1583107021,62,3428
1583108907,458,2145
1583110922,731,3010
1583112777,580,2842
1583114742,951,3029
1583116619,715,3233
1583118541,788,2723
1583120442,833,2768
1583122335,1307,2515
1583124177,811,3146
1583126200,752,2414
1583128112,1454,77
1583130011,1195,113
1583131953,1168,116
1583133866,1220,97
1583135771,1278,118
1583137709,1040,205
1583140581,1479,174
1583142500,1112,96
1583144441,1067,104
1583146341,1195,82
1583148261,1002,118
1583150189,1074,116
1583152101,990,91
1583154976,1485,127
1583156893,1081,76
1583158880,752,74
1583160764,879,80
1583162657,799,68
1583164593,1039,73
1583166498,872,68
1583168664,719,71
1583170606,69,74
1583172501,83,65
1583174417,79,59
1583176623,101,51
1583178533,58,70
1583180457,83,59
1583182364,81,56
1583184304,84,57
1583186176,71,56
1583188107,70,58
1583190296,92,65
1583192187,66,61
1583194102,59,142
1583196015,83,689
1583197823,95,402
1583199859,79,844
1583201776,74,743
1583203696,67,812
1583205631,61,766
1583207563,57,1160
1583209461,71,1207
1583211406,71,428
1583213309,59,1252
1583215471,68,1444
1583217375,68,1090
1583219313,68,1207
1583221214,74,1287
1583223139,72,1045
1583225053,97,1072
1583226990,59,1010
1583228966,87,1102
1583230818,167,955
1583232734,78,1197
1583234656,130,980
