DateTime,AddedIPs,RemovedIPs
1583037151,50,66
1583039109,63,58
1583041221,98,44
1583043141,63,58
1583045128,65,44
1583046985,35,49
1583049150,88,43
1583051079,258,43
1583052992,75,38
1583054904,43,45
1583057019,62,46
1583058999,62,47
1583060930,79,44
1583062827,83,42
1583065059,75,54
1583066922,53,40
1583068841,66,47
1583070754,60,48
1583072763,46,27
1583074578,35,36
1583076504,41,45
1583078699,36,70
1583080596,42,87
1583082509,40,69
1583084449,41,47
1583086361,40,54
1583088265,33,46
1583090205,29,72
1583092141,27,71
1583094039,36,45
1583095942,25,51
1583097880,27,65
1583099903,42,70
1583101719,43,63
1583103938,41,103
1583105854,32,105
1583107760,39,139
1583109712,65,205
1583111675,68,87
1583113477,61,71
1583115405,45,59
1583117340,32,76
1583119290,40,59
1583121154,45,57
1583123131,40,62
1583125523,51,109
1583127435,31,96
1583129305,35,63
1583131247,44,77
1583133153,42,79
1583135063,56,67
1583136994,53,204
1583138904,48,127
1583140836,50,56
1583142822,112,68
1583144671,70,79
1583146593,54,70
1583148564,66,111
1583150754,63,75
1583152581,54,67
1583154551,65,65
1583156421,75,58
1583158595,103,77
1583160511,79,58
1583162509,85,59
1583164344,86,43
1583166283,77,51
1583168182,84,46
1583170099,75,47
1583172305,78,50
1583174205,79,58
1583176155,83,44
1583178025,61,31
1583179944,65,52
1583181896,71,42
1583183834,69,45
1583185703,61,41
1583187630,63,37
1583189549,77,46
1583191510,67,52
1583193390,58,46
1583195300,64,42
1583197485,97,58
1583199443,59,55
1583201313,60,47
1583203248,59,37
1583205164,51,46
1583207068,48,49
1583208994,54,39
1583210961,46,52
1583212823,54,33
1583214741,52,44
1583216667,45,35
1583218610,32,45
1583220506,50,47
1583222692,57,55
1583224579,64,42
1583226512,44,42
1583228431,61,68
1583230343,40,77
1583232266,52,69
1583234195,38,50
1583236100,108,55
1583238043,75,56
1583239964,54,53
1583241885,51,63
1583243784,53,72
1583245700,54,55
1583247888,57,60
1583249800,61,67
1583251724,59,61
1583253668,191,46
1583255544,124,50
1583257466,78,47
1583259383,18,48
1583261322,23,59
1583263235,76,50
1583265153,482,48
1583267059,374,55
1583268987,242,56
1583270906,132,50
1583272989,88,36
1583275010,61,50
1583276911,72,55
1583278825,129,59
1583280746,102,41
1583282654,125,51
1583284582,60,50
1583286505,45,56
1583288419,30,46
1583290360,33,48
1583292270,49,44
1583294180,59,44
1583296095,37,36
1583298159,39,41
1583300185,84,48
1583302118,45,39
1583304021,46,33
1583305963,46,34
1583307856,46,43
1583309775,39,46
1583311712,42,41
1583313614,20,38
1583315546,38,35
1583317485,40,42
1583319376,44,50
1583321319,45,108
1583324217,71,63
1583326104,50,45
1583328027,39,55
1583329937,44,63
1583331879,48,40
1583333778,35,48
1583335698,34,52
1583337884,43,236
1583339777,35,149
1583341715,31,160
1583343641,47,162
1583345794,52,49
1583347709,39,37
1583349664,68,59
1583351569,117,267
1583353465,105,191
1583355385,63,177
1583357303,72,133
1583359551,76,100
1583361375,57,58
1583363558,73,127
1583365457,90,127
1583367395,82,162
1583369312,87,135
1583371220,64,67
1583373163,64,59
1583375064,42,31
1583376989,44,50
1583378902,50,65
1583380987,55,73
1583382976,48,54
1583384907,51,57
1583386823,57,87
1583388750,54,64
1583390665,41,80
1583392592,54,82
1583394499,38,54
1583396419,49,52
1583398335,46,58
1583400267,40,50
1583402175,29,61
1583404097,38,60
1583406318,40,73
1583408178,59,67
1583410110,48,61
1583412261,39,75
1583414187,74,50
1583416342,57,56
1583418261,45,53
1583420185,40,43
1583422166,39,52
1583424304,30,44
1583426183,33,52
1583428106,26,44
1583430021,24,56
1583431972,36,48
1583433860,52,40
1583435795,54,45
1583437716,72,83
1583439620,69,99
1583441534,89,70
1583443463,68,60
1583445383,67,52
1583447294,69,58
1583449543,79,62
1583451381,79,61
1583453312,76,101
1583455228,78,72
1583457143,63,60
1583459061,66,66
1583460983,52,49
1583462901,65,47
1583464847,88,49
1583466739,64,51
1583468681,65,54
1583470577,75,55
1583472499,58,52
1583474693,83,66
1583476581,68,54
1583478495,54,54
1583480420,59,42
1583482340,62,48
1583484266,67,59
1583486180,65,48
1583488106,57,52
1583490015,54,42
1583491934,64,44
1583493860,57,41
1583495775,52,49
1583497699,59,47
1583500622,78,82
1583502511,50,55
1583504431,108,52
1583506332,59,65
1583508270,56,44
1583510177,70,49
1583512097,113,30
1583514291,81,50
1583516180,75,43
1583518119,56,37
1583520031,71,63
1583521941,87,58
1583523859,71,69
1583525783,66,60
1583527703,59,89
1583529615,54,68
1583531532,119,70
1583533454,64,65
1583535374,65,58
1583537546,116,71
1583539472,83,95
1583541385,133,88
1583543308,75,78
1583545224,66,56
1583547142,59,70
1583549064,62,67
1583550982,75,63
1583552917,67,67
1583554828,52,49
1583556762,69,56
1583558666,79,52
1583560612,70,74
1583562497,75,58
1583565436,70,86
1583567305,42,68
1583569262,80,63
1583571165,59,50
1583573081,60,57
1583574980,55,58
1583576925,50,51
1583580055,102,95
1583581960,52,49
1583583887,45,46
1583585780,28,49
1583587699,61,57
1583589873,49,52
1583591778,47,108
1583593696,42,65
1583595619,57,75
1583597573,35,93
1583599459,62,86
1583601385,42,54
1583603301,42,60
1583605247,54,59
1583607140,352,61
1583609061,796,65
1583611004,276,58
1583612894,58,56
1583615050,55,57
1583616974,68,161
1583618897,46,67
1583620837,81,76
1583622746,59,100
1583624659,79,90
1583626602,111,92
1583628501,92,80
1583630449,73,70
1583632337,76,80
1583634262,85,68
1583636213,70,89
1583638101,58,69
1583640277,69,87
1583642180,57,68
1583644119,57,69
1583646020,56,94
1583647959,53,74
1583649877,52,66
1583651780,75,53
1583653700,90,51
1583655616,104,86
1583657561,77,57
1583659457,62,59
1583661388,55,60
1583663564,67,56
1583665496,53,55
1583667377,73,72
1583669329,63,51
1583671219,85,47
1583673174,72,62
1583675076,67,54
1583677002,70,67
1583678909,47,69
1583680816,34,55
1583682735,50,54
1583684712,62,49
1583686576,55,71
1583688507,64,44
1583690616,61,61
1583692581,48,63
1583694528,48,572
1583696416,72,782
1583698340,43,59
1583700278,62,50
1583702201,61,59
1583704099,58,58
1583706062,46,64
1583707933,50,70
1583709856,69,53
1583711833,58,88
1583713696,47,84
1583715845,61,74
1583717775,63,84
1583719741,43,74
1583721619,48,71
1583723541,43,58
1583725459,57,54
1583727382,49,65
1583729298,51,77
1583731242,43,55
1583733133,54,45
1583735057,45,58
1583737010,62,77
1583738891,44,81
1583740920,61,84
1583742759,72,115
1583744669,55,56
1583746576,68,53
1583748542,62,84
1583750427,53,52
1583752338,42,58
1583754263,52,78
1583756189,40,62
1583758094,41,98
1583760040,40,58
1583761956,44,65
1583763856,35,55
1583765798,47,48
1583767692,38,52
1583769712,79,67
1583771563,78,61
1583773529,56,61
1583775384,73,50
1583777334,2206,46
1583779235,912,49
1583781146,44,45
1583783062,62,47
1583784982,66,37
1583786902,70,58
1583788820,46,56
1583790762,61,48
1583792674,57,29
1583794595,55,43
1583796527,76,63
1583798642,69,44
1583800600,86,56
1583802520,78,36
1583804440,63,45
1583806349,63,36
1583808283,59,50
1583810178,46,38
1583812101,70,44
1583814039,62,44
1583815960,56,35
1583817857,57,27
1583819776,75,42
1583821706,62,35
1583823920,71,50
1583825781,89,35
1583827699,84,35
1583829640,51,58
1583831539,52,38
1583833452,42,40
1583835377,43,37
1583837297,291,48
1583839230,411,40
1583841173,638,38
1583843059,453,36
1583844975,393,37
1583846925,412,45
1583849776,573,52
1583851901,500,32
1583853865,413,23
1583855782,383,73
1583857726,380,44
1583859893,416,48
1583861808,480,47
1583863703,472,1780
1583865623,526,899
1583867561,488,49
1583869472,559,45
1583871427,492,59
1583873322,549,48
1583875231,502,46
1583877138,552,49
1583879063,527,53
1583880983,587,45
1583882896,537,62
1583884990,621,62
1583886971,581,46
1583888893,485,72
1583890829,605,45
1583892737,528,48
1583894686,532,52
1583896580,462,41
1583898492,509,59
1583900412,449,47
1583902330,531,41
1583904253,482,48
1583906175,513,47
1583908092,504,48
1583910157,522,66
1583912173,507,96
1583914101,430,70
1583916016,489,62
1583917940,432,53
1583919864,493,52
1583921773,436,47
1583923698,421,300
1583925614,463,390
1583927532,485,532
1583929454,379,401
1583931374,487,369
1583933293,384,382
1583935415,428,394
1583937375,380,451
1583939181,324,394
1583941002,356,387
1583942900,343,349
1583944842,345,442
1583946755,377,392
1583948658,445,500
1583950619,371,488
1583952512,379,469
1583954454,354,433
1583956335,430,520
1583958277,475,428
1583960187,455,509
1583962096,442,483
1583964189,507,518
1583966199,530,551
1583968091,491,504
1583970013,513,566
1583971946,62,519
1583973855,80,553
1583975777,72,521
1583977699,75,562
1583979621,69,487
1583981557,95,536
1583983465,85,468
1583985379,78,512
1583987295,63,451
1583989461,92,527
1583991385,72,537
1583993304,78,455
1583995240,81,549
1583997140,96,458
1583999065,80,508
1584000982,84,450
1584002909,82,508
1584004914,90,475
1584006751,78,458
1584008892,86,452
1584011111,89,516
