DateTime,AddedIPs,RemovedIPs
1583026826,4,7
1583028738,7,11
1583030675,3,10
1583032597,4,5
1583034504,3,1
1583036430,2,7
1583038337,4,3
1583040257,4,5
1583042201,1,5
1583044106,6,2
1583046987,15,31
1583049152,11,16
1583051081,8,16
1583052994,15,9
1583054906,14,11
1583057060,16,14
1583059002,11,8
1583060933,151,12
1583062829,176,3
1583065100,449,4
1583066934,785,4
1583068845,846,5
1583070757,1122,0
1583072768,856,2
1583074581,777,3
1583076509,0,32
1583078705,2,15
1583080600,1,12
1583082512,0,11
1583084452,1,10
1583086365,1,13
1583088269,0,18
1583090208,1,7
1583092145,1,0
1583094042,0,2
1583095945,2,7
1583097882,0,4
1583099949,256,5
1583101949,319,3
1583103943,464,1
1583105857,477,5
1583107762,372,4
1583109719,469,5
1583111697,263,3
1583113712,461,4
1583115645,461,2
1583117547,501,1
1583119546,455,3
1583121391,129,3
1583123660,8,6
1583125525,7,3
1583127437,4,4
1583129307,6,4
1583131250,11,2
1583133155,4,7
1583135066,5,8
1583136997,3,8
1583138907,7,13
1583140839,11,14
1583142825,7,12
1583144672,3,12
1583146595,2,15
1583148567,3,3
1583150757,15,6
1583152584,14,7
1583154554,10,5
1583156423,10,5
1583158597,14,1
1583160513,4,5
1583162511,3,0
1583164346,4,1
1583166285,1,0
1583168185,6,0
1583170101,2,1
1583172326,13,0
1583174207,3,0
1583176159,4,1
1583178027,11,0
1583179946,6,1
1583181898,11,0
1583183836,8,0
1583185707,7,309
1583187633,4,444
1583189552,2,1105
1583191513,1,1033
1583193393,3,739
1583195304,3,680
1583197489,0,713
1583199445,0,952
1583201315,1,1190
1583203251,0,1017
1583205166,1,862
1583207070,2,726
1583208996,5,4
1583210964,2,3
1583212826,3,1
1583214743,1,3
1583216709,6,4
1583218612,5,4
1583220507,8,4
1583222696,6,9
1583224581,9,3
1583226515,8,6
1583228434,4,6
1583230346,1,4
1583232269,3,3
1583234198,1,0
1583236102,0,20
1583238044,2,8
1583239966,3,23
1583241887,0,10
1583243786,4,19
1583245702,0,9
1583247893,0,12
1583249849,7,9
1583251726,8,8
1583253670,4,7
1583255546,21,8
1583257494,17,8
1583259385,24,12
1583261324,21,6
1583263237,15,18
1583265155,13,15
1583267061,14,14
1583268988,6,11
1583270908,1,14
1583273008,0,8
1583275012,1,9
1583276913,4,7
1583278828,12,8
1583280748,11,9
1583282656,2,1
1583286506,1,0
1583288421,2,1
1583290362,1,0
1583292271,101,1
1583294182,52,5
1583296098,73,1
1583298300,83,3
1583300187,58,4
1583302120,47,5
1583304023,33,6
1583305965,35,5
1583307859,30,6
1583309776,7,6
1583311713,1,7
1583313616,1,9
1583315548,1,1
1583317487,3,1
1583319378,5,1
1583323321,3,1
1583325142,1,4
1583326988,1,1
1583328974,0,3
1583330919,3,1
1583332816,3,1
1583334739,16,2
1583336674,5,5
1583338593,10,10
1583340504,4,6
1583342414,6,21
1583344337,9,14
1583346261,6,19
1583348176,7,11
1583350093,5,6
1583352287,4,14
1583354179,3,12
1583356112,18,1
1583358017,8,2
1583359935,3,1
1583361857,4,0
1583363797,4,5
1583365697,3,8
1583367643,3,5
1583369535,3,3
1583371455,5,0
1583373374,8,1
1583375292,8,1
1583378418,3,72
1583380338,1,48
1583382267,3,62
1583384176,4,53
1583386095,1,46
1583388221,2,43
1583390179,5,2
1583392108,15,79
1583394024,11,75
1583395943,11,25
1583397864,14,1
1583399788,6,1
1583401706,11,2
1583403622,8,3
1583405561,10,4
1583407474,9,0
1583409376,9,2
1583411301,9,1
1583413476,4,1
1583415377,10,0
1583417292,6,2
1583419218,24,3
1583421156,8,18
1583423313,0,3
1583425223,1,9
1583427137,0,5
1583429062,0,2
1583430984,2,4
1583435118,22,14
1583436978,60,7
1583438896,20,1
1583440823,30,1
1583442743,19,41
1583444665,17,8
1583446581,21,4
1583448522,24,2
1583450417,10,8
1583452334,17,4
1583454257,1,3
1583456175,2,3
1583458096,2,4
1583460289,1,10
1583462178,1,4
1583464152,29,5
1583466023,26,2
1583467970,25,4
1583469857,37,2
1583471780,28,3
1583473704,27,2
1583475621,39,2
1583477556,49,5
1583479463,9,19
1583481379,1,9
1583483549,6,15
1583485473,11,6
1583487385,1,8
1583489301,3,6
1583491223,1,12
1583493143,3,10
1583495076,4,5
1583496996,6,8
1583498940,2,7
1583500856,8,7
1583502741,10,10
1583504663,8,9
1583506617,1,11
1583508505,0,4
1583512578,1,1
1583514511,1,0
1583516420,5,2
1583520258,1,0
1583522195,35,47
1583524103,20,17
1583526045,21,11
1583527933,37,14
1583529865,22,11
1583531777,26,11
1583533702,18,11
1583535937,17,16
1583537779,10,1
1583539700,8,20
1583541619,10,0
1583543539,1,4
1583545456,2,1
1583547379,0,1
1583549298,4,1
1583551221,14,94
1583553147,23,35
1583555059,25,40
1583556971,15,47
1583558904,25,30
1583562029,53,56
1583563934,57,37
1583565882,53,9
1583567788,47,0
1583569750,51,5
1583571779,29,6
1583573844,39,1
1583575731,29,1
1583577648,35,0
1583579543,19,1
1583581453,35,5
1583583407,22,3
1583585322,24,2
1583587230,14,5
1583589135,22,9
1583591072,24,5
1583592977,17,1
1583594900,5,0
1583596943,9,0
1583598995,5,1
1583600924,5,1
1583602819,0,4
1583604738,1,0
1583606681,4,2
1583608577,11,28
1583610496,8,12
1583612441,3,14
1583614332,2,20
1583616253,1,18
1583618171,2,19
1583620115,3,6
1583622108,3,16
1583623934,2,6
1583625902,1,9
1583627773,1,8
1583629724,0,2
1583631627,0,2
1583635479,1,4
1583637381,1,11
1583639300,3,23
1583641261,1,23
1583643134,6,21
1583645058,4,21
1583646995,3,25
1583649184,4,36
1583652049,7,51
1583653936,11,29
1583655873,12,29
1583657786,6,19
1583659721,9,21
1583662604,14,28
1583664505,7,16
1583666448,4,62
1583668340,4,61
1583670258,4,37
1583672203,5,49
1583674098,13,32
1583676252,6,44
1583678180,5,46
1583680100,12,32
1583682026,10,19
1583683961,4,10
1583685885,5,8
1583687796,7,5
1583689703,8,4
1583691640,3,6
1583693538,7,18
1583695471,10,13
1583697399,5,10
1583699307,4,4
1583701470,11,6
1583703378,6,4
1583705332,14,8
1583707239,9,6
1583709142,28,3
1583711087,36,5
1583712983,27,4
1583714905,3,1
1583716857,3,2
1583718763,2,6
1583720663,3,2
1583722600,6,1
1583724521,4,2
1583726690,2,3
1583728585,7,4
1583730529,9,6
1583732425,9,7
1583734351,3,3
1583736283,3,9
1583738180,2,6
1583740100,0,9
1583742039,2,7
1583743937,5,9
1583745859,4,7
1583747799,6,9
1583749698,3,4
1583751884,4,7
1583753773,8,6
1583755732,15,7
1583757618,7,9
1583759542,6,7
1583761528,15,12
1583763402,5,6
1583765300,5,11
1583767264,2,14
1583769137,6,7
1583771060,5,2
1583772981,1,6
1583774950,69,4
1583776997,39,5
1583778976,27,9
1583780944,17,4
1583782848,15,6
1583784743,18,6
1583786687,17,7
1583788616,11,4
1583790508,15,4
1583792424,10,7
1583794361,12,3
1583796259,15,27
1583798183,10,28
1583800102,7,9
1583802188,3,2
1583804179,3,4
1583806099,6,5
1583808019,3,1
1583809937,1,6
1583811885,4,4
1583813778,2,2
1583815702,5,6
1583817617,2,5
1583819565,7,3
1583821492,2,2
1583823400,1,1
1583825301,5,1
1583827239,1,1
1583829136,7,2
1583831080,4,2
1583832977,2,2
1583834894,1,4
1583836838,1,3
1583838741,6,1
1583840655,4,5
1583842589,7,17
1583844500,4,3
1583846411,4,5
1583848331,7,14
1583850315,6,3
1583852177,5,5
1583854122,1,2
1583856134,0,5
1583857969,1,4
1583859895,0,1
1583861810,5,46
1583863705,1,26
1583865624,9,5
1583867564,116,37
1583869474,21,19
1583871429,7,19
1583873325,2,20
1583875233,0,19
1583877140,1,15
1583879065,6,13
1583880985,6,16
1583882897,3,32
1583885039,0,31
1583886973,2,6
1583888896,0,5
1583890831,5,5
1583892741,3,7
1583894689,2,7
1583896585,1,8
1583898494,1,5
1583900415,2,5
1583902333,0,10
1583904255,2,5
1583906178,0,12
1583908098,1,6
1583910266,14,5
1583912175,59,5
1583914103,29,9
1583916018,31,5
1583917942,26,2
1583919866,16,3
1583921775,18,1
1583923700,19,1
1583925616,16,19
1583927533,18,6
1583929456,18,7
1583931376,10,5
1583933295,11,8
1583935472,29,5
1583937377,5,9
1583939183,2,7
1583941004,2,0
1583942902,4,1
1583944843,8,1
1583946758,4,1
1583948661,1,2
1583950621,2,4
1583952515,2,7
1583954456,97,105
1583956337,9,18
1583958279,55,7
1583960188,11,0
1583962099,5,0
1583964199,7,1
1583966200,8,8
1583968094,7,3
1583970015,8,3
1583971948,5,0
1583973857,1,2
1583975779,11,0
1583977701,7,3
1583979623,1,3
1583981558,3,0
1583983468,8,2
1583985381,8,0
1583987296,18,2
1583989573,19,0
1583991387,23,1
1583993306,15,0
1583995242,11,1
1583997142,11,10
1583999069,15,13
1584000985,36,4
1584002938,24,5
1584004917,24,3
1584006753,23,5
1584008964,11,4
1584011117,20,8
