DateTime,Entries,UniqueIPs
1583026826,496,496
1583028738,492,492
1583030675,485,485
1583032597,484,484
1583034504,486,486
1583036430,481,481
1583038337,482,482
1583040257,481,481
1583042201,477,477
1583044106,481,481
1583046987,465,465
1583049152,460,460
1583051081,452,452
1583052994,458,458
1583054906,461,461
1583057060,463,463
1583059002,466,466
1583060933,605,605
1583062829,778,778
1583065100,1223,1223
1583066934,2004,2004
1583068845,2845,2845
1583070757,3967,3967
1583072768,4821,4821
1583074581,5595,5595
1583076509,5563,5563
1583078705,5550,5550
1583080600,5539,5539
1583082512,5528,5528
1583084452,5519,5519
1583086365,5507,5507
1583088269,5489,5489
1583090208,5483,5483
1583092145,5484,5484
1583094042,5482,5482
1583095945,5477,5477
1583097882,5473,5473
1583099949,5724,5724
1583101949,6040,6040
1583103943,6503,6503
1583105857,6975,6975
1583107762,7343,7343
1583109719,7807,7807
1583111697,8067,8067
1583113712,8524,8524
1583115645,8983,8983
1583117547,9483,9483
1583119546,9935,9935
1583121391,10061,10061
1583123660,10063,10063
1583125525,10067,10067
1583127437,10067,10067
1583129307,10069,10069
1583131250,10078,10078
1583133155,10075,10075
1583135066,10072,10072
1583136997,10067,10067
1583138907,10061,10061
1583140839,10058,10058
1583142825,10053,10053
1583144672,10044,10044
1583146595,10031,10031
1583148567,10031,10031
1583150757,10040,10040
1583152584,10047,10047
1583154554,10052,10052
1583156423,10057,10057
1583158597,10070,10070
1583160513,10069,10069
1583162511,10072,10072
1583164346,10075,10075
1583166285,10076,10076
1583168185,10082,10082
1583170101,10083,10083
1583172326,10096,10096
1583174207,10099,10099
1583176159,10102,10102
1583178027,10113,10113
1583179946,10118,10118
1583181898,10129,10129
1583183836,10137,10137
1583185707,9835,9835
1583187633,9395,9395
1583189552,8292,8292
1583191513,7260,7260
1583193393,6524,6524
1583195304,5847,5847
1583197489,5134,5134
1583199445,4182,4182
1583201315,2993,2993
1583203251,1976,1976
1583205166,1115,1115
1583207070,391,391
1583208996,392,392
1583210964,391,391
1583212826,393,393
1583214743,391,391
1583216709,393,393
1583218612,394,394
1583220507,398,398
1583222696,395,395
1583224581,401,401
1583226515,403,403
1583228434,401,401
1583230346,398,398
1583232269,398,398
1583234198,399,399
1583236102,379,379
1583238044,373,373
1583239966,353,353
1583241887,343,343
1583243786,328,328
1583245702,319,319
1583247893,307,307
1583249849,305,305
1583251726,305,305
1583253670,302,302
1583255546,315,315
1583257494,324,324
1583259385,336,336
1583261324,351,351
1583263237,348,348
1583265155,346,346
1583267061,346,346
1583268988,341,341
1583270908,328,328
1583273008,320,320
1583275012,312,312
1583276913,309,309
1583278828,313,313
1583280748,315,315
1583282656,316,316
1583286506,317,317
1583288421,318,318
1583290362,319,319
1583292271,419,419
1583294182,466,466
1583296098,538,538
1583298300,618,618
1583300187,672,672
1583302120,714,714
1583304023,741,741
1583305965,771,771
1583307859,795,795
1583309776,796,796
1583311713,790,790
1583313616,782,782
1583315548,782,782
1583317487,784,784
1583319378,788,788
1583323321,790,790
1583325142,787,787
1583326988,787,787
1583328974,784,784
1583330919,786,786
1583332816,788,788
1583334739,802,802
1583336674,802,802
1583338593,802,802
1583340504,800,800
1583342414,785,785
1583344337,780,780
1583346261,767,767
1583348176,763,763
1583350093,762,762
1583352287,752,752
1583354179,743,743
1583356112,760,760
1583358017,766,766
1583359935,768,768
1583361857,772,772
1583363797,771,771
1583365697,766,766
1583367643,764,764
1583369535,764,764
1583371455,769,769
1583373374,776,776
1583375292,783,783
1583378418,714,714
1583380338,667,667
1583382267,608,608
1583384176,559,559
1583386095,514,514
1583388221,473,473
1583390179,476,476
1583392108,412,412
1583394024,348,348
1583395943,334,334
1583397864,347,347
1583399788,352,352
1583401706,361,361
1583403622,366,366
1583405561,372,372
1583407474,381,381
1583409376,388,388
1583411301,396,396
1583413476,399,399
1583415377,409,409
1583417292,413,413
1583419218,434,434
1583421156,424,424
1583423313,421,421
1583425223,413,413
1583427137,408,408
1583429062,406,406
1583430984,404,404
1583435118,412,412
1583436978,465,465
1583438896,484,484
1583440823,513,513
1583442743,491,491
1583444665,500,500
1583446581,517,517
1583448522,539,539
1583450417,541,541
1583452334,554,554
1583454257,552,552
1583456175,551,551
1583458096,549,549
1583460289,540,540
1583462178,537,537
1583464152,561,561
1583466023,585,585
1583467970,606,606
1583469857,641,641
1583471780,666,666
1583473704,691,691
1583475621,728,728
1583477556,772,772
1583479463,762,762
1583481379,754,754
1583483549,745,745
1583485473,750,750
1583487385,743,743
1583489301,740,740
1583491223,729,729
1583493143,722,722
1583495076,721,721
1583496996,719,719
1583498940,714,714
1583500856,715,715
1583502741,715,715
1583504663,714,714
1583506617,704,704
1583508505,700,700
1583512578,700,700
1583514511,701,701
1583516420,704,704
1583520258,705,705
1583522195,693,693
1583524103,696,696
1583526045,706,706
1583527933,729,729
1583529865,740,740
1583531777,755,755
1583533702,762,762
1583535937,763,763
1583537779,772,772
1583539700,760,760
1583541619,770,770
1583543539,767,767
1583545456,768,768
1583547379,767,767
1583549298,770,770
1583551221,690,690
1583553147,678,678
1583555059,663,663
1583556971,631,631
1583558904,626,626
1583562029,623,623
1583563934,643,643
1583565882,687,687
1583567788,734,734
1583569750,780,780
1583571779,803,803
1583573844,841,841
1583575731,869,869
1583577648,904,904
1583579543,922,922
1583581453,952,952
1583583407,971,971
1583585322,993,993
1583587230,1002,1002
1583589135,1015,1015
1583591072,1034,1034
1583592977,1050,1050
1583594900,1055,1055
1583596943,1064,1064
1583598995,1068,1068
1583600924,1072,1072
1583602819,1068,1068
1583604738,1069,1069
1583606681,1071,1071
1583608577,1054,1054
1583610496,1050,1050
1583612441,1039,1039
1583614332,1021,1021
1583616253,1004,1004
1583618171,987,987
1583620115,984,984
1583622108,971,971
1583623934,967,967
1583625902,959,959
1583627773,952,952
1583629724,950,950
1583631627,948,948
1583635479,945,945
1583637381,935,935
1583639300,915,915
1583641261,893,893
1583643134,878,878
1583645058,861,861
1583646995,839,839
1583649184,807,807
1583652049,763,763
1583653936,745,745
1583655873,728,728
1583657786,715,715
1583659721,703,703
1583662604,689,689
1583664505,680,680
1583666448,622,622
1583668340,565,565
1583670258,532,532
1583672203,488,488
1583674098,469,469
1583676252,431,431
1583678180,390,390
1583680100,370,370
1583682026,361,361
1583683961,355,355
1583685885,352,352
1583687796,354,354
1583689703,358,358
1583691640,355,355
1583693538,344,344
1583695471,341,341
1583697399,336,336
1583699307,336,336
1583701470,341,341
1583703378,343,343
1583705332,349,349
1583707239,352,352
1583709142,377,377
1583711087,408,408
1583712983,431,431
1583714905,433,433
1583716857,434,434
1583718763,430,430
