DateTime,AddedIPs,RemovedIPs
1582089259,1,0
1582090833,2,0
1582096220,1,0
1582108942,1,0
1582118053,1,0
1582121720,1,0
1582123341,1,0
1582126195,15,0
1582127401,10,0
1582138218,1,0
1582148340,1,0
1582157658,1,0
1582163713,1,0
1582164919,0,1
1582168218,1,0
1582173649,1,0
1582184633,1,0
1582188979,1,0
1582195255,0,1
1582197570,0,1
1582198967,0,1
1582202549,2,0
1582212793,0,3
1582214115,0,1
1582216519,0,1
1582220548,0,1
1582224350,0,2
1582226054,5,0
1582229655,1,0
1582230820,1,0
1582233257,2,0
1582236918,4,0
1582240222,2,0
1582244056,2,0
1582247655,3,0
1582249354,1,1
1582250780,1,0
1582254862,0,1
1582260057,2,0
1582269041,1,0
1582277937,0,1
1582280060,1,0
1582292565,0,1
1582294520,0,1
1582296470,0,23
1582297820,1,2
1582298977,0,2
1582300115,1,0
1582307812,0,1
1582329004,0,1
1582333410,0,1
1582335022,3,0
1582336575,0,1
1582342223,0,1
1582344621,1,0
1582350137,1,0
1582352895,1,0
1582353735,0,1
1582355415,0,1
1582356632,1,0
1582367296,1,0
1582368913,2,0
1582371317,1,0
1582372516,0,2
1582373718,0,1
1582378095,0,1
1582379776,1,0
1582380853,1,0
1582384454,1,0
1582386034,0,1
1582386976,1,0
1582388123,2,0
1582389917,1,0
1582391718,1,0
1582393336,1,0
1582395015,0,6
1582398858,0,1
1582400431,1,2
1582402453,0,1
1582404134,1,0
1582407031,1,3
1582409416,1,2
1582412175,0,1
1582413317,0,1
1582416854,1,1
1582418433,0,1
1582420216,1,2
1582427657,2,0
1582429235,0,2
1582431021,1,0
1582432935,2,0
1582433786,1,0
1582434854,2,0
1582436432,2,0
1582437629,0,1
1582443018,1,0
1582450234,0,1
1582456453,0,1
1582458913,1,0
1582460116,1,0
1582466539,1,0
1582470099,0,1
1582486093,1,0
1582488623,0,1
1582497734,2,0
1582504934,0,3
1582509374,1,0
1582510520,0,2
1582512613,1,0
1582513819,1,0
1582515018,0,1
