DateTime,AddedIPs,RemovedIPs
1583350930,30,53
1583352280,33,27
1583353817,42,54
1583354946,24,18
1583356449,45,16
1583357699,28,49
1583360050,53,21
1583361733,47,74
1583362569,24,14
1583363712,33,18
1583364490,24,15
1583366170,57,41
1583367251,33,28
1583368491,32,53
1583370041,36,58
1583371212,33,0
1583372423,31,63
1583374450,50,30
1583375291,9,19
1583376971,46,58
1583378051,32,29
1583378889,25,14
1583380210,37,35
1583381374,26,32
1583382491,22,20
1583384172,39,53
1583385311,29,32
1583386089,13,24
1583386931,25,50
1583388851,44,43
1583390531,47,53
1583392453,58,40
1583393289,25,1
1583394971,43,83
1583396112,19,26
1583396889,22,0
1583397731,40,73
1583399649,52,26
1583400781,33,67
1583403015,59,68
1583404928,46,79
1583406850,47,53
1583408112,29,61
1583409303,25,29
1583410512,17,44
1583411711,27,70
1583412913,47,34
1583414052,22,37
1583414890,16,20
1583416512,35,75
1583417683,31,37
1583419332,37,80
1583420446,30,45
1583421614,27,0
1583422824,25,93
1583423770,19,5
1583424912,25,39
1583425691,22,0
1583426530,26,80
1583428448,45,54
1583430132,35,112
1583431811,33,28
1583433622,40,66
1583434569,21,11
1583435710,25,21
1583437226,30,750
1583438876,36,434
1583440090,24,12
1583442056,38,477
1583443214,27,0
1583444533,25,296
1583446448,35,21
1583447710,25,48
1583448910,43,32
1583450112,34,15
1583451863,44,49
1583453412,35,26
1583454910,25,47
1583456526,57,33
1583457249,24,0
1583458930,31,47
1583460851,40,35
1583461690,16,16
1583463011,42,38
1583464450,35,26
1583465292,18,36
1583466911,40,48
1583468051,24,20
1583469312,29,42
1583470568,24,15
1583471650,33,25
1583473229,41,63
1583474537,43,38
1583475252,20,0
1583476089,19,16
1583476930,20,52
1583478150,36,38
1583479465,25,0
1583480711,26,61
1583482219,30,36
1583483289,19,13
1583484612,40,36
1583486051,39,38
1583487310,34,49
1583488418,37,14
1583489712,40,31
1583491227,36,67
1583493311,49,31
1583494088,19,27
1583494931,17,45
1583496452,37,29
1583497690,46,11
1583498942,39,51
1583500451,31,43
1583501290,34,1
1583502129,19,50
1583502969,16,12
1583504112,35,17
1583504889,24,1
1583505732,21,54
1583507034,34,38
1583508311,27,0
1583509331,21,47
1583510172,12,6
1583511253,22,31
1583512822,29,64
1583515210,61,23
1583516420,27,49
1583517521,19,26
1583518811,23,2
1583520131,39,74
1583522050,29,37
1583522891,16,19
1583523732,26,58
1583525423,37,26
1583526616,37,50
1583529250,55,43
1583530091,16,17
1583531768,35,47
1583532038,6,33
1583533689,25,13
1583534529,24,55
1583535370,99,8
1583536512,185,29
1583538131,35,51
1583539811,40,33
1583541729,47,55
1583542569,15,7
1583543713,18,16
1583545224,33,47
1583547020,30,28
1583548213,22,51
1583550037,28,43
1583550852,14,0
1583551691,27,20
1583553530,36,52
1583555292,39,11
1583556537,32,42
1583557819,20,24
1583559732,28,63
1583561650,24,32
1583562489,18,11
1583563823,25,67
1583565010,28,19
1583566935,36,54
1583567768,16,7
1583568913,21,25
1583569689,11,7
1583571220,27,50
1583572510,33,37
1583573709,21,42
1583574816,21,16
1583576111,23,17
1583576890,8,6
1583577730,28,42
1583579203,26,30
1583580489,11,18
1583582112,29,36
1583583309,18,35
1583585110,39,38
1583586848,28,34
1583588112,21,41
1583590450,39,35
1583592129,31,49
1583592969,18,6
1583594048,21,18
1583595542,27,46
1583596570,19,20
1583597714,18,17
1583598497,18,0
1583599334,32,42
1583600501,42,27
1583602088,30,13
1583603711,26,39
1583604911,17,13
1583606423,28,48
1583608112,30,33
1583609416,21,46
1583610910,22,13
1583612050,24,18
1583612888,17,3
1583615342,62,67
1583616612,26,44
1583617331,14,13
1583618170,16,7
1583619250,13,30
1583620510,25,37
1583622567,44,42
1583623689,19,15
1583625309,37,36
1583626450,19,33
1583627290,13,0
1583628910,33,53
1583630111,21,23
1583631909,31,56
1583633653,48,22
1583634490,17,12
1583636109,34,38
1583637311,15,20
1583638093,16,18
1583639411,36,35
1583640849,19,31
1583642423,22,53
1583643716,31,31
1583645290,25,15
1583646130,23,48
1583648051,26,34
1583649731,36,47
