DateTime,AddedIPs,RemovedIPs
1583350928,40,51
1583352279,71,38
1583353814,98,40
1583354944,54,17
1583356448,43,27
1583357697,43,33
1583360049,64,42
1583361732,58,74
1583362568,23,2
1583363709,30,28
1583364488,24,1
1583366167,64,56
1583367248,28,35
1583368489,27,47
1583370039,45,51
1583371209,34,0
1583372421,31,66
1583374448,35,33
1583375289,26,2
1583376970,39,57
1583378050,22,34
1583378888,23,4
1583380209,35,57
1583381372,24,28
1583382490,39,0
1583384169,35,36
1583385309,29,29
1583386088,18,3
1583386929,26,49
1583388849,118,31
1583390529,37,57
1583392451,47,38
1583393287,25,2
1583394969,28,56
1583396110,20,23
1583396888,20,2
1583397729,18,67
1583399648,50,31
1583400779,19,35
1583403011,57,63
1583404928,45,64
1583406849,46,33
1583408110,26,52
1583409301,32,23
1583410510,28,39
1583411710,34,46
1583412910,31,12
1583414050,26,43
1583414887,18,1
1583416509,37,80
1583417682,37,45
1583419329,28,79
1583420443,26,42
1583421612,25,3
1583422823,26,90
1583423769,23,1
1583424909,19,68
1583425690,18,5
1583426529,18,151
1583428447,35,39
1583430130,35,59
1583431808,38,38
1583433620,72,167
1583434568,40,0
1583435708,41,143
1583437223,80,237
1583438875,83,69
1583440089,63,1
1583442053,67,198
1583443211,63,1
1583444530,59,121
1583446447,83,53
1583447709,41,115
1583448908,33,37
1583450110,37,78
1583451862,74,137
1583453408,52,85
1583454908,79,76
1583456523,54,63
1583457248,25,0
1583458928,45,86
1583460848,55,59
1583461688,22,4
1583463010,46,88
1583464449,58,48
1583465290,23,0
1583466909,42,95
1583468049,34,49
1583469311,44,71
1583470567,35,28
1583471649,38,43
1583473227,50,84
1583474535,43,43
1583475251,21,1
1583476087,27,2
1583476929,36,98
1583478149,36,51
1583479464,48,7
1583480709,48,84
1583482218,50,47
1583483288,30,2
1583484610,38,76
1583486048,49,52
1583487309,27,60
1583488417,35,37
1583489710,45,61
1583491223,36,87
1583493309,80,49
1583494087,25,2
1583494929,31,118
1583496450,48,51
1583497688,39,1
1583498941,47,87
1583500449,52,68
1583501287,27,2
1583502128,30,78
1583502968,31,2
1583504110,33,36
1583504888,16,1
1583505730,19,75
1583507033,35,19
1583508310,46,2
1583509328,28,69
1583510171,21,2
1583511252,59,56
1583512819,86,75
1583515208,95,43
1583516419,41,66
1583517520,31,31
1583518810,41,4
1583520130,41,70
1583522048,90,50
1583522889,25,1
1583523730,22,83
1583525422,59,31
1583526614,39,44
1583529248,95,54
1583530089,33,5
1583531767,41,73
1583532035,2,17
1583533688,50,5
1583534528,26,71
1583535369,13,2
1583536510,32,46
1583538130,60,76
1583539808,59,41
1583541728,90,86
1583542568,27,2
1583543710,23,40
1583545222,36,80
1583547019,48,35
1583548212,21,43
1583550014,46,51
1583550850,27,12
1583551689,22,1
1583553529,58,103
1583555290,36,11
1583556536,35,77
1583557818,48,107
1583559730,77,64
1583561648,54,25
1583562488,22,1
1583563821,35,66
1583565008,47,29
1583566933,45,60
1583567767,16,1
1583568912,32,42
1583569688,16,2
1583571219,38,64
1583572508,33,48
1583573708,26,60
1583574815,31,13
1583576109,29,34
1583576888,20,4
1583577728,25,59
1583579202,48,42
1583580487,34,2
1583582109,31,53
1583583308,25,31
1583585108,30,72
1583586847,42,33
1583588108,29,45
1583590448,54,56
1583592128,29,67
1583592968,13,2
1583594047,17,25
1583595541,29,30
1583596569,13,17
1583597712,20,26
1583598495,17,0
1583599331,32,56
1583600500,31,25
1583602087,55,2
1583603708,41,92
1583604908,27,40
1583606421,36,87
1583608111,42,46
1583609414,23,43
1583610909,42,22
1583612048,32,29
1583612887,23,2
1583615341,59,130
1583616609,21,41
1583617329,16,11
1583618168,25,1
1583619248,32,35
1583620509,40,52
1583622566,43,48
1583623688,34,0
1583625308,30,75
1583626447,46,25
1583627288,35,1
1583628908,55,63
1583630109,31,33
1583631908,48,50
1583633651,30,36
1583634489,19,0
1583636108,24,63
1583637309,29,32
1583638089,26,0
1583639408,23,63
1583640848,25,34
1583642420,24,71
1583643715,26,39
1583645289,39,4
1583646129,20,83
1583648048,45,35
1583649729,21,56
1583650569,20,4
1583651648,26,34
1583652909,38,43
1583654433,34,59
1583655608,39,2
1583656930,32,64
1583657767,16,4
1583658848,27,67
1583660110,20,51
1583661308,31,15
1583662512,32,32
1583663700,36,49
1583666049,51,61
1583667729,34,75
1583669410,56,35
1583670612,39,39
1583672169,42,21
1583673310,24,35
1583674466,22,38
1583675697,34,14
1583676910,16,31
1583678108,27,48
1583679368,14,17
1583680511,21,32
1583682128,42,72
1583684090,43,48
1583684887,30,3
1583687418,66,98
1583689328,58,55
1583690432,31,40
1583692088,33,4
1583693768,32,55
1583694912,22,44
1583696109,32,41
1583697367,17,13
1583698507,29,35
1583699288,10,0
1583700644,32,68
1583701810,25,35
1583703014,17,51
1583705411,57,46
1583707328,30,54
1583709248,39,36
1583710091,10,2
1583711709,24,55
1583712894,18,32
1583714109,35,44
1583716211,60,54
1583718131,43,61
1583719818,39,30
1583721013,24,63
1583722114,22,18
1583723411,32,45
1583725330,40,50
1583726442,18,37
1583727611,22,3
1583728929,18,78
1583729768,16,2
1583730850,24,47
1583732425,38,61
1583733834,42,33
1583734448,19,1
1583735289,16,2
1583736430,25,76
1583738048,36,43
1583738889,32,0
1583739733,24,63
