DateTime,AddedIPs,RemovedIPs
1582965859,30,32
1582967770,25,35
1582969689,19,44
1582971616,11,27
1582973523,11,35
1582975464,10,36
1582977368,21,28
1582979291,25,31
1582981224,25,30
1582983131,15,29
1582987228,19,52
1582989383,26,18
1582991294,34,22
1582993220,41,29
1582995129,31,33
1582997049,24,29
1582998980,16,24
1583000889,34,32
1583002838,30,0
1583004743,31,29
1583006654,24,27
1583010506,27,53
1583012412,22,41
1583014334,22,30
1583016259,17,38
1583018170,18,27
1583020090,21,0
1583022019,24,27
1583023958,22,23
1583025847,29,31
1583027781,21,33
1583029699,29,23
1583031617,26,22
1583033544,31,15
1583035452,9,23
1583037373,27,27
1583039304,19,14
1583041213,23,27
1583043136,20,28
1583045061,19,32
1583046973,25,23
1583049136,14,30
1583051052,27,31
1583052979,26,30
1583054890,29,17
1583056813,22,16
1583058744,26,9
1583060910,31,10
1583062814,18,8
1583064994,19,19
1583066906,31,26
1583068807,33,24
1583070728,34,17
1583072667,26,0
1583076487,4,43
1583078424,30,34
1583080331,22,35
1583084433,21,57
1583086343,39,17
1583088252,28,39
1583090172,33,27
1583092102,32,35
1583094008,32,23
1583095930,33,0
1583097864,22,24
1583099765,32,24
1583101703,24,20
1583103620,30,20
1583105543,29,22
1583107713,17,21
1583111533,26,49
1583113462,19,32
1583115373,17,28
1583117303,21,20
1583119218,21,22
1583121129,18,37
1583123053,30,11
1583125262,27,30
1583127129,24,25
1583129058,26,27
1583130979,35,20
1583134811,25,41
1583136748,35,12
1583138660,36,28
1583140573,21,25
1583142491,15,23
1583144422,19,20
1583146326,17,25
1583150179,24,56
1583152092,35,20
1583154008,30,29
1583155949,26,34
1583158108,35,33
1583160010,26,25
1583161932,34,0
1583163866,26,4
1583165773,44,30
1583167707,29,25
1583169605,33,0
1583171527,26,19
1583173474,30,38
1583175367,22,28
1583177287,30,34
1583179235,28,40
1583181134,29,30
1583183322,27,33
1583185237,24,25
1583187159,28,33
1583189075,30,33
1583190973,28,31
1583194808,30,56
1583196725,19,0
1583198648,36,17
1583200567,30,16
1583202516,30,20
1583204412,29,15
1583206332,27,18
1583208501,28,28
1583210410,29,30
1583212333,31,25
1583214248,36,16
1583216169,26,20
1583218089,26,31
1583220028,27,0
1583221930,34,26
1583223851,32,32
1583225795,27,33
1583227686,21,20
1583229609,23,13
1583231532,17,16
1583233702,12,11
1583235609,9,0
1583237570,12,24
1583239448,20,34
1583241371,13,31
1583243293,30,23
1583245209,31,34
1583247127,29,27
1583250967,28,57
1583252888,19,37
1583254807,31,30
1583256734,24,30
1583258652,32,24
1583260568,24,35
1583262489,30,23
1583264413,12,35
1583266333,27,32
1583268278,25,24
1583270173,30,29
1583272090,31,22
1583274005,33,26
1583275925,30,38
1583277851,30,35
1583279767,23,0
1583281688,35,28
1583283615,22,24
1583285531,27,29
1583287452,25,28
1583291298,27,58
1583293221,36,32
1583295381,31,27
1583297290,28,29
1583299206,23,26
1583301125,21,44
1583303048,23,25
1583304983,25,27
1583306889,33,26
1583308812,28,38
1583310729,33,31
1583312651,21,29
1583314569,19,19
1583316495,19,22
1583318422,18,19
1583322255,34,22
1583326092,28,32
1583328007,16,17
1583329927,24,30
1583331868,18,34
1583335687,22,25
1583337614,18,35
1583339533,20,21
1583343611,20,50
1583345781,25,34
1583347694,33,22
1583349648,32,32
1583353448,31,40
1583355367,35,27
1583357287,41,37
1583359208,35,30
1583361131,38,27
1583363049,29,32
1583364969,34,27
1583366889,35,31
1583368812,29,34
1583372649,32,54
1583374570,31,23
1583376491,29,0
1583380329,29,59
1583382255,38,29
1583384167,27,22
1583386085,30,23
1583388014,21,19
1583389931,30,26
1583392096,32,24
1583394012,28,34
1583395931,28,27
1583397853,26,37
1583399775,13,24
1583401693,16,16
1583403608,17,19
1583405526,18,11
1583407448,14,0
1583409366,34,31
1583411291,31,0
1583413219,28,33
1583415134,13,16
1583417050,20,29
1583418969,32,21
1583420903,19,0
1583422813,14,21
1583424731,26,21
1583426650,28,23
1583428573,27,0
1583430494,38,19
1583432407,29,23
1583434350,29,28
1583436246,22,28
1583438170,26,0
1583440086,24,28
1583442012,23,34
1583443930,27,45
1583446095,14,31
1583448010,20,32
1583451847,26,67
1583453777,25,32
1583455691,38,30
1583457610,25,0
1583459528,30,26
1583461448,29,32
1583463366,35,37
1583465286,31,0
1583467217,27,32
1583469131,27,33
1583471055,22,33
1583472968,23,29
1583474899,33,20
1583476810,20,33
1583478729,28,31
1583482571,27,54
1583484490,41,24
1583486406,10,15
1583488330,16,13
1583490247,11,14
1583492168,6,18
1583494085,16,16
1583496015,19,31
1583497931,23,29
1583499852,14,26
1583501769,29,16
1583503696,18,19
1583505609,11,32
1583511370,23,61
1583513293,10,36
1583515206,25,23
1583517130,23,45
1583519052,24,26
1583520966,28,30
1583522887,32,26
1583524814,31,26
1583526731,25,25
1583528658,29,18
1583530568,30,22
1583532487,26,0
1583534408,23,18
1583536333,38,24
1583538247,35,0
1583540172,34,22
1583542090,35,21
1583544005,33,45
1583545929,32,65
1583547847,33,0
1583549766,31,62
1583551685,33,0
1583553617,33,60
1583555531,30,25
1583557700,34,26
1583559610,31,24
1583561533,42,30
1583563450,26,24
1583565372,22,26
1583567291,31,0
1583569209,25,20
1583571155,26,38
1583573050,15,12
1583574966,15,17
1583576913,21,14
1583580731,18,24
1583582674,30,19
1583584592,25,25
1583586498,34,16
1583588411,20,25
1583590601,27,15
1583592495,28,18
1583594407,16,0
1583596329,17,0
1583598291,28,19
1583600170,31,13
1583602085,32,22
1583604011,29,20
1583605956,22,26
1583607852,30,25
1583610017,29,28
1583613873,21,39
1583615795,21,28
1583617691,21,22
1583619608,30,22
1583621553,32,26
1583623450,25,32
1583625366,34,30
1583627312,28,28
1583631153,30,69
1583633320,15,38
1583635211,26,34
1583637133,28,32
1583639071,35,28
1583640982,26,30
1583642893,26,28
1583644832,22,35
1583646726,19,35
1583648647,33,33
1583650589,32,28
1583652492,21,27
1583654419,26,30
1583656333,25,23
1583660172,27,51
1583662093,26,17
1583664019,35,19
1583665936,21,0
1583667869,27,21
1583669783,21,32
1583671690,27,18
1583673635,35,36
1583675529,35,20
1583679367,38,57
1583681289,21,13
