DateTime,Entries,UniqueIPs
1582965859,6436,6693
1582967770,6450,6707
1582969689,6449,6706
1582971616,6438,6695
1582973523,6420,6677
1582975464,6380,6637
1582977368,6388,6645
1582979291,6376,6633
1582981224,6377,6635
1582983131,6384,6643
1582987228,6351,6609
1582989383,6353,6611
1582991294,6353,6612
1582993220,6355,6614
1582995129,6354,6611
1582997049,6350,6607
1582998980,6346,6600
1583000889,6351,6605
1583002838,6339,6595
1583004743,6342,6599
1583006654,6354,6611
1583010506,6325,6576
1583012412,6317,6568
1583014334,6322,6573
1583016259,6323,6573
1583018170,6334,6584
1583020090,6343,6594
1583022019,6343,6594
1583023958,6335,6586
1583025847,6346,6596
1583027781,6340,6590
1583029699,6326,6576
1583031617,6317,6567
1583033544,6317,6568
1583035452,6298,6549
1583037373,6293,6544
1583039304,6290,6541
1583041213,6283,6535
1583043136,6295,6550
1583045061,6255,6508
1583046973,6249,6502
1583049136,6229,6483
1583051052,6235,6489
1583052979,6224,6479
1583054890,6230,6486
1583056813,6232,6489
1583058744,6229,6488
1583060910,6235,6496
1583062814,6231,6492
1583064994,6233,6494
1583066906,6229,6490
1583068807,6237,6499
1583070728,6236,6498
1583072667,6238,6496
1583076487,6201,6456
1583078424,6213,6469
1583080331,6197,6452
1583084433,6175,6429
1583086343,6176,6428
1583088252,6174,6426
1583090172,6177,6429
1583092102,6170,6422
1583094008,6163,6414
1583095930,6167,6417
1583097864,6167,6417
1583099765,6167,6415
1583101703,6167,6413
1583103620,6171,6418
1583105543,6162,6409
1583107713,6152,6402
1583111533,6130,6379
1583113462,6144,6393
1583115373,6137,6386
1583117303,6137,6382
1583119218,6139,6385
1583121129,6140,6386
1583123053,6148,6394
1583125262,6146,6392
1583127129,6140,6386
1583129058,6136,6382
1583130979,6137,6382
1583134811,6116,6360
1583136748,6110,6353
1583138660,6121,6364
1583140573,6111,6354
1583142491,6103,6347
1583144422,6100,6345
1583146326,6111,6357
1583150179,6080,6326
1583152092,6106,6352
1583154008,6110,6356
1583155949,6100,6346
1583158108,6113,6359
1583160010,6113,6359
1583161932,6109,6355
1583163866,6115,6360
1583165773,6142,6389
1583167707,6144,6392
1583169605,6155,6404
1583171527,6164,6414
1583173474,6175,6425
1583175367,6175,6425
1583177287,6172,6421
1583179235,6170,6419
1583181134,6170,6420
1583183322,6168,6418
1583185237,6165,6415
1583187159,6165,6415
1583189075,6171,6423
1583190973,6168,6419
1583194808,6148,6400
1583196725,6140,6392
1583198648,6132,6385
1583200567,6133,6386
1583202516,6131,6384
1583204412,6136,6389
1583206332,6146,6399
1583208501,6150,6402
1583210410,6150,6403
1583212333,6147,6400
1583214248,6156,6409
1583216169,6153,6406
