DateTime,AddedIPs,RemovedIPs
1582965859,59,61
1582967770,32,59
1582969689,31,34
1582971616,21,30
1582973523,28,18
1582975464,20,32
1582977368,52,17
1582979291,53,49
1582981224,47,57
1582983131,41,43
1582987228,43,40
1582989383,54,42
1582991294,61,57
1582993220,74,63
1582995129,58,67
1582997049,52,63
1582998980,44,53
1583000889,58,44
1583002838,66,58
1583004743,57,64
1583006654,49,56
1583010506,54,52
1583012412,40,49
1583014334,41,41
1583016259,43,45
1583018170,46,45
1583020090,39,40
1583022019,53,44
1583023958,45,50
1583025847,53,48
1583027781,56,51
1583029699,57,56
1583031617,55,56
1583033544,66,57
1583035452,18,71
1583037373,66,18
1583039304,49,50
1583041213,62,54
1583043136,38,68
1583045061,32,37
1583046973,49,34
1583049136,28,46
1583051052,45,32
1583052979,59,42
1583054890,44,61
1583056813,52,43
1583058744,58,50
1583060910,59,58
1583062814,42,62
1583064994,41,43
1583066906,48,39
1583068807,69,47
1583070728,62,70
1583072667,51,58
1583076487,15,54
1583078424,53,18
1583080331,49,52
1583084433,49,48
1583086343,66,51
1583088252,54,65
1583090172,71,56
1583092102,61,63
1583094008,56,65
1583095930,56,55
1583097864,54,55
1583099765,44,56
1583101703,57,44
1583103620,42,55
1583105543,58,43
1583107713,52,62
1583111533,46,49
1583113462,41,49
1583115373,43,38
1583117303,36,45
1583119218,40,38
1583121129,46,35
1583123053,57,49
1583125262,50,55
1583127129,45,47
1583129058,51,45
1583130979,64,55
1583134811,58,60
1583136748,64,63
1583138660,53,63
1583140573,40,54
1583142491,36,41
1583144422,40,38
1583146326,33,36
1583150179,53,33
1583152092,64,57
1583154008,62,63
1583155949,58,55
1583158108,50,55
1583160010,56,57
1583161932,63,58
1583163866,42,63
1583165773,73,42
1583167707,64,71
1583169605,48,61
1583171527,50,53
1583173474,56,46
1583175367,57,60
1583177287,61,56
1583179235,57,62
1583181134,59,53
1583183322,55,55
1583185237,53,59
1583187159,55,51
1583189075,66,60
1583190973,58,64
1583194808,55,57
1583196725,45,54
1583198648,61,48
1583200567,59,59
1583202516,62,61
1583204412,58,61
1583206332,56,54
1583208501,59,59
1583210410,58,56
1583212333,59,61
1583214248,67,57
1583216169,56,73
1583218089,47,52
1583220028,54,49
1583221930,58,53
1583223851,56,60
1583225795,61,54
1583227686,41,64
1583229609,40,38
1583231532,40,43
1583233702,30,38
1583235609,21,31
1583237570,33,20
1583239448,37,35
1583241371,29,37
1583243293,62,26
1583245209,58,61
1583247127,57,61
