DateTime,AddedIPs,RemovedIPs
1582085116,6,2
1582088722,11,0
1582092313,0,24
1582095913,1,1
1582099515,1,1
1582103111,1,3
1582106708,0,1
1582113908,1,0
1582117508,0,3
1582121109,4,4
1582124707,1,1
1582128307,0,1
1582131910,7,0
1582135513,1,0
1582139109,7,3
1582142707,3,3
1582146306,1,3
1582149905,3,2
1582153507,1,1
1582157112,6,0
1582160708,1,1
1582164310,1,0
1582167909,2,1
1582171516,6,0
1582175119,2,0
1582178717,2,1
1582182303,2,25
1582185903,1,0
1582189509,2,2
1582193109,3,2
1582196713,2,0
1582200318,1,0
1582203920,3,0
1582207528,18,2
1582211126,1,1
1582214721,1,4
1582218324,1,0
1582221919,0,3
1582225514,1,6
1582229116,1,1
1582232712,1,1
1582236313,3,1
1582239904,1,5
1582243509,2,0
1582247114,9,3
1582250721,13,2
1582254332,18,2
1582257932,8,1
1582261546,16,1
1582265145,6,1
1582268744,8,22
1582272350,5,1
1582275955,6,0
1582279557,0,1
1582283161,3,1
1582286758,1,2
1582290361,2,2
1582293968,21,1
1582297567,1,0
1582301165,1,1
1582304767,1,1
1582308367,1,2
1582311966,2,0
1582315567,0,1
1582319164,0,2
1582326366,1,3
1582329969,1,4
1582333567,4,1
1582337172,2,0
1582340769,1,1
1582344364,4,7
1582347968,1,0
1582351565,3,3
1582355155,2,21
1582358758,2,1
1582362361,1,1
1582365956,2,3
1582369559,1,2
1582373162,2,0
1582376758,1,1
1582380359,1,2
1582383964,2,0
1582387560,1,0
1582391160,1,2
1582394759,1,2
1582398358,3,1
1582401960,1,1
1582412758,0,2
1582416359,2,1
1582419958,2,0
1582423568,20,0
1582427169,1,1
1582430767,1,0
1582434371,3,1
1582437974,4,2
1582441572,0,1
1582445179,3,2
1582448780,2,1
1582455975,1,2
1582459572,2,1
1582463174,2,0
1582466778,1,1
1582470375,1,4
1582473975,0,1
1582477568,0,3
1582484768,2,2
1582488364,2,5
1582491958,1,4
1582495563,4,1
1582499162,2,1
1582502764,2,1
1582509969,19,1
1582513571,1,0
1582517161,1,14
1582520763,1,0
1582524363,1,0
1582527964,3,0
1582531565,3,0
1582535164,1,0
1582538765,2,1
1582542366,1,0
1582545968,2,1
1582549568,1,1
1582560372,0,1
1582563969,2,2
1582567570,1,0
1582571172,2,2
1582578371,2,0
1582581969,1,1
1582585573,2,2
1582592773,3,0
1582596387,21,1
1582599985,2,2
1582603580,3,19
1582607180,2,0
1582610783,6,0
1582614385,3,2
1582621582,2,1
1582625188,4,1
1582628785,4,4
1582632388,15,0
1582635990,14,3
1582639596,1,1
1582643192,0,2
1582646792,0,1
1582653992,0,1
1582657592,5,2
1582661193,0,2
1582664794,2,0
1582668395,1,0
1582671993,0,1
1582675594,3,0
1582679196,3,1
1582682798,2,0
1582686397,0,2
1582689996,1,9
1582693591,3,11
1582697194,3,0
1582700794,1,1
1582707992,2,1
1582711595,3,1
1582715197,1,0
1582718795,1,1
1582726003,22,2
1582729601,0,1
1582736797,1,7
1582740399,2,1
1582744001,2,6
1582747600,1,4
1582751200,2,1
1582754800,0,2
1582758400,0,3
1582761996,1,5
1582765595,0,1
1582769200,0,1
1582772798,2,2
1582776402,2,1
1582780003,2,1
1582783608,4,1
1582787214,1,1
1582790810,1,0
1582794414,1,1
1582798014,1,1
1582805213,2,2
1582808809,0,2
1582812403,1,21
1582816008,18,2
1582819606,0,3
1582823200,1,4
1582826807,6,2
1582830411,3,0
1582834010,1,0
1582837608,1,1
1582841207,5,5
1582844805,1,1
1582848408,3,2
1582852008,3,4
1582855606,1,5
1582859204,3,10
1582862802,2,6
1582866393,2,14
1582869988,0,11
1582873589,1,6
1582877188,1,6
1582880781,3,5
1582884385,1,0
1582887982,1,2
1582891581,0,1
1582895182,1,2
1582898773,3,16
1582902373,2,1
1582905979,2,0
1582909575,2,2
1582913173,0,2
1582916771,1,2
1582920372,1,1
1582923973,1,1
1582927571,1,0
1582931171,1,1
1582934769,2,1
1582938365,0,3
1582941968,1,2
1582945563,2,3
1582949180,24,2
1582952776,3,1
1582956377,5,1
1582959977,0,2
1582963578,1,3
1582967179,3,0
1582970779,1,2
1582974380,1,1
1582977973,1,4
1582981569,1,1
1582985172,1,1
1582988770,0,1
1582992371,1,2
1582995968,2,1
1583003167,1,3
1583006769,2,1
1583013964,1,3
1583021164,2,0
1583024762,2,2
1583028360,1,21
1583031962,9,1
1583035566,2,0
1583039184,26,0
1583042787,5,2
1583046393,2,0
1583049991,1,1
1583053589,3,2
1583057195,4,0
1583064393,0,1
1583067996,4,1
1583071598,2,2
1583075192,0,1
1583078798,4,1
1583082398,2,0
1583085996,0,3
1583089596,2,1
1583093195,2,2
1583096797,4,1
1583100393,2,6
1583103991,0,4
1583107586,1,4
1583111185,1,0
1583114781,1,21
1583118382,1,0
1583121982,0,1
1583125592,20,0
1583129193,1,0
1583132796,2,2
1583139993,0,1
1583143596,1,1
1583150790,0,2
1583154389,0,1
1583158013,16,0
1583161638,26,0
1583168835,1,1
1583176038,1,2
1583179636,0,3
1583183234,1,1
1583186837,1,0
1583190436,0,2
1583194036,3,0
1583197639,5,1
1583201230,1,24
1583204828,3,1
1583208428,0,1
1583212027,1,1
1583215627,0,3
1583219221,1,10
1583222833,24,0
1583226433,3,2
1583230034,1,3
1583233631,0,3
1583237224,0,24
1583240815,0,17
1583244424,19,1
1583248026,6,0
1583251626,1,0
1583255224,0,1
1583258825,1,1
1583262427,4,3
1583266029,4,0
1583269625,1,5
1583273226,0,2
1583276828,3,1
1583280425,1,2
1583284025,1,3
1583287626,1,3
1583291221,0,1
1583294824,1,1
1583298423,0,4
1583302021,0,2
1583305621,3,1
1583309233,20,0
1583312830,2,1
1583316427,0,4
1583323630,5,3
1583327226,1,2
1583330819,1,21
1583338020,1,0
1583341618,3,1
1583345215,0,3
1583348832,12,1
1583352429,4,1
1583356027,0,1
1583359624,0,2
1583363228,3,1
1583366823,2,1
1583370423,0,1
1583374026,3,1
1583377627,3,1
1583381231,3,2
1583384834,6,2
1583392040,4,1
1583395640,1,0
1583399244,4,0
1583402857,23,0
1583406460,1,0
1583410060,2,0
1583413662,1,0
1583417260,1,2
1583420849,1,21
1583424451,6,1
1583428058,5,0
1583431657,3,3
1583435256,0,3
1583438847,1,6
1583442445,1,3
1583446047,4,6
1583449647,2,4
1583453244,4,3
1583456839,0,3
1583460447,5,1
1583464050,2,2
1583467646,1,1
1583471251,3,1
1583474851,4,0
1583478456,6,0
1583482060,3,0
1583485659,4,1
1583489270,23,1
1583492870,0,3
1583496471,2,0
1583500071,0,2
1583503673,1,5
1583507270,1,5
1583510870,2,0
1583514467,0,2
1583518073,4,1
1583521674,1,1
1583525277,3,1
1583528876,1,1
1583532476,1,3
1583536079,3,2
1583539676,2,3
1583543278,1,1
1583546875,0,1
1583550481,4,2
1583554072,1,27
