DateTime,AddedIPs,RemovedIPs
1581721487,2,1
1581725087,3,1
1581728685,1,1
1581732284,0,1
1581735882,0,1
1581739482,1,0
1581743082,1,1
1581746682,1,1
1581750289,24,0
1581753887,2,12
1581757485,0,2
1581761085,1,0
1581764686,0,1
1581768284,2,9
1581771885,2,2
1581775486,2,1
1581779078,0,5
1581782670,2,9
1581786266,2,2
1581789864,0,2
1581793458,0,4
1581797054,1,3
1581800653,0,2
1581804250,0,2
1581807854,2,2
1581811453,0,2
1581815014,0,42
1581818616,1,1
1581822214,0,1
1581833013,1,0
1581843817,2,0
1581847416,1,0
1581854617,0,1
1581858215,0,1
1581861815,0,1
1581865405,0,22
1581869005,0,1
1581879809,1,0
1581912218,23,0
1581923019,0,1
1581933819,0,1
1581941018,1,0
1581948224,1,0
1581959020,1,1
1581962622,1,0
1581966221,1,1
1581977024,3,0
1581980622,2,1
1581991420,0,3
1581995017,0,4
1581998625,22,1
1582002222,0,1
1582005810,0,25
1582013009,0,1
1582016610,1,0
1582027412,1,0
1582031011,1,1
1582034612,1,0
1582038215,2,0
1582041815,0,1
1582049015,2,1
1582052620,2,0
1582056220,1,1
1582059819,0,1
1582063416,0,1
1582067021,1,0
1582077819,1,3
1582081422,3,0
1582085024,5,1
1582088629,11,0
1582092220,0,24
1582095821,1,0
1582099423,1,1
1582103018,1,3
1582106617,0,1
1582117415,0,2
1582121017,4,4
1582124617,1,0
1582128216,0,1
1582131818,1,0
1582135420,1,0
1582139019,7,1
1582142617,3,3
1582146217,1,2
1582149816,1,2
1582153417,1,1
1582157019,6,0
1582160620,1,1
1582164221,1,0
1582167819,1,1
1582171418,1,0
1582175021,1,0
1582178619,1,0
1582182204,1,25
1582185804,1,0
1582189405,0,1
1582203809,1,0
1582207414,18,2
1582214610,0,2
1582218212,1,0
1582221808,0,2
1582225407,1,2
1582229010,1,0
1582232610,1,0
1582239808,1,1
1582243410,1,0
1582247015,8,2
1582250622,13,2
1582254230,16,1
1582257832,8,0
1582261442,15,1
1582265042,6,1
1582268642,8,20
1582272246,5,1
1582275847,3,0
1582279447,0,1
1582283050,2,1
1582286649,1,2
1582290250,1,1
1582293856,21,1
1582297456,1,0
1582301055,1,1
1582304658,1,1
1582308256,1,2
1582311854,2,0
1582315454,0,1
1582319053,0,2
1582326253,1,3
1582329855,1,3
1582333457,4,1
1582337060,2,0
1582340658,1,1
1582344253,1,2
1582347858,1,0
1582351458,3,1
1582355047,2,20
1582358649,2,1
1582362251,1,1
1582365849,2,2
1582369450,0,2
1582373052,2,0
1582376650,1,1
1582380250,1,2
1582383852,2,0
1582387452,1,0
1582391052,1,1
1582394651,1,2
1582398252,3,0
1582401854,1,1
1582412654,0,1
1582416254,2,1
1582419856,1,0
1582423461,20,0
1582427063,0,1
1582437862,1,0
1582445062,0,2
1582448665,0,1
1582455860,1,1
1582459459,2,0
1582463060,1,0
1582466660,0,1
1582470258,0,3
1582477457,0,1
1582484656,1,1
1582488255,1,2
1582491855,0,1
1582495455,2,0
1582499057,2,0
1582502658,1,0
1582509863,19,0
1582517055,0,14
1582527856,0,1
1582542257,1,0
1582545857,1,1
1582549458,0,1
1582563859,0,1
1582571058,1,2
1582578259,1,0
1582581855,0,1
1582585459,1,2
1582596273,21,0
1582599869,1,2
1582603466,2,19
1582607066,1,0
1582610667,1,0
1582614268,1,1
1582621467,1,1
1582625068,3,0
1582628667,2,2
1582632270,14,0
1582635872,12,3
1582639473,1,1
1582643073,0,1
1582646673,0,1
1582653873,0,1
1582657473,4,2
1582661075,0,1
1582664678,2,0
1582668274,1,0
1582671873,0,1
1582675475,2,0
1582679076,2,1
1582682678,2,0
1582686276,0,2
1582689877,1,8
1582693472,2,11
1582697071,1,0
1582700673,1,1
1582707873,1,0
1582711474,3,1
1582725880,21,2
