DateTime,AddedIPs,RemovedIPs
1583598121,1,0
1583598687,82,49
1583598781,1,0
1583599321,2,0
1583599921,1,0
1583600608,1,0
1583601721,1,0
1583602321,59,58
1583604121,62,59
1583604148,1,0
1583605321,4,0
1583605921,100,90
1583606522,2,0
1583607721,1,0
1583607807,0,1
1583608322,0,1
1583608921,3,0
1583609521,60,53
1583610122,1,0
1583610721,4,0
1583611407,54,60
1583611921,2,0
1583612522,4,0
1583613121,100,97
1583613721,4,0
1583615007,1,0
1583616121,2,0
1583616721,61,55
1583617321,0,1
1583618522,2,2
1583618608,0,1
1583619721,1,0
1583620321,50,72
1583620921,1,0
1583622148,2,0
1583622721,7,0
1583623322,4,0
1583623871,37,68
1583624521,1,0
1583625722,2,0
1583626921,1,0
1583627521,71,70
1583628121,4,0
1583628721,1,0
1583629408,4,1
1583629922,2,0
1583630521,1,0
1583631121,4,0
1583632948,53,62
1583634121,1,0
1583634667,31,57
1583635321,2,0
1583636548,7,2
1583637721,1,0
1583638322,52,56
1583638381,1,0
1583640148,7,2
1583641321,2,0
1583641981,66,81
1583642521,2,0
1583643721,2,0
1583643748,0,1
1583644921,12,0
1583645581,54,60
1583646121,6,0
1583647322,55,47
1583647408,1,0
1583648521,2,0
1583649721,2,0
1583650948,5,4
1583652121,11,0
1583653321,3,0
1583654608,47,35
1583655721,25,0
1583656321,60,26
1583656921,4,0
1583658121,11,0
1583659321,7,0
1583659921,55,46
1583660521,2,0
1583661121,10,0
1583661722,9,0
1583661749,0,1
1583662321,3,0
1583662921,4,0
1583663503,63,43
1583665348,0,1
1583667121,49,50
1583667182,1,0
1583668321,5,0
1583669521,21,0
1583670121,1,0
1583670782,51,40
1583671321,1,0
1583672521,6,0
1583673158,970,370
1583673721,3,1
1583674321,70,42
1583674921,3,0
1583676208,3,1
1583676722,1,0
1583677903,57,42
1583678522,7,0
1583679721,4,0
1583680321,2,0
1583680921,2,0
1583681521,4,0
1583682121,4,1
1583682722,8,1
1583683322,58,52
1583683409,0,1
1583684522,14,0
1583685121,79,48
1583685721,5,0
1583686922,6,0
1583687521,3,0
1583688121,2,0
1583688673,76,50
1583689321,3,1
1583689921,3,0
1583690550,4,3
1583691722,7,0
1583692321,2,0
1583694150,78,57
1583694722,2,0
1583695321,24,1
1583695863,51,61
1583696521,4,0
1583697121,1,0
1583697721,2,0
1583697749,0,3
1583698921,7,0
1583700121,5,0
1583700721,2,0
1583701349,64,61
1583701921,6,0
1583702522,1,0
1583703122,65,68
1583703721,2,0
1583704321,3,0
1583705010,57,82
1583706121,2,0
1583707322,1,0
1583707921,2,0
1583708609,4,1
1583709722,1,0
1583710321,35,87
