DateTime,Entries,UniqueIPs
1582445601,1572,619331841
1582449282,1572,619331840
1582452826,1567,619331836
1582456415,1573,619331842
1582460041,1579,619331847
1582462203,1586,619320583
1582463668,1585,619320582
1582467197,1590,619320587
1582470835,1591,619320588
1582472006,1591,619320588
1582474501,1590,619320588
1582478187,1593,619320590
1582481678,1592,619320589
1582485300,1585,619320582
1582486212,1585,619320582
1582488938,1582,619320579
1582492491,1583,619320580
1582497592,1579,619320576
1582499704,1577,619320574
1582503314,1583,619320580
1582506927,1599,619320596
1582507811,1599,619320596
1582510403,1601,619320598
1582513993,1598,619320596
1582517658,1579,619320577
1582521270,1580,619320579
1582524816,1576,619320573
1582528480,1577,619320574
1582532058,1573,619320570
1582535640,1570,619320567
1582539274,1570,619320569
1582542832,1569,619320567
1582546493,1573,619320572
1582546511,1572,619320572
1582548603,1575,619321596
1582550033,1577,619321598
1582553707,1576,619321596
1582555511,1576,619321596
1582557295,1576,619321597
1582560851,1572,619321591
1582564445,1569,619321588
1582569362,1565,619321584
1582571621,1562,619321580
1582575204,1561,619321579
1582576210,1562,619321579
1582578808,1562,619321579
1582582392,1571,619321588
1582586052,1575,619321593
1582589664,1572,619321590
1582593230,1598,619321616
1582596012,1598,619321616
1582596854,1610,619321627
1582600452,1610,619321627
1582604093,1591,619321609
1582607640,1597,619321615
1582611325,1606,619321624
1582614821,1600,619321618
1582618425,1596,619321613
1582622012,1597,619321614
1582625680,1596,619321614
1582629360,1598,619321617
1582633178,1603,619321621
1582635002,1595,619314965
1582636408,1593,619314964
1582637548,1592,619314708
1582640062,1590,619314706
1582643687,1585,619314700
1582645512,1584,619314700
1582647249,1583,619314700
1582650858,1589,619314705
1582653613,1590,619314705
1582654410,1592,619314707
1582658071,1590,619314704
1582661597,1582,619314696
1582665222,1586,619314700
1582668793,1578,619314692
1582672417,1578,619314691
1582676024,1586,619314699
1582679610,1611,619314724
1582679988,1612,619314980
1582683255,1606,619314976
1582686809,1596,619314967
1582690415,1587,619314960
1582694025,1587,619314958
1582697657,1583,619314951
1582701340,1589,619314957
1582704870,1595,619314964
1582708438,1586,619314957
1582712065,1586,619314957
1582715667,1580,619314951
1582719256,1573,619314943
1582721403,1577,619318527
1582722847,1577,619318527
1582726484,1580,619318531
1582727583,1579,619318531
1582730127,1584,619318536
1582733731,1587,619318539
1582737296,1590,619318541
1582740866,1590,619318541
1582744446,1584,619318534
1582748083,1583,619318534
1582751627,1586,619318536
1582756772,1586,619318535
1582758910,1587,619318535
1582761903,1587,619318536
1582762535,1603,619318552
1582766053,1601,619318550
1582769684,1606,619318555
1582771510,1606,619318555
1582773314,1582,619318531
1582776935,1578,619318526
1582780464,1570,619318518
1582784395,1579,619318528
1582787685,1583,619318533
1582791313,1588,619318537
1582794865,1585,619318535
1582798469,1584,619318534
1582802112,1578,619318527
1582805719,1576,619318526
1582807808,1568,619316222
1582809328,1567,619316222
1582812945,1571,619316226
1582816540,1571,619316226
1582820099,1560,619316214
1582823711,1567,619316221
1582829111,1565,619316219
1582834452,1573,619316226
1582838029,1571,619316224
1582841681,1570,619316223
1582845244,1570,619316223
1582848876,1574,619316226
1582852511,1595,619316248
1582856102,1578,619316232
1582859741,1574,619316228
1582863303,1549,619316203
1582866890,1550,619316203
1582870509,1555,619316209
1582874060,1556,619316210
1582877699,1557,619316212
1582881305,1554,619316210
1582884875,1551,619316206
1582888509,1547,619316202
1582892576,1547,619316202
1582894203,1542,619310570
1582895750,1547,619310576
1582899275,1549,619310577
1582903000,1555,619310582
1582906458,1558,619310585
1582910162,1555,619310582
