DateTime,AddedIPs,RemovedIPs
1583532484,7,10
1583533683,79,85
1583534406,6,17
1583534523,47,138
1583535363,129,0
1583536331,10,10
1583536504,209,75
1583538247,8,11
1583540171,423,206
1583541723,142,137
1583542090,12,13
1583542563,43,0
1583544004,11,12
1583545216,119,206
1583545929,10,7
1583547003,76,64
1583547846,12,8
1583548203,57,107
1583549766,773,12
1583550006,78,94
1583550844,42,9
1583551684,3,6
1583553617,156,209
1583555531,93,14
1583556532,63,138
1583557699,8,2
1583557805,69,138
1583559610,7,11
1583559723,114,136
1583561532,12,7
1583561643,88,65
1583562482,45,0
1583563450,5,5
1583563813,69,150
1583565371,12,10
1583566923,155,180
1583567290,4,15
1583567762,34,0
1583569208,61,103
1583569682,29,1
1583571154,3,7
1583571214,67,133
1583573048,6,10
1583573702,129,209
1583574965,16,14
1583576912,108,112
1583577723,74,121
1583578822,7,515
1583579197,78,72
1583580730,18,12
1583582103,122,124
1583582673,260,0
1583583302,48,75
1583584591,16,19
1583585103,74,130
1583586496,21,1031
1583586843,77,77
1583588410,14,9
1583590600,72,98
1583592494,184,223
1583592963,37,0
1583594406,4,8
1583595531,110,120
1583596327,6,10
1583596562,31,49
1583597703,37,49
1583598290,10,7
1583598485,34,0
1583599325,64,99
1583600168,11,21
1583600495,78,42
1583602083,9,11
1583604009,158,180
1583604903,46,59
1583605954,12,6
1583606416,65,136
1583607850,11,13
1583608105,77,77
1583608512,768,0
1583610015,71,96
1583610903,67,25
1583611931,12,13
1583612042,44,55
1583612882,43,0
1583613871,3,11
1583615793,134,225
1583616604,55,78
1583617689,33,36
1583618163,43,0
1583619605,3,11
1583620503,109,178
1583621550,15,13
1583623448,93,102
1583623683,57,1
1583625366,6,23
1583627312,378,191
1583628312,48,0
1583629211,107,141
1583630103,49,59
1583631153,5,4
1583631903,88,122
1583633321,20,9
1583633646,80,64
1583634483,40,0
1583635211,10,3
1583636103,67,128
1583637133,3,6
1583637302,45,66
1583638083,55,0
1583639071,7,8
1583639403,52,118
1583640982,4,9
