DateTime,AddedIPs,RemovedIPs
1583516521,2,0
1583517121,2,0
1583517722,2,0
1583518921,0,1
1583520121,1,0
1583521321,3,0
1583522522,4,0
1583523721,3,0
1583526121,2,0
1583526721,1,0
1583527321,3,0
1583528522,4,0
1583529721,2,0
1583530321,1,0
1583530921,2,0
1583532122,1,0
1583532721,3,0
1583533321,6,0
1583535722,2,0
1583536322,1,0
1583536921,4,0
1583537521,4,0
1583538121,1,0
1583539321,2,0
1583539921,6,0
1583540522,7,0
1583541181,1,0
1583541721,2,1
1583542921,4,1
1583544122,11,0
1583545321,6,0
1583545921,5,0
1583546521,4,0
1583547121,1,0
1583547721,2,0
1583548921,2,0
1583550121,5,0
1583551322,6,0
1583551921,1,0
1583554921,4,3
1583555521,1,0
1583556121,12,0
1583557321,13,0
1583558521,3,1
1583559721,1,0
1583561521,2,0
1583563321,3,0
1583564522,12,0
1583565722,2,0
1583567521,3,0
1583568121,11,0
1583569321,5,0
1583570521,4,0
1583571721,9,1
1583572321,5,0
1583572921,2,0
1583574122,2,1
1583575322,1,0
1583575921,0,1
1583576521,2,0
1583578921,5,0
1583579521,2,0
1583580121,4,0
1583580722,3,0
1583581921,4,0
1583583121,3,0
1583583722,3,0
1583584321,2,0
1583584921,5,0
1583586059,914,426
1583587321,6,0
1583588522,3,0
1583589721,2,0
1583592122,1,0
1583593321,2,0
1583594521,6,3
1583595721,6,0
1583596922,2,0
1583597522,1,0
1583598121,1,0
1583598781,1,0
1583599321,2,0
1583599921,1,0
1583600522,1,0
1583601721,1,0
1583604121,4,0
1583605321,4,0
1583605921,4,0
1583606522,2,0
1583607721,1,0
1583608322,0,1
1583608921,3,0
1583610122,1,0
1583610721,4,0
1583611322,1,0
1583611921,2,0
1583612522,4,0
1583613721,4,0
1583614921,1,0
1583616121,2,0
1583616721,1,0
1583617321,0,1
1583618522,2,2
1583619721,1,0
1583620321,2,0
1583620921,1,0
1583622121,2,0
1583622721,7,0
1583623322,4,0
1583624521,1,0
1583625722,2,0
1583626921,1,0
1583627521,1,0
1583628121,4,0
1583628721,1,0
1583629321,4,0
1583629922,2,0
1583630521,1,0
1583631121,4,0
1583632921,2,0
1583634121,1,0
1583635321,2,0
1583636521,7,0
1583637721,1,0
1583638381,1,0
1583640121,7,0
1583641321,2,0
1583642521,2,0
1583643721,2,0
1583644921,12,0
1583646121,6,0
1583647322,4,0
1583648521,2,0
1583649721,2,0
1583650921,5,2
1583652121,11,0
1583653321,3,0
1583654521,6,0
1583655721,25,0
1583656321,2,0
1583656921,4,0
1583658121,11,0
1583659321,7,0
1583660521,2,0
1583661121,11,0
1583661722,9,0
1583662321,3,0
1583662921,4,0
1583667121,1,0
1583667182,1,0
1583668321,5,0
1583669521,21,0
1583670121,1,0
1583670782,1,0
1583671321,1,0
1583672521,6,0
1583673158,970,370
1583673721,3,1
1583674321,10,0
1583674921,3,0
1583676121,3,0
1583676722,1,0
1583678522,7,0
1583679721,4,0
1583680321,2,0
1583680921,2,0
1583681521,4,0
1583682121,4,1
1583682722,8,1
1583683322,4,0
1583684522,14,0
1583685121,5,0
1583685721,5,0
1583686922,6,0
1583687521,3,0
1583688121,2,0
1583689321,3,1
1583689921,3,0
1583690521,4,0
1583691722,7,0
1583692321,2,0
1583694122,7,0
1583694722,2,0
1583695321,24,1
1583696521,4,0
1583697121,1,0
1583697721,2,0
1583698921,7,0
1583700121,5,0
1583700721,2,0
1583701921,6,0
1583702522,1,0
1583703122,1,0
1583703721,2,0
1583704321,3,0
1583704921,2,0
1583706121,2,0
1583707322,1,0
1583707921,2,0
1583708522,4,0
1583709722,1,0
1583710921,5,0
1583712122,1,0
1583713321,12,0
1583714522,8,0
1583718121,3,0
1583719321,3,0
1583720521,6,0
1583721721,5,0
1583722921,2,0
1583723521,1,0
1583724121,5,0
1583725321,3,1
1583727721,2,0
1583728921,7,0
1583730121,5,0
1583730721,4,0
1583731322,1,0
1583732521,2,0
1583733721,3,1
1583734321,3,0
1583734922,2,0
1583736122,6,0
1583737321,2,0
1583738522,3,2
1583739722,2,0
1583742121,10,0
1583743321,7,1
1583743921,1,0
1583744522,4,1
1583745721,4,0
1583746922,24,0
1583748121,1,1
1583748721,4,0
1583749321,2,0
1583750522,2,2
1583751721,5,0
1583752321,4,0
1583752921,4,0
1583753521,2,0
1583754122,3,0
1583755321,8,0
1583755921,1,0
1583756522,1,0
1583758321,2,0
1583758922,1,0
1583760322,988,294
1583760721,0,1
1583761321,1,0
1583762522,4,1
1583763122,2,0
1583763721,2,0
1583764921,3,0
1583766121,3,0
1583767321,1,0
1583767981,10,0
1583768521,7,0
1583769721,1,0
1583770321,1,0
1583770921,8,0
1583772121,4,0
1583774521,13,0
1583775121,3,0
1583775721,3,0
1583776321,4,0
1583776921,1,0
1583778121,7,0
1583779321,4,0
1583780521,2,0
1583781122,6,0
1583782921,7,0
1583784721,1,0
1583785321,2,0
1583785982,2,0
1583787721,4,0
1583788321,5,0
1583788921,9,0
1583790122,2,0
1583791321,9,0
1583792521,6,0
1583793721,7,0
1583794921,11,0
1583796121,8,0
1583797321,4,0
1583798521,6,0
1583799721,3,0
1583800921,6,1
1583802121,4,0
1583802722,5,0
1583803981,1,0
1583804521,2,0
1583805121,6,0
1583806921,13,0
1583808121,4,0
1583809322,8,0
1583810521,2,1
1583812321,6,0
1583812921,2,0
1583814121,2,0
1583814722,1,0
1583816521,8,0
1583817722,2,0
1583818921,6,0
1583819521,1,0
1583820121,6,0
1583821321,6,0
1583822521,3,0
1583823721,3,0
1583824921,4,0
1583825521,1,0
1583826121,2,0
1583827321,1,0
1583827922,5,0
1583828521,3,0
1583829721,1,0
1583830321,7,0
1583830922,8,0
1583832721,1,0
1583832782,2,0
1583833921,2,0
1583834521,5,1
1583835722,7,0
1583836921,1,0
1583838121,3,0
1583838721,1,0
1583839981,3,0
1583840521,1,0
1583841121,4,0
1583841721,3,0
1583842321,5,0
1583844722,2,0
1583845321,3,0
1583846521,6,0
1583847419,1129,292
1583847721,1,0
1583848322,2,0
1583848921,7,0
1583850121,6,0
1583850721,2,0
1583851321,1,0
1583853121,3,0
1583853721,1,0
1583855521,1,0
