DateTime,AddedIPs,RemovedIPs
1583046972,8,13
1583049136,12,11
1583051052,9,13
1583052979,14,15
1583054890,7,10
1583056812,18,16
1583058744,10,15
1583060909,10,709
1583062813,21,26
1583064993,346,0
1583066905,13,21
1583068806,11,19
1583070728,10,14
1583072666,6,14
1583074565,12,11
1583076486,10,16
1583078423,18,19
1583080330,6,11
1583082496,15,16
1583084431,16,13
1583086342,20,19
1583088251,16,10
1583090171,16,14
1583092100,19,12
1583094007,30,15
1583095928,27,15
1583097862,14,9
1583099764,18,8
1583101701,16,11
1583103618,18,15
1583105543,16,19
1583107713,311,0
1583109611,19,19
1583111533,21,19
1583113461,8,10
1583115373,14,15
1583117303,8,11
1583119218,12,14
1583121129,10,15
1583123052,20,11
1583125261,16,18
1583127129,14,9
1583129057,15,15
1583130978,7,16
1583132892,8,9
1583134810,19,12
1583136747,11,13
1583138659,18,14
1583140573,12,10
1583142490,18,8
1583144421,15,10
1583146325,10,12
1583148251,4,700
1583150178,21,16
1583152091,312,0
1583154007,29,17
1583155948,21,15
1583158106,14,17
1583160008,20,17
1583161930,11,12
1583163864,7,14
1583165771,18,22
1583167706,11,13
1583169603,10,6
1583171525,15,13
1583173473,11,12
1583175365,15,13
1583177285,8,8
1583179233,17,14
1583181132,13,6
1583183320,20,13
1583185235,15,16
1583187157,18,16
1583189073,10,9
1583190971,12,11
1583192889,15,15
1583194808,266,0
1583196725,6,18
1583198648,16,14
1583200567,38,14
1583202516,11,13
1583204412,10,12
1583206332,13,10
1583208501,12,22
1583210410,5,13
1583212333,27,6
1583214248,10,8
1583216169,23,9
1583218089,16,12
1583220028,25,10
1583221930,10,11
1583223851,10,9
1583225795,19,11
1583227685,17,9
1583229609,17,18
1583231532,5,9
1583233702,4,679
1583235609,27,12
1583237570,317,0
1583239447,11,16
1583241370,13,26
1583243292,15,8
1583245208,16,11
1583247126,13,11
1583249077,8,10
1583250966,17,13
1583252887,9,16
1583254806,14,15
1583256733,17,16
1583258651,15,15
1583260567,14,10
1583262488,12,8
1583264411,19,18
1583266332,18,6
1583268276,34,17
1583270171,21,15
1583272088,11,16
1583274004,18,13
1583275924,16,13
1583277850,11,6
1583279767,14,11
1583281688,267,0
1583283615,11,25
1583285531,10,10
1583287452,14,8
1583289396,9,9
1583291298,17,11
1583293221,18,11
1583295381,28,18
1583297289,11,10
1583299205,14,7
1583301124,19,15
1583303047,14,12
1583304982,19,6
1583306888,15,15
1583308811,15,10
1583310728,12,13
1583312650,11,12
1583314568,10,14
1583316494,14,13
1583318421,14,13
1583320329,11,677
1583322253,20,19
1583324205,357,0
1583326091,14,3
1583328006,24,16
1583329925,20,37
1583331867,7,8
1583333764,18,9
1583335686,15,15
1583337613,18,11
1583339531,12,5
1583341699,19,26
1583343609,27,13
1583345779,24,18
1583347692,11,19
1583349646,17,21
1583351548,12,16
1583353446,20,13
1583355365,20,18
1583357284,15,17
1583359206,17,15
1583361128,23,12
1583363047,22,4
1583364969,26,13
1583366889,319,0
1583368812,18,6
1583370731,21,12
1583372649,15,31
1583374569,14,12
1583376490,10,8
1583378405,9,9
1583380328,17,13
1583382255,14,6
1583384167,6,12
1583386085,13,24
1583388014,14,17
1583389930,9,13
1583392095,7,22
1583394012,25,15
1583395930,9,16
1583397852,10,11
1583399774,14,23
1583401692,12,16
1583403607,14,9
1583405525,21,7
1583407447,15,713
1583409365,24,26
1583411290,360,0
1583413218,15,15
1583415133,13,16
1583417049,14,12
1583418968,18,11
1583420901,15,20
1583422811,15,21
1583424730,12,19
1583426648,13,14
1583428571,18,19
1583430492,13,14
1583432405,15,11
1583434348,13,14
1583436245,21,18
1583438168,31,23
1583440084,10,14
1583442011,26,12
1583443928,21,9
1583446093,26,15
1583448008,17,15
1583449929,20,11
1583451847,20,14
1583453776,312,0
1583455691,23,11
1583457609,14,15
1583459528,13,13
1583461448,10,10
1583463365,10,12
1583465286,15,21
1583467216,17,18
1583469130,16,15
1583471054,24,14
1583472967,16,13
1583474898,28,16
1583476809,26,14
1583478728,23,6
1583480648,16,20
1583482570,19,16
1583484488,20,5
1583486405,22,11
1583488328,22,11
1583490245,14,16
1583492167,21,10
1583494084,23,747
1583496014,361,0
1583497930,30,14
1583499850,25,25
1583501767,29,14
1583503695,21,13
1583505608,19,6
1583507532,23,19
1583509450,12,12
1583511370,12,18
1583513291,22,10
1583515204,19,6
1583517128,21,15
1583519050,17,14
1583520964,24,11
1583522885,17,18
1583524812,30,21
1583526729,15,6
1583528656,19,17
1583530565,14,12
1583532484,14,14
1583534406,13,24
1583536331,21,13
1583538247,16,15
1583540171,318,0
1583542090,23,19
1583544004,21,20
1583545929,14,10
1583547846,19,9
1583549766,13,16
1583551684,7,9
1583553617,17,16
1583555531,10,11
1583557699,16,5
1583559610,20,14
1583561532,15,13
1583563450,11,8
1583565371,18,12
1583567290,10,21
1583569208,15,15
1583571154,8,12
1583573048,11,11
1583574965,20,17
1583576912,14,15
1583578822,17,834
1583580730,29,20
1583582673,447,0
1583584591,31,23
1583586496,24,19
1583588410,27,16
1583590600,15,17
1583592494,11,6
1583594406,9,13
1583596327,20,20
1583598290,15,14
1583600168,15,28
