DateTime,Entries,UniqueIPs
1583046972,1499,1499
1583049136,1500,1500
1583051052,1496,1496
1583052979,1495,1495
1583054890,1492,1492
1583056812,1494,1494
1583058744,1489,1489
1583060909,790,790
1583062813,785,785
1583064993,1131,1131
1583066905,1123,1123
1583068806,1115,1115
1583070728,1111,1111
1583072666,1103,1103
1583074565,1104,1104
1583076486,1098,1098
1583078423,1097,1097
1583080330,1092,1092
1583082496,1091,1091
1583084431,1094,1094
1583086342,1095,1095
1583088251,1101,1101
1583090171,1103,1103
1583092100,1110,1110
1583094007,1125,1125
1583095928,1137,1137
1583097862,1142,1142
1583099764,1152,1152
1583101701,1157,1157
1583103618,1160,1160
1583105543,1157,1157
1583107713,1468,1468
1583109611,1468,1468
1583111533,1470,1470
1583113461,1468,1468
1583115373,1467,1467
1583117303,1464,1464
1583119218,1462,1462
1583121129,1457,1457
1583123052,1466,1466
1583125261,1464,1464
1583127129,1469,1469
1583129057,1469,1469
1583130978,1460,1460
1583132892,1459,1459
1583134810,1466,1466
1583136747,1464,1464
1583138659,1468,1468
1583140573,1470,1470
1583142490,1480,1480
1583144421,1485,1485
1583146325,1483,1483
1583148251,787,787
1583150178,792,792
1583152091,1104,1104
1583154007,1116,1116
1583155948,1122,1122
1583158106,1119,1119
1583160008,1122,1122
1583161930,1121,1121
1583163864,1114,1114
1583165771,1110,1110
1583167706,1108,1108
1583169603,1112,1112
1583171525,1114,1114
1583173473,1113,1113
1583175365,1115,1115
1583177285,1115,1115
1583179233,1118,1118
1583181132,1125,1125
1583183320,1132,1132
1583185235,1131,1131
1583187157,1133,1133
1583189073,1134,1134
1583190971,1135,1135
1583192889,1135,1135
1583194808,1401,1401
1583196725,1389,1389
1583198648,1391,1391
1583200567,1415,1415
1583202516,1413,1413
1583204412,1411,1411
1583206332,1414,1414
1583208501,1404,1404
1583210410,1396,1396
1583212333,1417,1417
1583214248,1419,1419
1583216169,1433,1433
1583218089,1437,1437
1583220028,1452,1452
1583221930,1451,1451
1583223851,1452,1452
1583225795,1460,1460
1583227685,1468,1468
1583229609,1467,1467
1583231532,1463,1463
1583233702,788,788
1583235609,803,803
1583237570,1120,1120
1583239447,1115,1115
1583241370,1102,1102
1583243292,1109,1109
1583245208,1114,1114
1583247126,1116,1116
1583249077,1114,1114
1583250966,1118,1118
1583252887,1111,1111
1583254806,1110,1110
1583256733,1111,1111
1583258651,1111,1111
1583260567,1115,1115
1583262488,1119,1119
1583264411,1120,1120
1583266332,1132,1132
1583268276,1149,1149
1583270171,1155,1155
1583272088,1150,1150
1583274004,1155,1155
1583275924,1158,1158
1583277850,1163,1163
1583279767,1166,1166
1583281688,1433,1433
1583283615,1419,1419
1583285531,1419,1419
1583287452,1425,1425
1583289396,1425,1425
1583291298,1431,1431
1583293221,1438,1438
1583295381,1448,1448
1583297289,1449,1449
1583299205,1456,1456
1583301124,1460,1460
1583303047,1462,1462
1583304982,1475,1475
1583306888,1475,1475
1583308811,1480,1480
1583310728,1479,1479
1583312650,1478,1478
1583314568,1474,1474
1583316494,1475,1475
1583318421,1476,1476
1583320329,810,810
1583322253,811,811
1583324205,1168,1168
1583326091,1179,1179
1583328006,1187,1187
1583329925,1170,1170
1583331867,1169,1169
1583333764,1178,1178
1583335686,1178,1178
1583337613,1185,1185
1583339531,1192,1192
1583341699,1185,1185
1583343609,1199,1199
1583345779,1205,1205
1583347692,1197,1197
1583349646,1193,1193
1583351548,1189,1189
1583353446,1196,1196
1583355365,1198,1198
1583357284,1196,1196
1583359206,1198,1198
1583361128,1209,1209
1583363047,1227,1227
1583364969,1240,1240
1583366889,1559,1559
1583368812,1571,1571
1583370731,1580,1580
1583372649,1564,1564
1583374569,1566,1566
1583376490,1568,1568
1583378405,1568,1568
1583380328,1572,1572
1583382255,1580,1580
1583384167,1574,1574
1583386085,1563,1563
1583388014,1560,1560
1583389930,1556,1556
1583392095,1541,1541
1583394012,1551,1551
1583395930,1544,1544
1583397852,1543,1543
1583399774,1534,1534
1583401692,1530,1530
1583403607,1535,1535
1583405525,1549,1549
1583407447,851,851
1583409365,849,849
1583411290,1209,1209
1583413218,1209,1209
1583415133,1206,1206
1583417049,1208,1208
1583418968,1215,1215
1583420901,1210,1210
1583422811,1204,1204
1583424730,1197,1197
1583426648,1196,1196
1583428571,1195,1195
1583430492,1194,1194
1583432405,1198,1198
1583434348,1197,1197
1583436245,1200,1200
1583438168,1208,1208
1583440084,1204,1204
1583442011,1218,1218
1583443928,1230,1230
1583446093,1241,1241
1583448008,1243,1243
1583449929,1252,1252
1583451847,1258,1258
1583453776,1570,1570
1583455691,1582,1582
1583457609,1581,1581
1583459528,1581,1581
1583461448,1581,1581
1583463365,1579,1579
1583465286,1573,1573
1583467216,1572,1572
1583469130,1573,1573
1583471054,1583,1583
1583472967,1586,1586
1583474898,1598,1598
1583476809,1610,1610
1583478728,1627,1627
1583480648,1623,1623
1583482570,1626,1626
1583484488,1641,1641
1583486405,1652,1652
1583488328,1663,1663
1583490245,1661,1661
1583492167,1672,1672
1583494084,948,948
1583496014,1309,1309
1583497930,1325,1325
1583499850,1325,1325
1583501767,1340,1340
1583503695,1348,1348
1583505608,1361,1361
1583507532,1365,1365
1583509450,1365,1365
1583511370,1359,1359
1583513291,1371,1371
1583515204,1384,1384
1583517128,1390,1390
1583519050,1393,1393
1583520964,1406,1406
1583522885,1405,1405
1583524812,1414,1414
1583526729,1423,1423
1583528656,1425,1425
1583530565,1427,1427
1583532484,1427,1427
1583534406,1416,1416
1583536331,1424,1424
1583538247,1425,1425
1583540171,1743,1743
1583542090,1747,1747
1583544004,1748,1748
1583545929,1752,1752
1583547846,1762,1762
1583549766,1759,1759
1583551684,1757,1757
1583553617,1758,1758
1583555531,1757,1757
1583557699,1768,1768
1583559610,1774,1774
1583561532,1776,1776
1583563450,1779,1779
1583565371,1785,1785
1583567290,1774,1774
1583569208,1774,1774
1583571154,1770,1770
1583573048,1770,1770
1583574965,1773,1773
1583576912,1772,1772
1583578822,955,955
1583580730,964,964
1583582673,1411,1411
1583584591,1419,1419
1583586496,1424,1424
1583588410,1435,1435
1583590600,1433,1433
1583592494,1438,1438
1583594406,1434,1434
1583596327,1434,1434
1583598290,1435,1435
1583600168,1422,1422
1583602083,1419,1419
1583604009,1401,1401
1583605954,1401,1401
1583607850,1394,1394
1583610015,1390,1390
1583611931,1386,1386
1583613871,1383,1383
1583615793,1367,1367
1583617689,1364,1364
1583619605,1351,1351
1583621550,1347,1347
1583623448,1343,1343
1583625366,1320,1320
1583627312,1732,1732
1583629211,1737,1737
1583631153,1746,1746
1583633321,1834,1834
1583635211,1841,1841
1583637133,1837,1837
1583639071,1837,1837
1583640982,1828,1828
1583642893,1821,1821
1583644832,1813,1813
1583646726,1805,1805
1583648647,1799,1799
1583650588,1795,1795
1583652491,1792,1792
1583654418,1787,1787
1583656333,1783,1783
1583658273,1782,1782
1583660171,1784,1784
1583662093,1782,1782
1583664018,1774,1774
1583665935,893,893
1583667869,896,896
1583669782,1322,1322
1583671689,1315,1315
1583673634,1315,1315
1583675528,1320,1320
1583677447,1322,1322
1583679366,1335,1335
1583681288,1346,1346
1583683232,1345,1345
1583685133,1348,1348
1583687051,1341,1341
1583688968,1342,1342
1583690919,1337,1337
1583692808,1341,1341
1583694730,1345,1345
1583696669,1358,1358
1583698573,1359,1359
1583700488,1351,1351
1583702405,1350,1350
1583704346,1344,1344
1583706249,1334,1334
1583708187,1335,1335
1583710084,1320,1320
1583712019,1714,1714
1583713957,1716,1716
1583716119,1711,1711
1583718009,1712,1712
1583719929,1703,1703
1583721872,1708,1708
1583723793,1709,1709
1583725689,1708,1708
1583727630,1715,1715
1583729526,1716,1716
1583731449,1705,1705
1583733390,1690,1690
1583735285,1684,1684
1583737212,1688,1688
1583739155,1703,1703
1583741052,1701,1701
1583742967,1710,1710
1583744912,1713,1713
1583746810,1723,1723
1583748978,1714,1714
1583750891,1718,1718
1583752813,950,950
1583754749,941,941
1583756651,1349,1349
1583758588,1345,1345
1583760758,1339,1339
1583762677,1330,1330
1583764573,1332,1332
1583766515,1334,1334
1583768413,1328,1328
1583770333,1333,1333
1583772276,1346,1346
1583774172,1356,1356
1583776098,1357,1357
1583778029,1361,1361
1583779931,1362,1362
1583781851,1370,1370
1583783769,1375,1375
1583785686,1373,1373
1583787608,1366,1366
1583789530,1361,1361
1583791720,1360,1360
1583793633,1366,1366
1583795536,1369,1369
1583797451,1363,1363
1583799375,1742,1742
1583801293,1738,1738
1583803238,1731,1731
1583805153,1732,1732
1583807079,1733,1733
1583808992,1735,1735
1583810892,1732,1732
1583812817,1743,1743
1583814769,1751,1751
1583816678,1760,1760
1583818574,1769,1769
1583820521,1767,1767
1583822416,1774,1774
1583824332,1784,1784
1583826275,1790,1790
1583828195,1800,1800
1583830095,1791,1791
1583832005,1790,1790
1583833954,1789,1789
1583835850,1797,1797
1583837771,1784,1784
1583839711,928,928
1583841611,1365,1365
1583843556,1369,1369
1583845479,1395,1395
1583847426,1388,1388
1583849295,1403,1403
1583851238,1399,1399
1583853137,1405,1405
1583855050,1415,1415
1583856971,1421,1421
1583858889,1429,1429
1583860814,1441,1441
1583862727,1453,1453
1583864651,1467,1467
1583866566,1473,1473
1583868489,1484,1484
1583870433,1490,1490
1583872336,1489,1489
1583874500,1499,1499
1583876414,1509,1509
1583878357,1518,1518
1583880249,1527,1527
1583882171,1539,1539
1583884090,1545,1545
1583886006,1929,1929
1583887924,1949,1949
1583889846,1949,1949
1583891765,1956,1956
1583893685,1977,1977
1583895610,1978,1978
1583897532,1982,1982
1583899694,1995,1995
1583901611,1992,1992
1583903529,2005,2005
1583905447,2014,2014
1583907370,2022,2022
1583909289,2025,2025
1583911204,2037,2037
1583913125,2042,2042
1583915049,2048,2048
1583916966,2044,2044
1583918886,2049,2049
1583920813,2048,2048
1583922730,2045,2045
1583924655,1205,1205
1583926569,1224,1224
1583928488,1656,1656
1583930408,1667,1667
1583932329,1678,1678
1583934274,1693,1693
1583936172,1715,1715
1583938089,1716,1716
1583940007,1724,1724
1583941928,1719,1719
1583943875,1720,1720
1583945765,1730,1730
1583947684,1725,1725
1583949606,1734,1734
1583951528,1735,1735
1583953698,1734,1734
1583955648,1740,1740
1583957529,1739,1739
1583959446,1746,1746
1583961370,1749,1749
1583963286,1756,1756
1583965234,1762,1762
1583967123,1774,1774
1583969047,1784,1784
1583970989,1779,1779
1583972886,2166,2166
1583974807,2172,2172
1583976774,2171,2171
1583978893,2177,2177
1583980811,2178,2178
1583982730,2194,2194
1583984648,2196,2196
1583986568,2207,2207
1583988489,2212,2212
1583990406,2212,2212
1583992327,2211,2211
1583994248,2219,2219
1583996167,2229,2229
1583998085,2233,2233
1584000009,2228,2228
1584001959,2226,2226
1584004363,2233,2233
1584006272,2241,2241
1584008170,2234,2234
1584010112,2242,2242
1584012005,1151,1151
