DateTime,Entries,UniqueIPs
1583114412,4247,4247
1583116213,4234,4234
1583118013,3921,3921
1583119814,3880,3880
1583121613,3835,3835
1583123413,3931,3931
1583125214,3781,3781
1583127014,3562,3562
1583128813,3462,3462
1583130614,3417,3417
1583132414,3130,3130
1583134214,3040,3040
1583136014,3334,3334
1583137814,3363,3363
1583139615,3481,3481
1583141415,3630,3630
1583143217,3638,3638
1583145015,3873,3873
1583146818,4441,4441
1583148615,4915,4915
1583150415,5037,5037
1583152214,4946,4946
1583154014,5409,5409
1583155813,5936,5936
1583157614,5723,5723
1583159413,6130,6130
1583161212,6475,6475
1583163014,6933,6933
1583164814,7302,7302
1583166613,6829,6829
1583168413,6318,6318
1583170214,5247,5247
1583172012,4844,4844
1583173811,4510,4510
1583175613,4461,4461
1583177411,4444,4444
1583179213,4388,4388
1583181011,4762,4762
1583182810,4855,4855
1583184612,4767,4767
1583186411,4778,4778
1583188210,5425,5425
1583190010,5875,5875
1583191811,6231,6231
1583193612,6712,6712
1583195410,6863,6863
1583197210,7262,7262
1583199011,7505,7505
1583200811,7683,7683
1583202611,7647,7647
1583204410,7447,7447
1583206211,7823,7823
1583208010,7878,7878
1583209811,7889,7889
1583211609,7322,7322
1583213410,6494,6494
1583215209,6527,6527
1583217010,6094,6094
1583218809,3950,3950
1583220610,3844,3844
1583222409,4157,4157
1583224210,4317,4317
1583226009,3949,3949
1583227810,4161,4161
1583229609,4669,4669
1583231409,4069,4069
1583233210,3585,3585
1583235011,2737,2737
1583236809,2401,2401
1583238611,2488,2488
1583240412,2929,2929
1583242211,3128,3128
1583244010,3350,3350
1583245811,3272,3272
1583247612,3231,3231
1583249412,2908,2908
1583251212,2919,2919
1583253011,2753,2753
1583254813,2280,2280
1583256613,2292,2292
1583258413,2263,2263
1583260213,1887,1887
1583262014,1839,1839
1583263813,1712,1712
1583265614,1418,1418
1583267415,1567,1567
1583269214,1828,1828
1583271013,2023,2023
1583272813,2355,2355
1583274613,2275,2275
1583276413,2178,2178
1583278215,2081,2081
1583280013,2078,2078
1583281813,2010,2010
1583283614,2094,2094
1583285412,1943,1943
1583287214,1556,1556
1583289011,1744,1744
1583290812,1982,1982
1583292612,1951,1951
1583294413,2206,2206
1583296214,2451,2451
1583298011,2594,2594
1583299812,2661,2661
1583301613,2480,2480
1583303413,2668,2668
1583305212,2484,2484
1583307015,2599,2599
1583308812,2626,2626
1583310612,2346,2346
1583312412,2393,2393
1583314214,2289,2289
1583316014,1860,1860
1583317816,2157,2157
1583319612,2301,2301
1583321413,2316,2316
1583323213,2598,2598
1583325012,2863,2863
1583326813,2773,2773
1583328614,2937,2937
1583330413,2970,2970
1583332213,2878,2878
1583334013,2751,2751
1583335813,2647,2647
1583337612,2520,2520
1583339413,2619,2619
1583341212,2776,2776
1583343011,2815,2815
1583344812,3050,3050
1583346611,3403,3403
1583348411,3736,3736
1583350211,4105,4105
1583352011,4378,4378
1583353810,4590,4590
1583355609,4903,4903
1583357410,5197,5197
1583359210,5593,5593
1583361009,5886,5886
1583362809,6214,6214
1583364609,6655,6655
1583366408,7017,7017
1583368209,7387,7387
1583370007,7728,7728
1583371808,7946,7946
1583373607,8167,8167
1583375406,8024,8024
1583377206,7964,7964
1583379005,7670,7670
1583380805,7625,7625
1583382605,7470,7470
1583384404,7405,7405
1583386205,7392,7392
1583388004,7156,7156
1583389805,7083,7083
1583391605,6849,6849
1583393405,6150,6150
1583395204,5743,5743
1583397005,5452,5452
1583398805,5253,5253
1583400606,5033,5033
1583402407,4766,4766
1583404207,4518,4518
1583406006,4392,4392
1583407807,4321,4321
1583409607,4593,4593
1583411406,4666,4666
1583413206,4773,4773
1583415006,4673,4673
1583416807,4838,4838
1583418608,5307,5307
1583420408,5480,5480
1583422206,5593,5593
1583424008,5635,5635
1583425807,5655,5655
1583427609,5843,5843
1583429407,5875,5875
1583431207,5856,5856
1583433007,5808,5808
1583434807,5939,5939
1583436606,5856,5856
1583438407,6048,6048
1583440207,6116,6116
1583442006,5931,5931
1583443806,5409,5409
1583445606,5250,5250
1583447406,5165,5165
1583449206,5052,5052
1583451006,5122,5122
1583452807,4895,4895
1583454606,4796,4796
1583456406,4498,4498
1583458206,4438,4438
1583460006,4336,4336
1583461806,4247,4247
1583463606,3959,3959
1583465405,3763,3763
1583467206,3738,3738
1583469006,3719,3719
1583470806,3776,3776
1583472607,3838,3838
1583474406,3926,3926
1583476206,3788,3788
1583478006,3672,3672
1583479806,3684,3684
1583481606,3845,3845
1583483406,4023,4023
1583485205,4090,4090
1583487007,4247,4247
1583488806,4389,4389
1583490605,4565,4565
1583492406,4601,4601
1583494206,4643,4643
1583496006,4659,4659
1583497806,4780,4780
1583499606,5042,5042
1583501406,5215,5215
1583503205,5481,5481
1583505005,5765,5765
1583506805,5875,5875
1583508605,5841,5841
1583510404,5766,5766
1583512205,5864,5864
1583514005,5875,5875
1583515804,5813,5813
1583517605,5974,5974
1583519404,6046,6046
1583521206,6149,6149
1583523004,6038,6038
1583524805,5940,5940
1583526604,6006,6006
1583528405,5914,5914
1583530204,5848,5848
1583532004,5767,5767
1583533804,5451,5451
1583535605,5103,5103
1583537404,4867,4867
1583539204,4891,4891
1583541004,4906,4906
1583542804,4621,4621
1583544605,4611,4611
1583546405,4627,4627
1583548204,4640,4640
1583550004,4619,4619
1583551804,4466,4466
1583553605,4207,4207
1583555404,4265,4265
1583557205,4236,4236
1583559005,4172,4172
1583560804,4024,4024
1583562605,3717,3717
1583564405,3547,3547
1583566204,3388,3388
1583568005,3317,3317
1583569804,3378,3378
1583571605,3190,3190
1583573405,3209,3209
1583575206,2969,2969
1583577007,2614,2614
1583578808,2581,2581
1583580606,2639,2639
1583582407,2720,2720
1583584206,2728,2728
1583586006,2621,2621
1583587806,2462,2462
1583589606,2515,2515
1583591407,2447,2447
1583593206,2478,2478
1583595007,2614,2614
1583596807,2699,2699
1583598607,2666,2666
1583600407,2718,2718
