DateTime,AddedIPs,RemovedIPs
1583540522,2,0
1583541721,1,6
1583542921,0,11
1583544122,4,1
1583545321,1,3
1583546521,3,0
1583547721,0,2
1583548921,1,1
1583550121,3,1
1583551322,1,2
1583551921,1,0
1583552521,1,2
1583553122,1,0
1583553721,1,1
1583555521,1,2
1583556121,8,0
1583557321,3,6
1583558521,3,1
1583559721,2,6
1583560321,1,0
1583562121,0,2
1583562721,2,3
1583563921,1,0
1583564522,1,0
1583565722,1,1
1583566321,1,2
1583567521,4,0
1583568121,7,0
1583569321,6,1
1583571721,1,1
1583572921,0,7
1583574122,0,4
1583574722,0,1
1583575322,2,0
1583575921,1,5
1583576521,4,0
1583577722,0,19
1583578921,4,0
1583579521,2,1
1583580121,4,0
1583580722,3,0
1583581921,3,3
1583582521,1,0
1583583121,3,0
1583583722,3,0
1583584321,4,2
1583584921,7,2
1583587321,2,1
1583589721,3,0
1583590921,0,4
1583592122,1,1
1583592721,0,1
1583593321,2,0
1583594521,8,3
1583595721,4,1
1583596321,1,0
1583596922,2,0
1583597522,2,4
1583598121,3,0
1583599321,2,2
1583599921,2,0
1583600522,0,3
1583601721,1,0
1583602321,0,1
1583602921,0,2
1583603521,0,2
1583604121,3,6
1583604721,2,5
1583605321,2,0
1583606522,3,6
1583607121,0,4
1583607721,2,0
1583608921,1,0
1583611322,1,7
1583612522,2,0
1583613721,5,3
1583614921,4,1
1583616121,2,2
1583616721,1,1
1583617321,2,0
1583618522,6,7
1583619721,1,1
1583620321,1,3
1583620921,2,1
1583621522,2,3
1583622121,2,2
1583622721,10,2
1583623322,2,1
1583624521,1,0
1583625722,2,6
1583626921,2,0
1583627521,3,0
1583628121,4,0
1583629321,12,1
1583629922,2,2
1583630521,1,0
1583632321,2,1
1583634121,1,3
1583635321,0,4
1583636521,8,0
1583637121,1,2
1583637721,1,0
1583638322,0,1
1583638922,0,3
1583640121,2,0
1583641321,5,3
1583642521,0,1
1583643721,2,2
1583644921,2,2
1583646121,6,0
