DateTime,AddedIPs,RemovedIPs
1583579521,2,23
1583580121,6,8
1583580722,2,0
1583581921,9,24
1583582521,6,0
1583583121,3,0
1583583722,6,19
1583584321,5,0
1583584921,1,9
1583585521,1,6
1583586121,3,0
1583587321,10,10
1583588522,11,3
1583589122,1,10
1583589721,2,0
1583590322,3,4
1583591521,10,11
1583592721,5,17
1583593321,2,5
1583594521,12,0
1583595121,0,9
1583595721,8,0
1583596321,0,13
1583596922,8,0
1583597522,4,16
1583598721,12,16
1583599921,7,5
1583600522,5,0
1583601121,3,4
1583601721,1,5
1583602321,0,12
1583603521,9,13
1583604721,2,2
1583605321,11,9
1583605921,11,3
1583606521,5,19
1583607721,8,9
1583608322,3,20
1583608921,2,13
1583609521,8,0
1583610122,9,0
1583610721,51,9
1583611921,15,23
1583612522,11,0
1583613721,9,27
1583614321,4,48
1583616121,10,0
1583617321,9,26
1583618522,13,0
1583619121,9,27
1583619721,9,14
1583620321,7,20
1583620921,1,0
1583621522,5,23
1583622121,7,0
1583622721,7,14
1583623322,4,31
1583624521,12,11
1583625722,6,15
1583626921,8,17
1583627521,9,27
1583628721,23,11
1583629321,6,0
1583629922,11,30
1583630521,9,0
1583631121,28,21
1583631721,7,16
1583632921,6,48
1583633521,6,39
1583634722,20,0
1583635321,7,0
1583636521,8,45
1583637121,9,0
1583637721,9,30
1583638921,14,20
1583640121,19,26
1583640722,10,31
1583642521,18,0
1583643721,3,33
1583644921,24,42
1583646121,15,36
1583647322,15,0
1583648521,14,35
1583649122,2,33
1583649721,9,0
1583650921,6,46
1583652121,22,0
1583653321,15,13
1583654521,10,30
1583655721,36,0
1583656321,4,23
1583658121,15,39
1583659321,2,21
1583659921,6,10
1583661121,17,11
1583661721,11,9
1583662321,8,0
1583662921,9,0
1583664121,6,4
1583664721,3,9
1583665321,0,4
1583667121,7,5
1583667721,0,11
1583669521,30,3
1583670121,5,7
1583670721,6,6
1583671321,3,3
1583671922,2,0
1583672521,2,2
1583673121,0,13
1583673721,1,0
1583674321,15,9
1583674921,6,0
1583675521,0,9
1583676121,4,6
1583676722,6,9
1583677921,12,5
1583678522,9,0
1583679121,1,0
1583679721,3,6
1583680321,2,9
1583680921,7,0
1583682121,12,6
1583682722,7,1
1583683922,2,34
1583684522,18,0
1583685121,6,0
1583685721,5,15
1583686922,15,9
1583687521,6,3
1583688121,5,0
1583689321,5,7
1583689921,1,0
1583690521,4,4
1583691721,12,20
1583692921,7,6
1583693521,4,16
1583694722,9,0
1583695321,84,3
1583696521,7,23
1583697121,9,0
1583698321,2,53
1583698921,5,27
1583699521,2,0
1583700721,19,7
1583701921,14,10
1583702522,1,10
1583703122,3,0
1583704321,11,17
1583704921,1,10
1583706121,11,11
1583707322,4,17
1583708522,13,7
1583709722,4,8
1583710321,1,16
1583710921,3,0
1583712122,13,19
1583712722,22,0
1583713321,11,8
1583714522,11,0
1583715121,12,15
1583715721,5,24
1583716921,12,30
1583718121,7,41
1583719321,16,0
1583719921,16,0
1583721122,5,26
1583721721,0,32
1583722921,1,11
1583723521,5,10
1583724121,1,0
1583724721,25,20
1583725921,8,29
1583726522,4,0
1583727721,6,19
1583728921,24,20
1583730121,22,27
1583730721,19,0
1583731322,28,24
1583732521,36,0
1583733721,34,36
1583734321,30,0
1583734922,12,0
1583736122,34,49
1583737321,29,0
1583738522,21,15
1583739722,20,39
1583740922,12,0
1583742121,13,14
1583743321,24,30
1583743921,4,0
1583744522,10,0
1583745721,21,0
1583746922,23,15
1583747522,5,14
1583748721,29,16
1583749321,14,10
1583749922,12,0
1583750522,23,8
1583751121,21,0
1583751721,12,1
1583752921,19,6
1583753521,9,1
1583754121,1,0
1583754721,10,0
1583755321,6,9
1583755921,8,0
1583756522,10,18
1583757121,9,5
1583758321,11,16
1583759521,15,3
1583760122,5,0
1583760721,5,9
1583761321,2,0
1583762522,9,7
1583763122,2,11
1583764321,15,9
1583764921,1,5
1583765521,3,2
1583766121,12,0
1583766721,4,1
1583767921,48,13
1583768521,7,0
1583769121,8,5
1583770321,12,4
1583770921,5,8
1583771521,5,12
1583772121,1,13
1583773321,12,6
1583774521,1,9
1583776321,21,7
1583776921,11,11
1583778121,18,9
1583778721,4,0
1583779321,4,4
1583779921,3,0
1583780521,1,10
1583781121,2,84
1583781721,5,0
1583782321,1,0
1583783521,9,31
1583784121,6,0
1583784721,5,0
1583785921,14,3
1583786522,9,0
1583787721,13,40
1583788321,2,0
1583788921,4,6
1583789521,8,8
1583790122,4,2
1583791321,35,0
1583792521,15,8
1583793121,3,3
1583793721,15,0
1583794921,26,11
1583795521,9,5
1583796121,10,1
1583797321,10,3
1583798521,3,9
1583799721,10,10
1583800921,15,15
1583801521,5,10
1583802722,27,22
1583804521,21,7
1583805121,14,8
1583805721,1,0
1583806921,24,24
1583808121,6,1
1583809322,18,5
1583810521,8,0
1583811122,1,6
1583812321,25,20
1583812921,3,10
1583814121,18,3
1583814722,2,0
1583815322,1,16
1583815921,5,0
1583817722,8,26
1583818921,9,41
1583819521,8,0
1583820121,8,22
1583821321,27,38
1583822521,27,0
1583823721,23,46
1583824921,15,22
1583825521,19,0
1583826121,12,0
1583827321,13,9
1583827922,11,23
1583828521,3,0
1583829721,14,0
1583830922,5,19
1583831521,5,19
1583832121,5,0
1583832721,1,14
1583833321,4,0
1583833921,4,9
1583835122,1,37
1583835722,6,0
1583836321,3,35
1583836921,3,16
1583837521,5,29
1583838721,12,26
1583839921,1,11
1583841121,10,17
1583841721,4,0
1583842321,2,7
1583842921,0,21
1583844722,6,21
1583845321,1,10
1583846521,4,15
1583847721,12,3
1583848321,10,7
1583848921,15,16
1583850121,9,0
1583850721,17,1
1583851321,2,8
1583852522,16,1
1583853121,1,0
1583853721,18,11
1583854322,2,0
1583855521,17,65
1583856121,19,0
1583856721,9,0
1583857921,37,16
1583859121,9,4
1583859722,5,22
1583860921,22,4
1583861521,26,0
1583862121,8,0
1583862722,6,5
1583863321,1,2
1583864522,6,12
1583865121,10,5
1583865722,9,0
1583866321,7,7
1583867521,9,10
1583868721,7,0
1583869321,5,7
1583870521,10,14
1583871121,0,10
1583871721,6,8
1583872321,0,12
1583873521,14,0
1583874121,1,0
1583875321,8,21
1583875921,4,0
1583876521,0,5
1583877721,7,11
1583878321,3,24
1583878921,13,0
1583879522,5,17
1583880122,1,23
1583881321,6,0
1583882521,4,28
1583883121,4,13
1583883721,3,0
1583884921,6,19
1583885521,4,0
1583886121,5,0
1583886722,0,17
1583887322,1,0
1583888521,2,2
1583889122,5,14
1583889721,6,12
1583890321,5,12
1583891522,15,8
1583892722,0,22
1583893321,7,0
1583894522,1,46
1583895721,2,24
1583896321,2,5
1583898121,1,13
1583898721,7,8
1583899921,5,23
1583900521,1,0
1583901722,25,8
1583902921,0,34
1583904121,5,0
1583904722,9,12
1583905321,5,12
1583905922,9,0
1583906521,3,29
1583907721,21,0
1583908321,10,30
1583908921,6,27
1583911321,4,55
1583913121,7,51
1583913721,5,22
1583914921,10,0
1583915521,3,12
1583916121,4,23
1583916721,3,21
1583917321,1,0
1583918521,0,24
1583919721,0,22
1583920322,83,0
1583920921,6,0
1583922121,14,21
1583922721,8,0
1583923321,4,2
1583923921,5,11
1583924521,2,9
1583925721,2,14
1583927521,7,0
1583928121,3,5
1583928721,1,3
1583930521,1,14
1583931121,2,0
1583931721,2,7
1583932321,2,0
1583932921,9,15
1583934122,10,4
1583934721,16,0
1583935321,1,10
1583936522,1,16
1583937122,16,12
1583937721,8,10
1583939522,28,33
1583940121,5,24
1583940721,18,35
1583941321,6,25
1583941921,9,7
