DateTime,Entries,UniqueIPs
1583579521,2623,2670
1583580121,2622,2668
1583580722,2624,2670
1583581921,2611,2655
1583582521,2617,2661
1583583121,2620,2664
1583583722,2607,2651
1583584321,2612,2656
1583584921,2604,2648
1583585521,2599,2643
1583586121,2602,2646
1583587321,2602,2646
1583588522,2609,2654
1583589122,2600,2645
1583589721,2602,2647
1583590322,2602,2646
1583591521,2602,2645
1583592721,2590,2633
1583593321,2588,2630
1583594521,2599,2642
1583595121,2590,2633
1583595721,2598,2641
1583596321,2585,2628
1583596922,2593,2636
1583597522,2581,2624
1583598721,2579,2620
1583599921,2580,2622
1583600522,2585,2627
1583601121,2584,2626
1583601721,2580,2622
1583602321,2568,2610
1583603521,2564,2606
1583604721,2564,2606
1583605321,2566,2608
1583605921,2573,2616
1583606521,2559,2602
1583607721,2558,2601
1583608322,2542,2584
1583608921,2532,2573
1583609521,2540,2581
1583610122,2549,2590
1583610721,2591,2632
1583611921,2583,2624
1583612522,2594,2635
1583613721,2577,2617
1583614321,2534,2573
1583616121,2544,2583
1583617321,2527,2566
1583618522,2538,2579
1583619121,2521,2561
1583619721,2516,2556
1583620321,2504,2543
1583620921,2505,2544
1583621522,2489,2526
1583622121,2496,2533
1583622721,2490,2526
1583623322,2463,2499
1583624521,2464,2500
1583625722,2455,2491
1583626921,2445,2482
1583627521,2427,2464
1583628721,2439,2476
1583629321,2445,2482
1583629922,2427,2463
1583630521,2436,2472
1583631121,2443,2479
1583631721,2433,2470
1583632921,2393,2428
1583633521,2361,2395
1583634722,2381,2415
1583635321,2387,2422
1583636521,2352,2385
1583637121,2361,2394
1583637721,2342,2373
1583638921,2337,2367
1583640121,2331,2360
1583640722,2310,2339
1583642521,2325,2357
1583643721,2295,2327
1583644921,2278,2309
1583646121,2257,2288
1583647322,2272,2303
1583648521,2252,2282
1583649122,2223,2251
1583649721,2232,2260
1583650921,2193,2220
1583652121,2215,2242
1583653321,2216,2244
1583654521,2197,2224
1583655721,2233,2260
1583656321,2214,2241
1583658121,2191,2217
1583659321,2172,2198
1583659921,2168,2194
1583661121,2174,2200
1583661721,2175,2202
1583662321,2183,2210
1583662921,2191,2219
1583664121,2193,2221
1583664721,2187,2215
1583665321,2183,2211
1583667121,2185,2213
1583667721,2174,2202
1583669521,2200,2229
1583670121,2198,2227
1583670721,2198,2227
1583671321,2198,2227
1583671922,2200,2229
1583672521,2200,2229
1583673121,2187,2216
1583673721,2188,2217
1583674321,2194,2223
1583674921,2200,2229
1583675521,2191,2220
1583676121,2189,2218
1583676722,2187,2215
1583677921,2194,2222
1583678522,2202,2231
1583679121,2203,2232
1583679721,2199,2229
1583680321,2192,2222
1583680921,2199,2229
1583682121,2205,2235
1583682722,2210,2241
1583683922,2179,2209
1583684522,2197,2227
1583685121,2203,2233
1583685721,2193,2223
1583686922,2199,2229
1583687521,2202,2232
1583688121,2207,2237
1583689321,2205,2235
1583689921,2206,2236
1583690521,2206,2236
1583691721,2198,2228
1583692921,2199,2229
1583693521,2188,2217
1583694722,2197,2226
1583695321,2278,2307
1583696521,2263,2291
1583697121,2272,2300
1583698321,2221,2249
1583698921,2199,2227
1583699521,2201,2229
1583700721,2213,2241
1583701921,2216,2245
1583702522,2208,2236
1583703122,2211,2239
1583704321,2206,2233
1583704921,2197,2224
1583706121,2197,2224
1583707322,2184,2211
1583708522,2190,2217
1583709722,2186,2213
1583710321,2173,2198
1583710921,2176,2201
1583712122,2170,2195
1583712722,2192,2217
1583713321,2195,2220
1583714522,2206,2231
1583715121,2203,2228
1583715721,2184,2209
1583716921,2166,2191
1583718121,2132,2157
1583719321,2148,2173
1583719921,2163,2189
1583721122,2142,2168
1583721721,2110,2136
