DateTime,AddedIPs,RemovedIPs
1583589721,18,18
1583590322,34,34
1583591521,68,68
1583592721,95,95
1583593321,31,31
1583594521,95,95
1583595121,36,36
1583595721,48,48
1583596321,20,20
1583596922,60,60
1583597522,40,40
1583598721,93,93
1583599921,65,65
1583600522,34,34
1583601121,18,18
1583601721,11,11
1583602321,2,2
1583603521,52,52
1583604121,8,8
1583604721,20,20
1583605321,73,73
1583605921,65,65
1583606521,39,39
1583607721,74,74
1583608322,27,27
1583608921,15,15
1583609521,47,47
1583610122,46,46
1583610721,80,81
1583611921,97,96
1583612522,64,64
1583613721,85,85
1583614321,40,40
1583616121,84,84
1583617321,82,82
1583618522,79,79
1583619121,53,53
1583619721,45,45
1583620321,41,41
1583620921,24,24
1583621522,52,52
1583622121,37,37
1583622721,44,44
1583623322,43,43
1583624521,66,66
1583625722,83,83
1583626921,49,49
1583627521,74,74
1583628721,96,96
1583629321,36,36
1583629922,85,85
1583630521,48,48
1583631121,86,86
1583631721,45,45
1583632921,85,85
1583633521,41,41
1583634722,97,97
1583635321,41,41
1583636521,91,91
1583637121,45,45
1583637721,54,54
1583638921,87,87
1583640121,94,94
1583640722,71,71
1583641321,18,18
1583642521,98,98
1583643721,53,53
1583644921,88,88
1583646121,90,90
1583647322,95,95
1583648521,86,86
1583649122,30,30
1583649721,69,69
1583650921,69,69
1583652121,95,95
1583653321,94,94
1583654521,72,72
1583655721,94,94
1583656321,24,24
1583656921,17,17
1583658121,68,68
1583659321,18,18
1583659921,37,37
1583661121,41,41
1583661721,50,50
1583662321,35,35
1583662921,54,54
1583664121,48,48
1583664721,33,33
1583665321,5,5
1583667121,70,70
1583667721,7,7
1583669521,88,88
1583670121,39,39
1583670721,35,35
1583671321,29,29
1583671922,43,43
1583672521,39,39
1583673121,17,17
1583673721,19,19
1583674321,48,48
1583674921,35,35
1583675521,14,14
1583676121,20,20
1583676722,46,46
1583677921,86,86
1583678522,29,29
1583679121,24,24
1583679721,37,37
1583680321,17,17
1583680921,28,28
1583682121,70,70
1583682722,30,30
1583683922,40,40
1583684522,46,46
1583685121,54,54
1583685721,40,40
1583686922,95,95
1583687521,44,44
1583688121,44,44
1583689321,33,33
1583689921,23,23
1583690521,31,31
1583691721,86,86
1583692921,72,72
1583693521,42,42
1583694722,77,77
1583695321,100,100
1583696521,71,71
1583697121,47,47
1583698321,26,26
1583698921,30,30
1583699521,14,14
1583700721,98,98
1583701921,89,89
1583702522,27,27
1583703122,23,23
1583704321,57,57
1583704921,16,16
1583706121,71,71
1583706721,11,11
1583707322,43,43
1583708522,60,60
1583709722,44,44
1583710321,15,15
1583710921,17,17
1583712122,52,52
1583712722,84,84
1583713321,56,56
1583714522,92,92
1583715121,31,31
1583715721,24,24
1583716921,70,70
1583718121,41,41
1583719321,59,59
1583719921,68,68
1583721122,52,52
1583721721,18,18
1583722921,29,29
1583723521,21,21
1583724121,17,17
1583724721,80,80
1583725921,84,84
1583726522,24,24
1583727721,40,40
1583728921,95,95
1583730121,85,85
1583730721,65,65
1583731322,76,76
1583732521,88,88
1583733721,88,88
1583734321,70,70
1583734922,47,47
1583736122,94,94
1583737321,93,93
1583738522,86,86
1583739722,87,87
1583740922,55,55
1583742121,67,67
1583743321,87,87
1583743921,39,39
1583744522,62,62
1583745721,97,97
1583746922,96,96
1583747522,68,68
1583748721,94,94
1583749321,66,66
1583749922,53,53
1583750522,73,73
1583751121,60,60
1583751721,66,66
1583752921,84,84
1583753521,28,28
1583754121,29,29
1583754721,42,42
1583755321,41,41
1583755921,36,36
1583756522,60,60
1583757121,49,49
1583758321,78,78
1583759521,89,89
1583760122,49,49
1583760721,52,52
1583761321,23,23
1583762522,49,49
1583763122,27,27
1583764321,78,78
1583764921,17,17
1583765521,16,16
1583766121,64,64
1583766721,19,19
1583767921,97,97
1583768521,50,50
1583769121,52,52
1583770321,94,94
1583770921,44,44
1583771521,51,51
1583772121,10,10
1583773321,88,88
1583774521,43,43
1583775121,18,18
1583776321,83,83
1583776921,39,39
1583778121,89,89
1583778721,30,30
1583779321,36,36
1583779921,24,24
1583780521,25,25
1583781121,38,38
1583781721,24,24
1583782321,9,9
1583783521,94,94
1583784121,47,47
1583784721,22,22
1583785921,83,83
1583786522,59,59
1583787721,86,86
1583788321,25,25
1583788921,35,35
1583789521,41,41
1583790122,33,33
1583791321,91,91
1583792521,89,89
1583793121,42,42
1583793721,64,64
1583794921,82,82
1583795521,58,58
1583796121,54,54
1583797321,89,89
1583798521,35,35
1583799721,72,72
1583800921,89,89
1583801521,37,37
1583802722,100,100
1583803321,21,21
1583804521,91,91
1583805121,68,68
1583805721,18,18
1583806921,99,99
1583808121,70,70
1583809322,99,99
1583810521,78,78
1583811122,21,21
1583812321,80,80
1583812921,28,28
1583814121,73,73
1583814722,15,15
1583815322,24,24
1583815921,23,23
1583817722,90,90
1583818921,54,54
1583819521,60,60
1583820121,42,42
1583821321,94,94
1583822521,97,97
1583823721,93,93
1583824921,96,96
1583825521,75,75
1583826121,56,56
1583827321,84,84
1583827922,59,59
1583828521,34,34
1583829721,92,92
1583830922,64,64
1583831521,38,38
1583832121,38,38
1583832721,23,23
1583833321,32,32
1583833921,25,25
1583835122,19,19
1583835722,42,42
1583836321,12,12
1583836921,16,16
1583837521,36,36
1583838721,57,57
1583839921,28,28
1583841121,50,50
1583841721,44,44
1583842321,19,19
1583842921,9,9
1583844722,70,70
1583845321,9,9
1583846521,39,39
1583847721,85,85
1583848321,36,36
1583848921,35,35
1583850121,63,63
1583850721,69,69
1583851321,36,36
1583852522,93,93
1583853121,35,35
1583853721,84,84
1583854322,30,30
1583855521,85,85
1583856121,78,78
1583856721,33,33
1583857921,100,100
1583859121,94,94
1583859722,34,34
1583860921,87,87
1583861521,79,79
1583862121,57,57
1583862722,45,45
1583863321,25,25
1583863921,19,19
1583864522,46,46
1583865121,47,47
1583865722,33,33
1583866321,56,56
1583867521,47,47
1583868721,62,62
1583869321,35,35
1583870521,56,56
1583871121,11,11
1583871721,31,31
1583872321,11,11
1583873521,68,68
1583874121,19,19
1583875321,82,82
1583875921,49,49
1583876521,17,17
1583877721,56,56
1583878321,25,25
1583878921,56,56
1583879522,45,45
1583880122,35,35
1583881321,95,95
1583882521,84,84
1583883121,51,51
1583883721,41,41
1583884921,53,53
1583885521,49,49
1583886121,37,37
1583886722,10,10
1583887322,16,16
1583888521,46,46
1583889122,47,47
1583889721,54,54
1583890321,40,40
1583891522,78,78
1583892722,36,36
1583893321,49,49
1583894522,39,39
1583895721,50,50
1583896321,26,26
1583897521,43,43
1583898121,21,21
1583898721,49,49
1583899921,52,52
1583900521,19,19
1583901722,87,87
1583902921,47,47
1583904121,77,77
1583904722,42,42
1583905321,54,54
1583905922,57,57
1583906521,40,40
1583907721,91,91
1583908321,50,50
1583908921,59,59
1583910121,49,49
1583911321,36,36
1583911921,22,22
1583913121,61,61
1583913721,34,34
1583914921,83,83
1583915521,40,40
1583916121,48,48
1583916721,40,40
1583917321,19,19
1583918521,33,33
1583919721,37,37
1583920322,100,100
1583920921,53,53
1583922121,89,89
1583922721,45,45
1583923321,41,41
1583923921,51,51
1583924521,39,39
1583925121,35,35
1583925721,33,33
1583927521,56,56
1583928121,27,27
1583928721,16,16
1583929321,22,22
1583929921,8,8
1583930521,19,19
1583931121,17,17
1583931721,16,16
1583932321,13,13
1583932921,39,39
1583934122,51,51
1583934721,59,59
1583935321,19,19
1583936522,49,49
1583937122,60,60
1583937721,46,46
1583939522,88,88
1583940121,29,29
1583940721,56,56
1583941321,25,25
1583941921,22,22
1583943121,90,90
1583943721,53,53
1583944921,70,70
1583946122,86,86
1583946721,20,20
1583947321,26,26
1583947921,15,15
1583948521,48,48
1583949121,16,16
1583950321,64,64
1583950921,27,27
1583951521,40,40
1583952121,30,30
1583953321,89,89
1583953921,57,57
1583955121,97,97
1583955721,12,12
1583956321,70,70
1583956921,27,27
1583958121,80,80
1583959321,80,80
1583960522,74,74
1583961121,58,58
1583962322,56,56
1583962922,40,40
1583963521,52,52
1583964721,100,100
1583965321,32,32
1583966521,97,97
1583967721,89,89
1583968921,88,88
1583970121,88,88
1583971321,96,96
1583971922,90,90
1583972521,78,78
1583973721,100,100
1583974921,98,98
1583976121,90,90
1583976721,47,47
1583977321,65,65
1583978521,90,90
1583979121,78,78
1583979721,47,47
1583980921,87,87
1583982121,76,76
1583983321,92,92
1583984521,83,83
1583985721,87,87
1583986321,69,69
1583987521,86,86
1583988122,68,68
1583989321,96,96
1583990522,91,91
1583991122,70,70
1583991721,46,46
1583992921,81,81
1583993521,60,60
1583994721,97,97
1583995321,49,49
1583996521,94,94
1583997721,78,78
1583998921,92,92
1584000121,86,86
1584000721,38,38
1584001921,96,96
1584003121,91,91
1584004321,89,89
1584004921,47,47
1584005521,68,68
1584006721,94,94
1584007922,84,84
1584008521,53,53
1584009122,29,29
1584009721,31,31
1584010321,32,32
1584010921,57,57
1584011521,54,54
1584012122,3,3
