DateTime,AddedIPs,RemovedIPs
1581772502,138,0
1581776102,139,0
1581779702,135,0
1581786901,360,0
1581791402,127,0
1581795001,97,0
1581802202,198,0
1581805802,133,0
1581809402,92,0
1581813002,82,2769
1581820202,287,0
1581824702,152,0
1581828302,93,0
1581831902,75,0
1581835501,128,0
1581842702,191,0
1581846302,98,0
1581853502,192,0
1581857102,102,0
1581861602,95,0
1581865202,109,0
1581868802,107,0
1581872402,88,0
1581876002,90,0
1581879602,83,0
1581883201,105,0
1581890402,210,0
1581894003,87,0
1581901201,165,2974
1581904801,135,0
1581909301,139,0
1581916502,274,0
1581920102,143,0
1581923701,129,0
1581928202,199,0
1581931802,162,0
1581939002,311,0
1581942602,137,0
1581946202,184,0
1581949803,230,0
1581954302,258,0
1581961502,304,0
1581965102,161,0
1581968702,194,0
1581972301,202,0
1581975902,317,0
1581979502,272,0
1581987602,382,2319
1581991202,202,0
1581994803,162,0
1581998402,137,0
1582001101,107,0
1582004706,112,0
1582012802,380,0
1582016402,202,0
1582020002,203,0
1582023602,204,0
1582027202,162,0
1582030802,179,0
1582034402,157,0
1582038002,183,0
1582041602,201,0
1582045202,148,0
1582048802,146,0
1582052403,132,0
1582056002,169,0
1582063202,261,0
1582066803,113,0
1582071301,120,3478
1582074901,155,0
1582078502,179,0
1582083002,181,0
1582086601,128,0
1582093802,293,0
1582101002,312,0
1582108202,338,0
1582115401,412,0
1582122602,376,0
1582129802,308,0
1582137001,268,0
1582140601,123,0
1582144202,102,0
1582147801,109,0
1582155002,218,0
1582158602,103,3785
1582163102,180,0
1582166702,149,0
1582170302,106,0
1582173902,122,0
1582177502,153,0
1582181102,176,0
1582184702,204,0
1582191902,298,0
1582199101,320,0
1582206302,276,0
1582213502,330,0
1582220701,342,0
1582224302,145,0
1582227902,173,0
1582231502,150,0
1582238702,217,0
1582242301,113,0
1582250402,197,3706
1582254002,106,0
1582257602,162,0
1582261202,121,0
1582264802,162,0
1582268403,159,0
1582272002,198,0
1582279202,387,0
1582286402,262,0
1582290002,126,0
1582294502,199,0
1582298102,187,0
1582301702,143,0
1582305302,145,0
1582312502,246,0
1582316102,147,0
1582319702,132,0
1582323302,127,0
1582330501,232,3599
1582334101,127,0
1582338601,183,0
1582342202,126,0
1582345802,137,0
1582350301,173,0
1582353902,154,0
1582357501,138,0
1582364702,412,0
1582368302,135,0
1582375502,273,0
1582380002,154,0
1582383602,166,0
1582387202,123,0
1582390802,112,0
1582394402,110,0
1582398002,120,0
1582401602,113,0
1582408802,314,0
1582412402,94,0
1582419602,207,3341
1582423202,136,0
1582427701,161,0
1582431302,115,0
1582434902,144,0
1582439402,143,0
1582446601,240,0
1582450202,132,0
1582453802,105,0
1582457402,102,0
1582461002,127,0
1582464602,101,0
1582471802,265,0
1582475401,104,0
1582479902,157,0
1582483502,91,0
1582490702,196,0
1582497901,210,0
1582505102,189,3199
1582508702,141,0
1582512301,129,0
1582515902,132,0
1582524002,271,0
1582527602,162,0
1582531202,149,0
1582534802,147,0
1582538402,122,0
1582542002,155,0
1582549202,342,0
1582556402,357,0
1582560001,195,0
1582563602,185,0
1582567202,170,0
1582575301,366,0
1582578902,161,0
1582582502,129,0
1582586102,131,0
1582589702,129,2835
1582593302,143,0
1582596901,174,0
1582600502,143,0
1582605002,179,0
1582608602,151,0
1582612202,179,0
1582615802,166,0
1582619402,171,0
1582626602,272,0
1582631102,185,0
1582638302,287,0
1582641901,127,0
1582649101,272,0
1582653601,226,0
1582657202,163,0
1582660802,374,1
1582664402,142,0
1582671602,252,0
1582675202,121,3502
1582678802,144,0
1582682401,164,0
1582686003,170,0
1582689601,147,0
1582693202,153,0
1582701302,431,0
1582708502,349,0
1582715701,327,0
1582719301,177,0
1582722902,169,0
1582726502,216,0
1582731002,180,0
1582734602,131,0
1582738202,167,0
1582741802,132,0
1582749002,232,0
1582752602,113,0
1582756202,102,0
1582759802,127,0
1582763402,116,3672
1582767002,164,0
1582774201,335,0
1582778702,173,0
1582785902,289,0
1582789501,181,0
1582793102,214,0
1582796702,185,0
1582800301,189,0
1582803902,247,0
1582811102,433,0
1582815602,530,0
1582819202,184,0
1582822802,198,0
1582826402,141,0
1582830002,136,0
1582833602,131,0
1582837202,143,0
1582840802,120,0
1582844402,149,0
1582851602,237,3652
1582858802,374,0
1582862402,147,0
1582866902,181,0
1582870501,223,0
1582874102,198,0
1582877702,163,0
1582881302,261,0
1582885802,245,0
1582889401,167,0
1582893902,202,0
1582897501,159,0
1582901101,148,0
1582904702,127,0
1582911902,252,0
1582915502,126,0
1582923601,315,0
1582927202,135,0
1582930802,144,0
1582934402,114,4266
1582938002,142,0
1582941602,122,0
1582945202,151,0
1582948802,151,0
1582952402,137,0
1582956001,139,0
1582959602,145,0
1582963202,133,0
1582966802,132,0
1582974902,336,2
1582978501,138,0
1582985701,330,0
1582989302,106,0
1582992902,110,0
1582996502,125,0
1583000102,99,0
1583003702,108,0
1583007302,86,0
1583010902,132,0
1583014502,141,0
1583018102,92,0
1583022602,101,4039
1583029802,303,0
1583037002,254,0
1583040602,108,0
1583044203,109,0
1583048702,110,0
1583052302,101,0
1583059502,224,0
1583063102,96,0
1583070301,205,0
1583073902,90,0
1583078402,120,0
1583082002,134,0
1583085602,127,0
1583089202,133,0
1583092802,116,0
1583096402,121,0
1583100002,98,0
1583103602,98,1
1583107202,104,3249
1583114402,315,0
1583118003,178,0
1583121602,157,0
1583125202,175,0
1583128802,152,0
1583135101,274,0
1583138702,158,0
1583142302,204,0
1583145902,231,0
1583153102,377,0
1583156702,172,0
1583164802,422,0
1583168402,158,0
1583172002,152,0
1583175602,146,0
1583179202,118,0
1583182802,110,0
1583186402,177,0
1583190002,138,0
1583193603,118,2685
1583200802,351,0
1583204402,166,0
1583208002,256,0
1583212501,294,0
1583219702,510,0
1583223301,187,0
1583226901,189,0
1583230502,198,0
1583237702,391,0
1583242202,232,0
1583245802,202,0
1583249401,198,0
1583256602,436,0
1583260202,189,0
1583263801,216,0
1583267403,152,0
1583274601,287,0
1583279102,147,0
1583282701,126,3318
1583289901,343,0
1583293501,156,0
1583297102,187,0
1583300702,166,0
1583307902,344,0
1583311502,163,0
1583316002,197,0
1583319603,186,0
1583323202,148,0
1583326802,157,0
1583330402,180,0
1583337602,407,0
1583341202,315,0
1583348402,377,0
1583355603,287,0
1583362801,252,0
1583366402,125,4179
1583374502,398,0
1583381702,348,0
1583388902,361,0
1583392502,191,0
1583396102,209,0
1583399701,190,0
1583406902,1423,0
1583411402,300,0
1583418602,290,0
1583422202,218,0
1583425803,196,0
1583429402,200,0
1583433002,186,0
1583436602,156,0
1583440201,177,0
1583444702,178,0
1583448302,141,0
1583451902,109,0
1583455502,89,4124
1583459102,173,1
1583466302,363,0
1583469902,180,0
1583478003,409,0
1583481602,172,0
1583485202,153,0
1583488802,156,0
1583492402,303,0
1583496002,196,0
1583499602,200,0
1583503202,238,0
1583506802,148,0
1583510402,175,0
1583514002,164,0
1583517602,145,0
1583524802,242,0
1583532002,270,0
1583535602,152,0
1583536502,26,0
1583543702,237,5332
1583547301,146,0
1583550902,152,0
1583554502,182,0
1583558102,300,0
1583561702,185,0
1583566202,219,0
1583569802,121,0
1583573402,175,0
1583577002,133,0
1583584202,332,0
1583587802,130,0
1583591401,139,0
1583595002,154,0
1583602202,257,0
1583606701,156,0
1583610302,120,0
1583617502,237,0
1583621102,120,0
1583624702,98,0
1583628301,92,4069
1583635502,360,0
1583639102,154,0
1583643602,160,0
1583647202,187,0
1583650802,141,0
1583654402,114,0
1583658002,129,0
1583665202,254,0
1583668802,96,0
1583672402,109,0
1583676002,121,0
1583679602,97,0
1583683203,94,0
1583686802,101,0
1583690401,131,0
1583694002,115,0
1583697602,89,0
1583702101,130,0
1583709302,192,0
1583712902,73,3578
1583716502,123,0
1583720102,142,0
1583723702,126,0
1583727301,114,0
1583734502,249,0
1583738102,128,0
1583741702,138,0
1583746202,183,0
1583749802,153,0
1583753401,136,0
1583760601,329,0
1583764201,121,0
1583767801,157,0
1583771402,112,0
1583775002,101,0
1583778601,103,0
1583785802,206,0
1583790302,152,0
1583793901,117,0
1583797502,113,0
1583802902,164,3703
1583806502,170,0
1583810102,141,0
1583815502,217,0
1583819102,135,0
1583822702,135,0
1583829902,285,0
1583837102,269,0
1583840701,124,0
1583848802,366,0
1583852402,121,0
1583856003,136,0
1583859602,124,0
1583863202,143,0
1583866802,127,0
1583870402,103,0
1583874002,93,0
1583877602,127,0
1583881202,94,0
1583884802,113,3445
1583889302,174,0
1583890202,31,0
1583894702,192,0
1583898302,120,0
1583901902,138,0
1583905501,133,0
1583909102,137,0
1583916301,312,0
1583919902,152,0
1583927102,275,0
1583930702,173,0
1583938802,351,0
1583942402,670,0
1583946002,114,0
1583949602,201,0
1583953202,146,0
1583956803,99,0
1583960402,90,0
1583964002,123,0
1583967602,92,0
1583974802,212,3182
1583979301,204,0
1583982903,160,0
1583986502,139,0
1583990102,161,0
1583997301,286,0
1584000901,146,0
1584008102,319,0
