DateTime,AddedIPs,RemovedIPs
1581748381,1,0
1581751981,0,2
1581755581,1,0
1581759182,0,1
1581766381,0,1
1581769982,1,1
1581773581,0,1
1581777181,0,2
1581780782,1,1
1581784381,1,0
1581787982,0,3
1581791581,6,1
1581798781,2,0
1581802381,1,1
1581805982,1,0
1581809582,0,1
1581813181,1,0
1581816781,2,1
1581820382,3,0
1581823982,0,1
1581827582,0,1
1581831181,1,0
1581838382,1,2
1581845581,5,2
1581849182,2,0
1581852781,1,2
1581856381,0,1
1581859982,2,0
1581863581,1,1
1581870781,1,2
1581874382,3,1
1581885182,0,3
1581888781,1,2
1581895981,1,0
1581899582,1,0
1581910381,2,1
1581917582,0,1
1581921181,0,1
1581924781,2,1
1581928382,1,2
1581931981,2,0
1581935581,2,1
1581939181,1,2
1581942782,1,0
1581949981,1,2
1581953582,4,0
1581957181,0,1
1581960781,4,0
1581964381,6,0
1581967981,2,0
1581971581,2,3
1581975182,1,0
1581982381,5,1
1581985981,3,0
1581989581,4,0
1581996781,5,0
1582000381,2,0
1582003981,2,2
1582007582,5,0
1582014781,1,2
1582018382,1,0
1582021982,1,0
1582025581,1,0
1582029182,2,0
1582032782,1,0
1582036381,2,0
1582039981,0,2
1582043582,0,1
1582047181,1,0
1582050782,1,0
1582054381,1,0
1582061581,0,4
1582065181,1,0
1582072382,3,0
1582075982,0,1
1582079581,1,2
1582083182,2,0
1582086781,2,0
1582090381,1,0
1582093982,1,1
1582097582,1,0
1582101182,3,0
1582104782,2,1
1582115581,4,1
1582119181,2,1
1582122781,1,0
1582126382,2,0
1582129981,2,0
1582133582,2,0
1582137181,3,0
1582140781,2,3
1582147981,1,0
1582151581,1,0
1582158781,3,0
1582162381,3,2
1582165982,1,0
1582173181,1,5
1582176781,2,2
1582180382,0,3
1582183981,1,0
1582187581,3,1
1582194782,1,3
1582198381,1,0
1582201981,1,0
1582205581,3,2
1582209181,2,0
1582212781,2,2
1582216381,0,2
1582219982,1,0
1582223581,0,1
1582227182,2,1
1582230781,2,0
1582234381,3,1
1582237981,3,0
1582248782,2,1
1582255981,1,0
1582259581,1,0
1582263181,2,0
1582266782,1,0
1582270382,4,0
1582273982,2,1
1582277581,2,0
1582288381,3,2
1582291982,5,0
1582295582,3,2
1582299181,3,1
1582302781,1,0
1582306381,0,2
1582309982,1,0
1582313581,1,0
1582317181,1,1
1582320781,2,0
1582324381,2,1
1582327981,1,0
1582331581,1,2
1582338781,1,1
1582342382,1,0
1582345981,1,0
1582349582,0,2
1582353181,2,0
1582356781,6,0
1582360381,1,0
1582363982,1,2
1582367581,1,0
1582371181,0,3
1582374782,1,0
1582378381,2,1
1582381981,1,3
1582385581,2,0
1582389181,2,0
1582392781,1,0
1582396381,2,0
1582403581,3,3
1582407181,1,0
1582410781,3,0
1582414381,1,0
1582417981,0,1
1582421582,2,1
1582428781,0,1
1582432381,3,0
1582435981,0,2
1582443181,0,2
1582446781,1,0
1582450381,0,1
1582453981,2,0
1582457581,4,0
1582464781,1,0
1582468381,4,1
1582471981,3,0
1582479182,3,2
1582482782,0,1
1582493581,0,3
1582500781,0,2
1582511582,0,1
1582518781,1,2
1582522382,1,0
1582529581,1,1
1582533181,1,0
1582540382,3,0
1582543981,2,0
1582547581,2,1
1582551181,1,3
1582554781,0,1
1582561981,1,2
1582565581,1,0
1582569182,1,2
1582572782,5,1
1582576382,3,0
1582579982,2,2
1582583581,2,0
1582587181,0,4
1582590781,1,0
1582597982,0,3
1582601582,1,1
1582605182,2,2
1582608782,1,0
1582612382,0,2
1582615981,1,3
1582619582,0,1
1582623181,1,0
1582626781,1,1
1582630381,2,0
1582633981,3,3
1582637582,1,3
1582641182,1,0
1582644782,1,0
1582648382,2,1
1582651982,0,1
1582655581,1,0
1582659181,3,1
1582666381,1,1
1582673582,0,3
1582684382,2,0
1582687981,0,5
1582691581,1,0
1582695182,5,1
1582698781,1,0
1582702381,0,1
1582709582,2,3
1582713182,2,0
1582716782,0,2
1582720381,2,0
1582723982,0,1
1582727582,0,4
1582731182,2,1
1582734782,1,0
1582738382,1,1
1582741981,1,0
1582745581,0,1
1582749182,2,1
1582752781,0,2
1582756381,2,0
1582759982,1,1
1582763581,6,1
1582767182,1,0
1582770782,1,1
1582777981,0,1
1582781582,3,0
1582785181,0,3
1582788782,0,2
1582795981,0,3
1582799582,2,0
1582803182,0,1
1582806781,0,2
1582810381,1,0
1582813982,1,3
1582821181,2,2
1582824782,2,1
1582835582,1,2
1582839182,1,0
1582842781,0,2
1582849981,0,2
1582857181,1,3
1582860782,0,2
1582867982,1,0
1582871581,1,0
1582875182,0,5
1582878782,1,0
1582882382,0,6
1582885981,0,2
1582893181,0,2
1582896781,0,3
1582900381,3,4
1582903982,0,3
1582907582,1,0
1582911182,2,3
1582914781,0,5
1582918381,0,1
1582921982,1,1
1582929182,0,3
1582932781,4,1
1582936381,1,2
1582939981,0,1
1582947181,0,1
1582950782,1,0
1582954381,2,2
1582957982,2,0
1582961581,0,5
1582968782,1,3
1582972382,0,3
1582975981,2,0
1582983182,1,1
1582986781,0,6
1582990381,1,0
1582993982,3,0
1582997582,1,5
1583001181,3,2
1583004782,0,1
1583008382,2,3
1583011981,1,0
1583015581,2,1
1583019182,0,1
1583029981,1,0
1583037181,0,4
1583040781,2,0
1583051581,1,0
1583055182,3,1
1583058781,3,2
1583062382,1,1
1583069581,0,6
1583076781,0,5
1583080381,1,1
1583083981,0,5
1583087581,3,0
1583091181,4,1
1583101982,0,1
1583109181,0,3
1583116382,1,0
1583119981,1,2
1583123582,1,0
1583130781,0,2
1583134382,1,0
1583137981,2,1
1583141582,1,2
1583148782,2,5
1583155982,0,2
1583159581,1,0
1583163182,0,1
1583166781,0,1
1583170382,2,2
1583173982,0,3
1583177582,1,3
1583181181,1,2
1583184781,2,0
1583188382,0,6
1583191982,1,0
1583199181,2,0
1583202781,0,1
1583206381,0,2
1583209982,1,0
1583213581,0,1
1583220781,0,1
1583224381,0,1
1583227982,1,0
1583231582,1,2
1583235182,2,2
1583238781,1,0
1583242381,0,8
1583250622,1,0
1583254223,3,0
1583267582,0,6
1583271182,1,0
1583274781,3,3
1583282420,2,1
1583292782,3,2
1583296382,1,1
1583299982,1,0
1583303581,0,2
1583307182,0,2
1583310782,1,1
1583314382,1,0
1583317982,3,2
1583321581,2,0
1583325181,1,1
1583335981,0,1
1583339582,0,3
1583343181,1,1
1583346782,0,2
1583350381,0,4
1583353982,0,4
1583364781,1,3
1583368382,0,5
1583371981,0,1
1583382781,1,0
1583386381,3,0
1583389981,6,0
1583393582,1,1
1583397182,2,0
1583400781,3,1
1583404382,0,1
1583411581,0,1
1583418781,3,3
1583422381,2,1
1583429581,0,3
1583433182,1,1
1583440382,0,1
1583443982,1,1
1583447581,2,0
1583451182,1,0
1583454781,0,2
1583458382,0,2
1583461982,1,0
1583465582,1,0
1583476382,4,0
1583483582,1,0
1583487182,1,0
1583494381,1,2
1583497982,3,0
1583501581,2,2
1583505182,0,1
1583512382,1,0
1583515982,0,4
1583519581,2,0
1583523181,3,1
1583526782,1,0
1583530382,1,0
1583541181,2,1
1583548381,2,1
1583551981,1,0
1583555582,0,1
1583562781,0,1
1583566382,0,1
1583569982,0,2
1583577182,0,1
1583584382,2,0
1583587981,0,3
1583591582,3,0
1583595182,1,1
1583598781,1,0
1583602382,0,2
1583609582,2,2
1583616781,0,1
1583620381,1,3
1583623982,1,0
1583627581,1,1
1583631181,0,1
1583634782,0,1
1583638381,1,0
1583641981,0,3
1583645581,1,1
1583649182,0,1
1583652782,1,1
1583656382,0,1
1583663582,1,6
1583667182,2,0
1583670782,0,1
1583674381,1,0
1583677981,0,1
1583681581,2,3
1583685181,4,0
1583688781,1,2
1583692381,0,5
1583695981,2,0
1583699581,0,2
1583703182,2,0
1583713981,1,0
1583717581,1,0
1583721181,0,1
1583724781,2,0
1583728381,1,1
1583731981,0,2
1583735581,0,1
1583739181,1,0
1583742782,2,0
1583746382,1,0
1583749981,0,1
1583753581,0,2
1583757182,1,2
1583760782,2,0
1583764381,1,0
1583767981,0,1
1583778781,2,0
1583785982,1,0
1583789582,1,0
1583793181,0,3
1583796781,1,0
1583800381,1,2
1583803981,0,7
1583811181,1,2
1583814782,1,0
1583818382,1,0
1583821982,2,0
1583825582,1,0
1583829181,1,1
1583832782,0,2
1583836382,1,1
1583843581,2,1
1583850781,1,0
1583854382,1,2
1583857981,0,2
1583868782,1,2
1583875981,0,6
1583883181,2,0
1583886782,1,2
1583893981,3,1
1583897581,1,0
1583901182,1,1
1583904781,0,2
1583911981,1,1
1583919181,1,3
1583922782,0,2
1583926382,3,1
1583929981,1,0
1583933581,4,2
1583937182,2,0
1583940782,1,1
1583947981,1,0
1583951581,1,0
1583955182,0,1
1583958782,2,0
1583962382,0,1
1583965982,0,1
1583969581,0,2
1583973182,1,0
1583983981,0,1
1583987582,0,2
1583991182,0,2
1583998381,1,2
1584001982,0,3
1584009181,1,0
