DateTime,AddedIPs,RemovedIPs
1582108381,11,13
1582111981,9,8
1582115581,18,14
1582119181,17,20
1582122781,14,13
1582126382,15,14
1582129981,17,20
1582133582,19,16
1582137181,16,19
1582140781,18,16
1582144381,15,17
1582147981,16,16
1582151581,12,8
1582155181,6,7
1582158781,15,17
1582162381,11,12
1582165982,10,11
1582169582,9,9
1582173181,13,13
1582176781,12,13
1582180382,13,12
1582183981,16,16
1582187581,11,11
1582191181,13,12
1582194782,11,11
1582198381,16,19
1582201981,11,8
1582205581,9,11
1582209181,16,14
1582212781,12,14
1582216381,16,13
1582219982,13,15
1582223581,16,16
1582227182,12,12
1582230781,19,18
1582234381,17,18
1582237981,14,14
1582241581,6,6
1582245182,10,12
1582248782,20,17
1582252381,5,5
1582255981,13,16
1582259581,12,12
1582263181,11,12
1582266782,15,14
1582270382,21,17
1582273982,18,17
1582277581,13,16
1582281181,11,12
1582284781,3,3
1582288381,18,18
1582291982,17,17
1582295582,14,12
1582299181,20,20
1582302781,13,14
1582306381,18,16
1582309982,7,12
1582313581,12,10
1582317181,16,14
1582320781,19,18
1582324381,12,14
1582327981,14,15
1582331581,13,11
1582335181,14,15
1582338781,9,9
1582342382,17,16
1582345981,15,15
1582349582,15,14
1582353181,17,20
1582356781,19,16
1582360381,16,14
1582363982,11,13
1582367581,12,12
1582371181,13,12
1582374782,11,11
1582378381,16,17
1582381981,18,17
1582385581,14,16
1582389181,17,15
1582392781,12,14
1582396381,14,14
1582399981,10,9
1582403581,9,8
1582407181,16,16
1582410781,15,13
1582414381,11,12
1582417981,16,18
1582421582,11,10
1582425181,10,11
1582428781,7,8
1582432381,15,13
1582435981,11,14
1582439581,14,12
1582443181,11,10
1582446781,6,7
1582450381,17,21
1582453981,14,16
1582457581,16,15
1582461181,21,17
1582464781,17,21
1582468381,17,17
1582471981,19,17
1582475581,12,17
1582479182,18,11
1582482782,17,19
1582486381,13,9
1582489981,12,13
1582493581,15,16
1582497182,12,9
1582500781,11,10
1582504381,11,15
1582507981,10,10
1582511582,11,11
1582515182,18,19
1582518781,14,12
1582522382,17,17
1582525982,13,16
1582529581,17,18
1582533181,15,16
1582536781,16,12
1582540382,19,20
1582543981,9,10
1582547581,11,12
1582551181,15,16
1582554781,14,11
1582558382,13,12
1582561981,13,14
1582565581,14,11
1582569182,10,13
1582572782,14,14
1582576382,16,15
1582579982,16,18
1582583581,12,11
1582587181,12,11
1582590781,14,13
1582594381,4,3
1582597982,9,11
1582601582,11,13
1582605182,13,9
1582608782,13,14
1582612382,11,11
1582615981,13,12
1582619582,7,7
1582623181,14,15
1582626781,13,14
1582630381,20,13
1582633981,5,5
1582637582,18,18
1582641182,14,19
1582644782,20,16
1582648382,14,17
1582651982,11,11
1582655581,17,17
1582659181,18,15
1582662781,8,8
1582666381,11,17
1582669982,13,12
1582673582,15,13
1582677181,14,16
1582680782,11,12
1582684382,12,9
1582687981,11,11
1582691581,12,12
1582695182,13,15
1582698781,15,12
1582702381,14,15
1582705982,12,10
1582709582,12,16
1582713182,12,11
1582716782,12,10
1582720381,10,9
1582723982,12,16
1582731182,14,14
1582734782,16,14
1582738382,7,10
1582741981,18,14
1582745581,14,14
1582749182,12,13
1582752781,13,14
1582756381,12,9
1582759982,10,13
1582763581,22,22
1582767182,7,7
1582770782,10,9
1582774382,15,17
1582781582,11,10
1582785181,11,9
1582788782,9,9
1582795981,11,14
1582799582,12,12
1582803182,17,17
1582810381,14,15
1582813982,10,12
1582817581,13,11
1582821181,16,17
1582824782,14,15
1582828381,8,7
